FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
01-APR-1986, 02-APR-1986,  0.23001195,  7.19142766,  0.23012416,  7.17141976, -0.37973179, -0.46031806,  0.00000000,  0.00000000, -0.46031806,  0.08058628, USD-LIBOR-3M
02-APR-1986, 03-APR-1986,  0.23012416,  7.17141976,  0.23000322,  7.22143957,  1.06373715,  1.15077426,  0.00000000,  0.00000000,  1.15077426, -0.08703711, USD-LIBOR-3M
03-APR-1986, 04-APR-1986,  0.23000322,  7.22143957,  0.23031476,  7.14140793, -1.61826874, -1.84200000,  0.00000000,  0.00000000, -1.84200000,  0.22373126, USD-LIBOR-3M
04-APR-1986, 07-APR-1986,  0.23031476,  7.14140793,  0.23051680,  7.12140008, -0.31692852, -0.46101253,  0.00000000,  0.00000000, -0.46101253,  0.14408401, USD-LIBOR-3M
07-APR-1986, 08-APR-1986,  0.23051680,  7.12140008,  0.23122382,  6.92132274, -4.12276969, -4.61919169,  0.00000000,  0.00000000, -4.61919169,  0.49642200, USD-LIBOR-3M
08-APR-1986, 09-APR-1986,  0.23122382,  6.92132274,  0.23149965,  6.85129619, -1.43019757, -1.62014646,  0.00000000,  0.00000000, -1.62014646,  0.18994890, USD-LIBOR-3M
09-APR-1986, 10-APR-1986,  0.23149965,  6.85129619,  0.23160949,  6.83128865, -0.38814233, -0.46328367,  0.00000000,  0.00000000, -0.46328367,  0.07514134, USD-LIBOR-3M
10-APR-1986, 11-APR-1986,  0.23160949,  6.83128865,  0.23148800,  6.88130754,  1.07488705,  1.15818098,  0.00000000,  0.00000000,  1.15818098, -0.08329393, USD-LIBOR-3M
11-APR-1986, 14-APR-1986,  0.23148800,  6.88130754,  0.23201395,  6.76126244, -2.42329225, -2.78205673,  0.00000000,  0.00000000, -2.78205673,  0.35876448, USD-LIBOR-3M
14-APR-1986, 15-APR-1986,  0.23201395,  6.76126244,  0.23192586,  6.80127739,  0.86848907,  0.92822626,  0.00000000,  0.00000000,  0.92822626, -0.05973719, USD-LIBOR-3M
15-APR-1986, 16-APR-1986,  0.23192586,  6.80127739,  0.23265839,  6.59119991, -4.38941486, -4.87993433,  0.00000000,  0.00000000, -4.87993433,  0.49051947, USD-LIBOR-3M
16-APR-1986, 17-APR-1986,  0.23265839,  6.59119991,  0.23240554,  6.68123282,  1.92575467,  2.09355291,  0.00000000,  0.00000000,  2.09355291, -0.16779824, USD-LIBOR-3M
17-APR-1986, 18-APR-1986,  0.23240554,  6.68123282,  0.23225217,  6.74125500,  1.29155706,  1.39448854,  0.00000000,  0.00000000,  1.39448854, -0.10293148, USD-LIBOR-3M
18-APR-1986, 21-APR-1986,  0.23225217,  6.74125500,  0.23208926,  6.83128865,  1.97976543,  2.09031760,  0.00000000,  0.00000000,  2.09031760, -0.11055217, USD-LIBOR-3M
21-APR-1986, 22-APR-1986,  0.23208926,  6.83128865,  0.23164757,  6.98134571,  3.17430454,  3.47934931,  0.00000000,  0.00000000,  3.47934931, -0.30504477, USD-LIBOR-3M
22-APR-1986, 23-APR-1986,  0.23164757,  6.98134571,  0.23140197,  7.07138054,  1.91196441,  2.08452928,  0.00000000,  0.00000000,  2.08452928, -0.17256487, USD-LIBOR-3M
23-APR-1986, 24-APR-1986,  0.23140197,  7.07138054,  0.23080496,  7.27145952,  4.19575264,  4.62389455,  0.00000000,  0.00000000,  4.62389455, -0.42814191, USD-LIBOR-3M
24-APR-1986, 25-APR-1986,  0.23080496,  7.27145952,  0.23065929,  7.33148364,  1.27858492,  1.38494925,  0.00000000,  0.00000000,  1.38494925, -0.10636433, USD-LIBOR-3M
25-APR-1986, 28-APR-1986,  0.23065929,  7.33148364,  0.23146775,  7.12140008, -4.27003497, -4.85426456,  0.00000000,  0.00000000, -4.85426456,  0.58422959, USD-LIBOR-3M
28-APR-1986, 29-APR-1986,  0.23146775,  7.12140008,  0.23144945,  7.14140793,  0.45004944,  0.46309899,  0.00000000,  0.00000000,  0.46309899, -0.01304955, USD-LIBOR-3M
29-APR-1986, 30-APR-1986,  0.23144945,  7.14140793,  0.23162211,  7.10139225, -0.80355112, -0.92650630,  0.00000000,  0.00000000, -0.92650630,  0.12295518, USD-LIBOR-3M
30-APR-1986, 01-MAY-1986,  0.23162211,  7.10139225,  0.23144533,  7.17141976,  1.49521633,  1.62137292,  0.00000000,  0.00000000,  1.62137292, -0.12615659, USD-LIBOR-3M
01-MAY-1986, 02-MAY-1986,  0.23144533,  7.17141976,  0.23152267,  7.16141581, -0.17614774, -0.23157534,  0.00000000,  0.00000000, -0.23157534,  0.05542760, USD-LIBOR-3M
02-MAY-1986, 05-MAY-1986,  0.23152267,  7.16141581,  0.23222714,  6.98134571, -3.67721708, -4.17537364,  0.00000000,  0.00000000, -4.17537364,  0.49815656, USD-LIBOR-3M
05-MAY-1986, 06-MAY-1986,  0.23222714,  6.98134571,  0.23214576,  7.02136114,  0.87212467,  0.92910391,  0.00000000,  0.00000000,  0.92910391, -0.05697924, USD-LIBOR-3M
06-MAY-1986, 07-MAY-1986,  0.23214576,  7.02136114,  0.23215920,  7.03136501,  0.24168833,  0.23224231,  0.00000000,  0.00000000,  0.23224231,  0.00944601, USD-LIBOR-3M
07-MAY-1986, 08-MAY-1986,  0.23215920,  7.03136501,  0.23248674,  6.94133038, -1.86288128, -2.09171126,  0.00000000,  0.00000000, -2.09171126,  0.22882998, USD-LIBOR-3M
08-MAY-1986, 09-MAY-1986,  0.23248674,  6.94133038,  0.23187363,  7.15141187,  4.44565569,  4.87767593,  0.00000000,  0.00000000,  4.87767593, -0.43202024, USD-LIBOR-3M
09-MAY-1986, 12-MAY-1986,  0.23187363,  7.15141187,  0.23173101,  7.24144753,  1.98441638,  2.08704755,  0.00000000,  0.00000000,  2.08704755, -0.10263117, USD-LIBOR-3M
12-MAY-1986, 13-MAY-1986,  0.23173101,  7.24144753,  0.23202526,  7.16141581, -1.64386478, -1.85576064,  0.00000000,  0.00000000, -1.85576064,  0.21189586, USD-LIBOR-3M
13-MAY-1986, 14-MAY-1986,  0.23202526,  7.16141581,  0.23182341,  7.24144753,  1.71077017,  1.85613035,  0.00000000,  0.00000000,  1.85613035, -0.14536018, USD-LIBOR-3M
14-MAY-1986, 15-MAY-1986,  0.23182341,  7.24144753,  0.23143788,  7.38150388,  2.96225701,  3.24413432,  0.00000000,  0.00000000,  3.24413432, -0.28187732, USD-LIBOR-3M
15-MAY-1986, 16-MAY-1986,  0.23143788,  7.38150388,  0.23099356,  7.54156960,  3.36943720,  3.70097088,  0.00000000,  0.00000000,  3.70097088, -0.33153369, USD-LIBOR-3M
16-MAY-1986, 19-MAY-1986,  0.23099356,  7.54156960,  0.23101543,  7.58158625,  0.94094123,  0.92440251,  0.00000000,  0.00000000,  0.92440251,  0.01653872, USD-LIBOR-3M
19-MAY-1986, 20-MAY-1986,  0.23101543,  7.58158625,  0.23127671,  7.51155717, -1.42151815, -1.61869451,  0.00000000,  0.00000000, -1.61869451,  0.19717637, USD-LIBOR-3M
20-MAY-1986, 21-MAY-1986,  0.23127671,  7.51155717,  0.23141574,  7.48154479, -0.59010135, -0.69432504,  0.00000000,  0.00000000, -0.69432504,  0.10422369, USD-LIBOR-3M
21-MAY-1986, 22-MAY-1986,  0.23141574,  7.48154479,  0.23152411,  7.46153657, -0.38216106, -0.46313023,  0.00000000,  0.00000000, -0.46313023,  0.08096917, USD-LIBOR-3M
22-MAY-1986, 23-MAY-1986,  0.23152411,  7.46153657,  0.23172326,  7.41151610, -1.01049151, -1.15859249,  0.00000000,  0.00000000, -1.15859249,  0.14810098, USD-LIBOR-3M
23-MAY-1986, 27-MAY-1986,  0.23172326,  7.41151610,  0.23227399,  7.29146753, -2.38024378, -2.78511018,  0.00000000,  0.00000000, -2.78511018,  0.40486639, USD-LIBOR-3M
27-MAY-1986, 28-MAY-1986,  0.23227399,  7.29146753,  0.23192963,  7.42152018,  2.76522218,  3.01854549,  0.00000000,  0.00000000,  3.01854549, -0.25332331, USD-LIBOR-3M
28-MAY-1986, 29-MAY-1986,  0.23192963,  7.42152018,  0.23158756,  7.55157375,  2.75800627,  3.01410326,  0.00000000,  0.00000000,  3.01410326, -0.25609699, USD-LIBOR-3M
29-MAY-1986, 30-MAY-1986,  0.23158756,  7.55157375,  0.23151623,  7.59159042,  0.87258988,  0.92659354,  0.00000000,  0.00000000,  0.92659354, -0.05400366, USD-LIBOR-3M
30-MAY-1986, 02-JUN-1986,  0.23151623,  7.59159042,  0.23103903,  7.80167936,  4.49159961,  4.85888724,  0.00000000,  0.00000000,  4.85888724, -0.36728762, USD-LIBOR-3M
02-JUN-1986, 03-JUN-1986,  0.23103903,  7.80167936,  0.23144329,  7.68162824, -2.46310835, -2.77607597,  0.00000000,  0.00000000, -2.77607597,  0.31296762, USD-LIBOR-3M
03-JUN-1986, 04-JUN-1986,  0.23144329,  7.68162824,  0.23113820,  7.80167936,  2.54048116,  2.77667127,  0.00000000,  0.00000000,  2.77667127, -0.23619011, USD-LIBOR-3M
04-JUN-1986, 05-JUN-1986,  0.23113820,  7.80167936,  0.23127607,  7.77166651, -0.58656135, -0.69391859,  0.00000000,  0.00000000, -0.69391859,  0.10735724, USD-LIBOR-3M
05-JUN-1986, 06-JUN-1986,  0.23127607,  7.77166651,  0.23217922,  7.48154479, -6.03413159, -6.72292223,  0.00000000,  0.00000000, -6.72292223,  0.68879064, USD-LIBOR-3M
06-JUN-1986, 09-JUN-1986,  0.23217922,  7.48154479,  0.23185392,  7.64161138,  3.46783626,  3.71381003,  0.00000000,  0.00000000,  3.71381003, -0.24597377, USD-LIBOR-3M
09-JUN-1986, 10-JUN-1986,  0.23185392,  7.64161138,  0.23196108,  7.62160298, -0.38222905, -0.46400980,  0.00000000,  0.00000000, -0.46400980,  0.08178075, USD-LIBOR-3M
10-JUN-1986, 11-JUN-1986,  0.23196108,  7.62160298,  0.23212638,  7.58158625, -0.80291213, -0.92856322,  0.00000000,  0.00000000, -0.92856322,  0.12565110, USD-LIBOR-3M
11-JUN-1986, 12-JUN-1986,  0.23212638,  7.58158625,  0.23237871,  7.51155717, -1.43601624, -1.62644309,  0.00000000,  0.00000000, -1.62644309,  0.19042685, USD-LIBOR-3M
12-JUN-1986, 13-JUN-1986,  0.23237871,  7.51155717,  0.23321372,  7.24144753, -5.67210830, -6.28805023,  0.00000000,  0.00000000, -6.28805023,  0.61594192, USD-LIBOR-3M
13-JUN-1986, 16-JUN-1986,  0.23321372,  7.24144753,  0.23338224,  7.23144355, -0.11143958, -0.23339093,  0.00000000,  0.00000000, -0.23339093,  0.12195135, USD-LIBOR-3M
16-JUN-1986, 17-JUN-1986,  0.23338224,  7.23144355,  0.23366067,  7.15141187, -1.66868268, -1.86891140,  0.00000000,  0.00000000, -1.86891140,  0.20022872, USD-LIBOR-3M
17-JUN-1986, 18-JUN-1986,  0.23366067,  7.15141187,  0.23382253,  7.11139616, -0.81990582, -0.93533356,  0.00000000,  0.00000000, -0.93533356,  0.11542774, USD-LIBOR-3M
18-JUN-1986, 19-JUN-1986,  0.23382253,  7.11139616,  0.23360825,  7.20143163,  1.95092119,  2.10426740,  0.00000000,  0.00000000,  2.10426740, -0.15334621, USD-LIBOR-3M
19-JUN-1986, 20-JUN-1986,  0.23360825,  7.20143163,  0.23388524,  7.12140008, -1.67234701, -1.87071137,  0.00000000,  0.00000000, -1.87071137,  0.19836436, USD-LIBOR-3M
20-JUN-1986, 23-JUN-1986,  0.23388524,  7.12140008,  0.23410888,  7.09138834, -0.54333643, -0.70226590,  0.00000000,  0.00000000, -0.70226590,  0.15892947, USD-LIBOR-3M
23-JUN-1986, 24-JUN-1986,  0.23410888,  7.09138834,  0.23429780,  7.04136888, -1.03797558, -1.17147242,  0.00000000,  0.00000000, -1.17147242,  0.13349684, USD-LIBOR-3M
24-JUN-1986, 25-JUN-1986,  0.23429780,  7.04136888,  0.23448625,  6.99134956, -1.04019090, -1.17241300,  0.00000000,  0.00000000, -1.17241300,  0.13222210, USD-LIBOR-3M
25-JUN-1986, 26-JUN-1986,  0.23448625,  6.99134956,  0.23461708,  6.96133803, -0.61265404, -0.70392536,  0.00000000,  0.00000000, -0.70392536,  0.09127132, USD-LIBOR-3M
26-JUN-1986, 27-JUN-1986,  0.23461708,  6.96133803,  0.23486173,  6.89131133, -1.47434961, -1.64380272,  0.00000000,  0.00000000, -1.64380272,  0.16945311, USD-LIBOR-3M
27-JUN-1986, 30-JUN-1986,  0.23486173,  6.89131133,  0.23508058,  6.86129997, -0.55469312, -0.70518047,  0.00000000,  0.00000000, -0.70518047,  0.15048735, USD-LIBOR-3M
30-JUN-1986, 01-JUL-1986,  0.23508058,  6.86129997,  0.23512500,  6.86129997,  0.03047811,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.03047811, USD-LIBOR-3M
01-JUL-1986, 02-JUL-1986,  0.23512500,  6.86129997,  0.23516943,  6.86129997,  0.03048387,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.03048387, USD-LIBOR-3M
02-JUL-1986, 03-JUL-1986,  0.23516943,  6.86129997,  0.23552431,  6.75125872, -2.34824689, -2.58978621,  0.00000000,  0.00000000, -2.58978621,  0.24153932, USD-LIBOR-3M
03-JUL-1986, 07-JUL-1986,  0.23552431,  6.75125872,  0.23567154,  6.76126244,  0.33515722,  0.23568561,  0.00000000,  0.00000000,  0.23568561,  0.09947161, USD-LIBOR-3M
07-JUL-1986, 08-JUL-1986,  0.23567154,  6.76126244,  0.23529671,  6.91131893,  3.27734709,  3.53359200,  0.00000000,  0.00000000,  3.53359200, -0.25624491, USD-LIBOR-3M
08-JUL-1986, 09-JUL-1986,  0.23529671,  6.91131893,  0.23575932,  6.76126244, -3.21799367, -3.53425063,  0.00000000,  0.00000000, -3.53425063,  0.31625696, USD-LIBOR-3M
09-JUL-1986, 10-JUL-1986,  0.23575932,  6.76126244,  0.23571976,  6.79127364,  0.68067843,  0.70748263,  0.00000000,  0.00000000,  0.70748263, -0.02680420, USD-LIBOR-3M
10-JUL-1986, 11-JUL-1986,  0.23571976,  6.79127364,  0.23593046,  6.73125129, -1.27302355, -1.41547771,  0.00000000,  0.00000000, -1.41547771,  0.14245416, USD-LIBOR-3M
11-JUL-1986, 14-JUL-1986,  0.23593046,  6.73125129,  0.23625501,  6.66122547, -1.43592961, -1.65325885,  0.00000000,  0.00000000, -1.65325885,  0.21732924, USD-LIBOR-3M
14-JUL-1986, 15-JUL-1986,  0.23625501,  6.66122547,  0.23643625,  6.61120719, -1.06188352, -1.18216026,  0.00000000,  0.00000000, -1.18216026,  0.12027674, USD-LIBOR-3M
15-JUL-1986, 16-JUL-1986,  0.23643625,  6.61120719,  0.23650684,  6.60120355, -0.18992319, -0.23655763,  0.00000000,  0.00000000, -0.23655763,  0.04663444, USD-LIBOR-3M
16-JUL-1986, 17-JUL-1986,  0.23650684,  6.60120355,  0.23654985,  6.60120355,  0.02839156,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.02839156, USD-LIBOR-3M
17-JUL-1986, 18-JUL-1986,  0.23654985,  6.60120355,  0.23672999,  6.55118543, -1.06517073, -1.18362836,  0.00000000,  0.00000000, -1.18362836,  0.11845763, USD-LIBOR-3M
18-JUL-1986, 21-JUL-1986,  0.23672999,  6.55118543,  0.23696723,  6.51117103, -0.79278604, -0.94773541,  0.00000000,  0.00000000, -0.94773541,  0.15494937, USD-LIBOR-3M
21-JUL-1986, 22-JUL-1986,  0.23696723,  6.51117103,  0.23684656,  6.57119266,  1.34302048,  1.42195374,  0.00000000,  0.00000000,  1.42195374, -0.07893326, USD-LIBOR-3M
22-JUL-1986, 23-JUL-1986,  0.23684656,  6.57119266,  0.23648297,  6.72124759,  3.30962493,  3.55127151,  0.00000000,  0.00000000,  3.55127151, -0.24164658, USD-LIBOR-3M
23-JUL-1986, 24-JUL-1986,  0.23648297,  6.72124759,  0.23631080,  6.80127739,  1.77546665,  1.89187953,  0.00000000,  0.00000000,  1.89187953, -0.11641288, USD-LIBOR-3M
24-JUL-1986, 25-JUL-1986,  0.23631080,  6.80127739,  0.23643584,  6.77126617, -0.62452769, -0.70938507,  0.00000000,  0.00000000, -0.70938507,  0.08485737, USD-LIBOR-3M
25-JUL-1986, 28-JUL-1986,  0.23643584,  6.77126617,  0.23638097,  6.84129242,  1.61813487,  1.65547933,  0.00000000,  0.00000000,  1.65547933, -0.03734446, USD-LIBOR-3M
28-JUL-1986, 29-JUL-1986,  0.23638097,  6.84129242,  0.23677249,  6.71124389, -2.81134057, -3.07664564,  0.00000000,  0.00000000, -3.07664564,  0.26530508, USD-LIBOR-3M
29-JUL-1986, 30-JUL-1986,  0.23677249,  6.71124389,  0.23700294,  6.64121814, -1.50497324, -1.65882398,  0.00000000,  0.00000000, -1.65882398,  0.15385074, USD-LIBOR-3M
30-JUL-1986, 31-JUL-1986,  0.23700294,  6.64121814,  0.23736601,  6.52117462, -2.60830101, -2.84724588,  0.00000000,  0.00000000, -2.84724588,  0.23894487, USD-LIBOR-3M
31-JUL-1986, 01-AUG-1986,  0.23736601,  6.52117462,  0.23730227,  6.56118904,  0.90798377,  0.94967876,  0.00000000,  0.00000000,  0.94967876, -0.04169499, USD-LIBOR-3M
01-AUG-1986, 04-AUG-1986,  0.23730227,  6.56118904,  0.23758950,  6.50116744, -1.23759233, -1.42518807,  0.00000000,  0.00000000, -1.42518807,  0.18759574, USD-LIBOR-3M
04-AUG-1986, 05-AUG-1986,  0.23758950,  6.50116744,  0.23736853,  6.60120355,  2.23088257,  2.37564745,  0.00000000,  0.00000000,  2.37564745, -0.14476488, USD-LIBOR-3M
05-AUG-1986, 06-AUG-1986,  0.23736853,  6.60120355,  0.23735915,  6.62121083,  0.46870124,  0.47490061,  0.00000000,  0.00000000,  0.47490061, -0.00619938, USD-LIBOR-3M
06-AUG-1986, 07-AUG-1986,  0.23735915,  6.62121083,  0.23758599,  6.55118543, -1.51351144, -1.66291126,  0.00000000,  0.00000000, -1.66291126,  0.14939982, USD-LIBOR-3M
07-AUG-1986, 08-AUG-1986,  0.23758599,  6.55118543,  0.23775977,  6.50116744, -1.07537430, -1.18879179,  0.00000000,  0.00000000, -1.18879179,  0.11341749, USD-LIBOR-3M
08-AUG-1986, 11-AUG-1986,  0.23775977,  6.50116744,  0.23806971,  6.43114250, -1.46558716, -1.66599668,  0.00000000,  0.00000000, -1.66599668,  0.20040952, USD-LIBOR-3M
11-AUG-1986, 12-AUG-1986,  0.23806971,  6.43114250,  0.23829380,  6.36111782, -1.52453229, -1.66786004,  0.00000000,  0.00000000, -1.66786004,  0.14332774, USD-LIBOR-3M
12-AUG-1986, 13-AUG-1986,  0.23829380,  6.36111782,  0.23864706,  6.24107614, -2.64004433, -2.86263908,  0.00000000,  0.00000000, -2.86263908,  0.22259475, USD-LIBOR-3M
13-AUG-1986, 14-AUG-1986,  0.23864706,  6.24107614,  0.23855856,  6.29109341,  1.13797408,  1.19342615,  0.00000000,  0.00000000,  1.19342615, -0.05545207, USD-LIBOR-3M
14-AUG-1986, 15-AUG-1986,  0.23855856,  6.29109341,  0.23862577,  6.28108995, -0.19643097, -0.23867484,  0.00000000,  0.00000000, -0.23867484,  0.04224387, USD-LIBOR-3M
15-AUG-1986, 18-AUG-1986,  0.23862577,  6.28108995,  0.23880104,  6.26108303, -0.36767796, -0.47759185,  0.00000000,  0.00000000, -0.47759185,  0.10991388, USD-LIBOR-3M
18-AUG-1986, 19-AUG-1986,  0.23880104,  6.26108303,  0.23912412,  6.15104540, -2.42898035, -2.62948769,  0.00000000,  0.00000000, -2.62948769,  0.20050734, USD-LIBOR-3M
19-AUG-1986, 20-AUG-1986,  0.23912412,  6.15104540,  0.23929262,  6.10102851, -1.09322327, -1.19644582,  0.00000000,  0.00000000, -1.19644582,  0.10322255, USD-LIBOR-3M
20-AUG-1986, 21-AUG-1986,  0.23929262,  6.10102851,  0.23956284,  6.01099846, -1.99192084, -2.15556913,  0.00000000,  0.00000000, -2.15556913,  0.16364828, USD-LIBOR-3M
21-AUG-1986, 22-AUG-1986,  0.23956284,  6.01099846,  0.23947505,  6.06101510,  1.14500055,  1.19799332,  0.00000000,  0.00000000,  1.19799332, -0.05299277, USD-LIBOR-3M
22-AUG-1986, 25-AUG-1986,  0.23947505,  6.06101510,  0.23982300,  5.97098524, -1.94822978, -2.15755671,  0.00000000,  0.00000000, -2.15755671,  0.20932693, USD-LIBOR-3M
25-AUG-1986, 26-AUG-1986,  0.23982300,  5.97098524,  0.24011539,  5.87095259, -2.22735128, -2.40047552,  0.00000000,  0.00000000, -2.40047552,  0.17312424, USD-LIBOR-3M
26-AUG-1986, 27-AUG-1986,  0.24011539,  5.87095259,  0.24000284,  5.93097212,  1.37441043,  1.44082345,  0.00000000,  0.00000000,  1.44082345, -0.06641301, USD-LIBOR-3M
27-AUG-1986, 28-AUG-1986,  0.24000284,  5.93097212,  0.24021832,  5.86094936, -1.55427452, -1.68132061,  0.00000000,  0.00000000, -1.68132061,  0.12704610, USD-LIBOR-3M
28-AUG-1986, 29-AUG-1986,  0.24021832,  5.86094936,  0.24058406,  5.73090780, -2.91423868, -3.12621456,  0.00000000,  0.00000000, -3.12621456,  0.21197588, USD-LIBOR-3M
29-AUG-1986, 02-SEP-1986,  0.24058406,  5.73090780,  0.24053693,  5.81093326,  1.89789982,  1.92509654,  0.00000000,  0.00000000,  1.92509654, -0.02719671, USD-LIBOR-3M
02-SEP-1986, 03-SEP-1986,  0.24053693,  5.81093326,  0.24027771,  5.93097212,  2.73363363,  2.88582192,  0.00000000,  0.00000000,  2.88582192, -0.15218829, USD-LIBOR-3M
03-SEP-1986, 04-SEP-1986,  0.24027771,  5.93097212,  0.24036647,  5.91096559, -0.42824406, -0.48080112,  0.00000000,  0.00000000, -0.48080112,  0.05255707, USD-LIBOR-3M
04-SEP-1986, 05-SEP-1986,  0.24036647,  5.91096559,  0.24001121,  6.07101845,  3.63145152,  3.84429101,  0.00000000,  0.00000000,  3.84429101, -0.21283949, USD-LIBOR-3M
05-SEP-1986, 08-SEP-1986,  0.24001121,  6.07101845,  0.23983864,  6.19105901,  2.77427139,  2.88007229,  0.00000000,  0.00000000,  2.88007229, -0.10580090, USD-LIBOR-3M
