FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
22-FEB-1999, 23-FEB-1999,  0.25230034,  0.23000073,  0.25226063,  0.25000087,  0.50361128,  0.50456432,  0.00000000,  0.00000000,  0.50456432, -0.00095304, JPY-LIBOR-3M
23-FEB-1999, 24-FEB-1999,  0.25226063,  0.25000087,  0.25228297,  0.24000080, -0.25172616, -0.25227351,  0.00000000,  0.00000000, -0.25227351,  0.00054735, JPY-LIBOR-3M
24-FEB-1999, 25-FEB-1999,  0.25228297,  0.24000080,  0.25227439,  0.24500083,  0.12593215,  0.12614019,  0.00000000,  0.00000000,  0.12614019, -0.00020804, JPY-LIBOR-3M
25-FEB-1999, 26-FEB-1999,  0.25227439,  0.24500083,  0.25235792,  0.20500058, -1.00739142, -1.00927092,  0.00000000,  0.00000000, -1.00927092,  0.00187950, JPY-LIBOR-3M
26-FEB-1999, 01-MAR-1999,  0.25235792,  0.20500058,  0.25236223,  0.20500058,  0.00008836,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00008836, JPY-LIBOR-3M
01-MAR-1999, 02-MAR-1999,  0.25236223,  0.20500058,  0.25241412,  0.18000045, -0.62997493, -0.63097381,  0.00000000,  0.00000000, -0.63097381,  0.00099889, JPY-LIBOR-3M
02-MAR-1999, 03-MAR-1999,  0.25241412,  0.18000045,  0.25244556,  0.16500038, -0.37810431, -0.37864657,  0.00000000,  0.00000000, -0.37864657,  0.00054226, JPY-LIBOR-3M
03-MAR-1999, 04-MAR-1999,  0.25244556,  0.16500038,  0.25249684,  0.14000027, -0.63039862, -0.63118067,  0.00000000,  0.00000000, -0.63118067,  0.00078204, JPY-LIBOR-3M
04-MAR-1999, 05-MAR-1999,  0.25249684,  0.14000027,  0.25248783,  0.14500029,  0.12611829,  0.12624667,  0.00000000,  0.00000000,  0.12624667, -0.00012838, JPY-LIBOR-3M
05-MAR-1999, 08-MAR-1999,  0.25248783,  0.14500029,  0.25246122,  0.16000036,  0.37830768,  0.37871339,  0.00000000,  0.00000000,  0.37871339, -0.00040572, JPY-LIBOR-3M
08-MAR-1999, 09-MAR-1999,  0.25246122,  0.16000036,  0.25243280,  0.17500043,  0.37819619,  0.37867228,  0.00000000,  0.00000000,  0.37867228, -0.00047609, JPY-LIBOR-3M
09-MAR-1999, 10-MAR-1999,  0.25243280,  0.17500043,  0.25245365,  0.16500038, -0.25208992, -0.25244442,  0.00000000,  0.00000000, -0.25244442,  0.00035450, JPY-LIBOR-3M
10-MAR-1999, 11-MAR-1999,  0.25245365,  0.16500038,  0.25246459,  0.16000036, -0.12605243, -0.12623013,  0.00000000,  0.00000000, -0.12623013,  0.00017771, JPY-LIBOR-3M
11-MAR-1999, 12-MAR-1999,  0.25246459,  0.16000036,  0.25248520,  0.15000031, -0.25215651, -0.25247598,  0.00000000,  0.00000000, -0.25247598,  0.00031947, JPY-LIBOR-3M
12-MAR-1999, 15-MAR-1999,  0.25248520,  0.15000031,  0.25245944,  0.16500038,  0.37830438,  0.37871014,  0.00000000,  0.00000000,  0.37871014, -0.00040576, JPY-LIBOR-3M
15-MAR-1999, 16-MAR-1999,  0.25245944,  0.16500038,  0.25247020,  0.16000036, -0.12605812, -0.12623298,  0.00000000,  0.00000000, -0.12623298,  0.00017486, JPY-LIBOR-3M
16-MAR-1999, 17-MAR-1999,  0.25247020,  0.16000036,  0.25248089,  0.15500033, -0.12606994, -0.12623832,  0.00000000,  0.00000000, -0.12623832,  0.00016839, JPY-LIBOR-3M
17-MAR-1999, 18-MAR-1999,  0.25248089,  0.15500033,  0.25246291,  0.16500038,  0.25218532,  0.25247302,  0.00000000,  0.00000000,  0.25247302, -0.00028770, JPY-LIBOR-3M
18-MAR-1999, 19-MAR-1999,  0.25246291,  0.16500038,  0.25245457,  0.17000040,  0.12609024,  0.12622996,  0.00000000,  0.00000000,  0.12622996, -0.00013972, JPY-LIBOR-3M
19-MAR-1999, 22-MAR-1999,  0.25245457,  0.17000040,  0.25245814,  0.17000040,  0.00006079,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00006079, JPY-LIBOR-3M
22-MAR-1999, 23-MAR-1999,  0.25245814,  0.17000040,  0.25245934,  0.17000040,  0.00002026, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00002026, JPY-LIBOR-3M
23-MAR-1999, 24-MAR-1999,  0.25245934,  0.17000040,  0.25246053,  0.17000040,  0.00002026,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00002026, JPY-LIBOR-3M
24-MAR-1999, 25-MAR-1999,  0.25246053,  0.17000040,  0.25245243,  0.17500043,  0.12608919,  0.12622884,  0.00000000,  0.00000000,  0.12622884, -0.00013965, JPY-LIBOR-3M
25-MAR-1999, 26-MAR-1999,  0.25245243,  0.17500043,  0.25246291,  0.17000040, -0.12604866, -0.12622944,  0.00000000,  0.00000000, -0.12622944,  0.00018078, JPY-LIBOR-3M
26-MAR-1999, 29-MAR-1999,  0.25246291,  0.17000040,  0.25246649,  0.17000040,  0.00006079, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00006079, JPY-LIBOR-3M
29-MAR-1999, 30-MAR-1999,  0.25246649,  0.17000040,  0.25241301,  0.20000056,  0.75633379,  0.75732314,  0.00000000,  0.00000000,  0.75732314, -0.00098935, JPY-LIBOR-3M
30-MAR-1999, 31-MAR-1999,  0.25241301,  0.20000056,  0.25241441,  0.20000056,  0.00002804,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00002804, JPY-LIBOR-3M
31-MAR-1999, 01-APR-1999,  0.25241441,  0.20000056,  0.25241581,  0.20000056,  0.00002804,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00002804, JPY-LIBOR-3M
01-APR-1999, 02-APR-1999,  0.25241581,  0.20000056,  0.25245324,  0.18000045, -0.50416060, -0.50487172,  0.00000000,  0.00000000, -0.50487172,  0.00071111, JPY-LIBOR-3M
