FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
08-DEC-1998, 09-DEC-1998,  0.24939203,  3.14027318,  0.24944257,  3.12527058, -0.35835704, -0.37419081,  0.00000000,  0.00000000, -0.37419081,  0.01583377, EUR-EURIBOR-3M
09-DEC-1998, 10-DEC-1998,  0.24944257,  3.12527058,  0.24947373,  3.12026972, -0.11501951, -0.12475063,  0.00000000,  0.00000000, -0.12475063,  0.00973112, EUR-EURIBOR-3M
10-DEC-1998, 11-DEC-1998,  0.24947373,  3.12026972,  0.24953351,  3.10026627, -0.48050092, -0.49909314,  0.00000000,  0.00000000, -0.49909314,  0.01859222, EUR-EURIBOR-3M
11-DEC-1998, 14-DEC-1998,  0.24953351,  3.10026627,  0.24955990,  3.12026972,  0.50738627,  0.49917932,  0.00000000,  0.00000000,  0.49917932,  0.00820696, EUR-EURIBOR-3M
14-DEC-1998, 15-DEC-1998,  0.24955990,  3.12026972,  0.24959087,  3.11526885, -0.11515342, -0.12480922,  0.00000000,  0.00000000, -0.12480922,  0.00965580, EUR-EURIBOR-3M
15-DEC-1998, 16-DEC-1998,  0.24959087,  3.11526885,  0.24963117,  3.10526713, -0.23712040, -0.24965398,  0.00000000,  0.00000000, -0.24965398,  0.01253358, EUR-EURIBOR-3M
16-DEC-1998, 17-DEC-1998,  0.24963117,  3.10526713,  0.24968069,  3.09026456, -0.35920591, -0.37454809,  0.00000000,  0.00000000, -0.37454809,  0.01534218, EUR-EURIBOR-3M
17-DEC-1998, 18-DEC-1998,  0.24968069,  3.09026456,  0.24970204,  3.09026456,  0.00659756, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00659756, EUR-EURIBOR-3M
18-DEC-1998, 21-DEC-1998,  0.24970204,  3.09026456,  0.24972920,  3.11026799,  0.50793748,  0.49951693,  0.00000000,  0.00000000,  0.49951693,  0.00842055, EUR-EURIBOR-3M
21-DEC-1998, 22-DEC-1998,  0.24972920,  3.11026799,  0.24973231,  3.12026972,  0.25074327,  0.24977381,  0.00000000,  0.00000000,  0.24977381,  0.00096946, EUR-EURIBOR-3M
22-DEC-1998, 23-DEC-1998,  0.24973231,  3.12026972,  0.24976303,  3.11526885, -0.11531876, -0.12489538,  0.00000000,  0.00000000, -0.12489538,  0.00957662, EUR-EURIBOR-3M
23-DEC-1998, 24-DEC-1998,  0.24976303,  3.11526885,  0.24969336,  3.16527754,  1.22697866,  1.24885796,  0.00000000,  0.00000000,  1.24885796, -0.02187930, EUR-EURIBOR-3M
24-DEC-1998, 29-DEC-1998,  0.24969336,  3.16527754,  0.24982956,  3.15027492, -0.33169733, -0.37470766,  0.00000000,  0.00000000, -0.37470766,  0.04301032, EUR-EURIBOR-3M
29-DEC-1998, 30-DEC-1998,  0.24982956,  3.15027492,  0.24985134,  3.15027492,  0.00685985,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00685985, EUR-EURIBOR-3M
30-DEC-1998, 04-JAN-1999,  0.24985134,  3.15027492,  0.25000399,  3.12527058, -0.57702754, -0.62492766,  0.00000000,  0.00000000, -0.62492766,  0.04790012, EUR-EURIBOR-3M
04-JAN-1999, 05-JAN-1999,  0.25000399,  3.12527058,  0.25003433,  3.12026972, -0.11555793, -0.12503118,  0.00000000,  0.00000000, -0.12503118,  0.00947325, EUR-EURIBOR-3M
05-JAN-1999, 06-JAN-1999,  0.25003433,  3.12026972,  0.25007329,  3.11026799, -0.23796115, -0.25009692,  0.00000000,  0.00000000, -0.25009692,  0.01213577, EUR-EURIBOR-3M
06-JAN-1999, 07-JAN-1999,  0.25007329,  3.11026799,  0.25012942,  3.09026456, -0.48288690, -0.50028852,  0.00000000,  0.00000000, -0.50028852,  0.01740163, EUR-EURIBOR-3M
07-JAN-1999, 08-JAN-1999,  0.25012942,  3.09026456,  0.25015080,  3.09026456,  0.00660941, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00660941, EUR-EURIBOR-3M
08-JAN-1999, 11-JAN-1999,  0.25015080,  3.09026456,  0.25019794,  3.10026627,  0.26480812,  0.25021723,  0.00000000,  0.00000000,  0.25021723,  0.01459090, EUR-EURIBOR-3M
