FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
08-FEB-1991, 11-FEB-1991,  0.24369308,  7.89171822,  0.24380876,  7.92173126,  0.82303678,  0.73157084,  0.00000000,  0.00000000,  0.73157084,  0.09146594, CHF-LIBOR-3M
11-FEB-1991, 12-FEB-1991,  0.24380876,  7.92173126,  0.24377622,  7.98175751,  1.43751482,  1.46339478,  0.00000000,  0.00000000,  1.46339478, -0.02587997, CHF-LIBOR-3M
12-FEB-1991, 13-FEB-1991,  0.24377622,  7.98175751,  0.24395767,  7.89171822, -2.05174390, -2.19576077,  0.00000000,  0.00000000, -2.19576077,  0.14401687, CHF-LIBOR-3M
13-FEB-1991, 14-FEB-1991,  0.24395767,  7.89171822,  0.24419478,  7.76166223, -2.98878189, -3.17435726,  0.00000000,  0.00000000, -3.17435726,  0.18557537, CHF-LIBOR-3M
14-FEB-1991, 15-FEB-1991,  0.24419478,  7.76166223,  0.24416228,  7.82168796,  1.44037765,  1.46569926,  0.00000000,  0.00000000,  1.46569926, -0.02532160, CHF-LIBOR-3M
15-FEB-1991, 18-FEB-1991,  0.24416228,  7.82168796,  0.24429208,  7.84169658,  0.59032483,  0.48866483,  0.00000000,  0.00000000,  0.48866483,  0.10165999, CHF-LIBOR-3M
18-FEB-1991, 19-FEB-1991,  0.24429208,  7.84169658,  0.24428940,  7.88171388,  0.97547566,  0.97758562,  0.00000000,  0.00000000,  0.97758562, -0.00210996, CHF-LIBOR-3M
19-FEB-1991, 20-FEB-1991,  0.24428940,  7.88171388,  0.24430103,  7.91172691,  0.74238661,  0.73320403,  0.00000000,  0.00000000,  0.73320403,  0.00918258, CHF-LIBOR-3M
20-FEB-1991, 21-FEB-1991,  0.24430103,  7.91172691,  0.24432677,  7.93173563,  0.50923113,  0.48884074,  0.00000000,  0.00000000,  0.48884074,  0.02039039, CHF-LIBOR-3M
21-FEB-1991, 22-FEB-1991,  0.24432677,  7.93173563,  0.24431185,  7.98175751,  1.21026370,  1.22213125,  0.00000000,  0.00000000,  1.22213125, -0.01186756, CHF-LIBOR-3M
22-FEB-1991, 25-FEB-1991,  0.24431185,  7.98175751,  0.24437866,  8.05178838,  1.76472460,  1.71117103,  0.00000000,  0.00000000,  1.71117103,  0.05355357, CHF-LIBOR-3M
25-FEB-1991, 26-FEB-1991,  0.24437866,  8.05178838,  0.24436589,  8.10181059,  1.21209099,  1.22240416,  0.00000000,  0.00000000,  1.22240416, -0.01031317, CHF-LIBOR-3M
26-FEB-1991, 27-FEB-1991,  0.24436589,  8.10181059,  0.24434049,  8.16183742,  1.44612134,  1.46677483,  0.00000000,  0.00000000,  1.46677483, -0.02065349, CHF-LIBOR-3M
27-FEB-1991, 28-FEB-1991,  0.24434049,  8.16183742,  0.24430267,  8.23186898,  1.68002261,  1.71102200,  0.00000000,  0.00000000,  1.71102200, -0.03099939, CHF-LIBOR-3M
28-FEB-1991, 01-MAR-1991,  0.24430267,  8.23186898,  0.24439747,  8.20185542, -0.65548508, -0.73338145,  0.00000000,  0.00000000, -0.73338145,  0.07789637, CHF-LIBOR-3M
01-MAR-1991, 04-MAR-1991,  0.24439747,  8.20185542,  0.24456284,  8.20185542,  0.13563581, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.13563581, CHF-LIBOR-3M
04-MAR-1991, 05-MAR-1991,  0.24456284,  8.20185542,  0.24466967,  8.16183742, -0.89150155, -0.97890529,  0.00000000,  0.00000000, -0.97890529,  0.08740374, CHF-LIBOR-3M
