FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
09-JUN-1989, 13-JUN-1989,  0.21551086,  18.00452852,  0.21586506,  18.04450437,  1.50065813,  0.86223094,  0.00000000,  0.00000000,  0.86223094,  0.63842719, AUD-BBSW-3M
13-JUN-1989, 14-JUN-1989,  0.21586506,  18.04450437,  0.21635778,  17.79465446, -4.51661976, -5.39954201,  0.00000000,  0.00000000, -5.39954201,  0.88292224, AUD-BBSW-3M
14-JUN-1989, 15-JUN-1989,  0.21635778,  17.79465446,  0.21655406,  17.73469017, -0.94926939, -1.29796243,  0.00000000,  0.00000000, -1.29796243,  0.34869304, AUD-BBSW-3M
15-JUN-1989, 16-JUN-1989,  0.21655406,  17.73469017,  0.21648710,  17.84462460,  2.26118758,  2.38030670,  0.00000000,  0.00000000,  2.38030670, -0.11911912, AUD-BBSW-3M
16-JUN-1989, 19-JUN-1989,  0.21648710,  17.84462460,  0.21653824,  18.01452249,  3.77020429,  3.67850458,  0.00000000,  0.00000000,  3.67850458,  0.09169971, AUD-BBSW-3M
19-JUN-1989, 20-JUN-1989,  0.21653824,  18.01452249,  0.21714592,  17.68471984, -6.06683533, -7.15150925,  0.00000000,  0.00000000, -7.15150925,  1.08467393, AUD-BBSW-3M
20-JUN-1989, 21-JUN-1989,  0.21714592,  17.68471984,  0.21721849,  17.70470798,  0.56251782,  0.43410685,  0.00000000,  0.00000000,  0.43410685,  0.12841097, AUD-BBSW-3M
21-JUN-1989, 22-JUN-1989,  0.21721849,  17.70470798,  0.21747338,  17.60476715, -1.72217764, -2.17217339,  0.00000000,  0.00000000, -2.17217339,  0.44999575, AUD-BBSW-3M
22-JUN-1989, 23-JUN-1989,  0.21747338,  17.60476715,  0.21759121,  17.59477305, -0.01001726, -0.21740398,  0.00000000,  0.00000000, -0.21740398,  0.20738672, AUD-BBSW-3M
23-JUN-1989, 26-JUN-1989,  0.21759121,  17.59477305,  0.21819938,  17.39489033, -3.29137393, -4.35535037,  0.00000000,  0.00000000, -4.35535037,  1.06397644, AUD-BBSW-3M
26-JUN-1989, 27-JUN-1989,  0.21819938,  17.39489033,  0.21806205,  17.55479661,  3.24806745,  3.48804708,  0.00000000,  0.00000000,  3.48804708, -0.23997963, AUD-BBSW-3M
27-JUN-1989, 28-JUN-1989,  0.21806205,  17.55479661,  0.21822430,  17.51482012, -0.58755012, -0.87205988,  0.00000000,  0.00000000, -0.87205988,  0.28450975, AUD-BBSW-3M
28-JUN-1989, 29-JUN-1989,  0.21822430,  17.51482012,  0.21823782,  17.57478483,  1.33232696,  1.30861638,  0.00000000,  0.00000000,  1.30861638,  0.02371058, AUD-BBSW-3M
