FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
26-FEB-1988, 29-FEB-1988,  0.23141469,  9.38970038,  0.23164524,  9.35970229, -0.47841392, -0.69454581,  0.00000000,  0.00000000, -0.69454581,  0.21613189, GBP-LIBOR-3M
29-FEB-1988, 01-MAR-1988,  0.23164524,  9.35970229,  0.23172189,  9.34970292, -0.15996218, -0.23166889,  0.00000000,  0.00000000, -0.23166889,  0.07170672, GBP-LIBOR-3M
01-MAR-1988, 02-MAR-1988,  0.23172189,  9.34970292,  0.23192360,  9.26970796, -1.66668182, -1.85446507,  0.00000000,  0.00000000, -1.85446507,  0.18778325, GBP-LIBOR-3M
02-MAR-1988, 03-MAR-1988,  0.23192360,  9.26970796,  0.23203533,  9.23970984, -0.59249346, -0.69589478,  0.00000000,  0.00000000, -0.69589478,  0.10340133, GBP-LIBOR-3M
03-MAR-1988, 04-MAR-1988,  0.23203533,  9.23970984,  0.23211118,  9.22971047, -0.16200864, -0.23205874,  0.00000000,  0.00000000, -0.23205874,  0.07005011, GBP-LIBOR-3M
04-MAR-1988, 07-MAR-1988,  0.23211118,  9.22971047,  0.23253196,  9.08971915, -2.86687962, -3.25230027,  0.00000000,  0.00000000, -3.25230027,  0.38542064, GBP-LIBOR-3M
07-MAR-1988, 08-MAR-1988,  0.23253196,  9.08971915,  0.23265953,  9.04972161, -0.81462759, -0.93032583,  0.00000000,  0.00000000, -0.93032583,  0.11569824, GBP-LIBOR-3M
08-MAR-1988, 09-MAR-1988,  0.23265953,  9.04972161,  0.23273410,  9.03972222, -0.16523481, -0.23268256,  0.00000000,  0.00000000, -0.23268256,  0.06744774, GBP-LIBOR-3M
09-MAR-1988, 10-MAR-1988,  0.23273410,  9.03972222,  0.23279111,  9.03972222,  0.05153258,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.05153258, GBP-LIBOR-3M
10-MAR-1988, 11-MAR-1988,  0.23279111,  9.03972222,  0.23286553,  9.02972283, -0.16557150, -0.23281407,  0.00000000,  0.00000000, -0.23281407,  0.06724257, GBP-LIBOR-3M
11-MAR-1988, 14-MAR-1988,  0.23286553,  9.02972283,  0.23327792,  8.88973133, -2.89331499, -3.26280616,  0.00000000,  0.00000000, -3.26280616,  0.36949117, GBP-LIBOR-3M
14-MAR-1988, 15-MAR-1988,  0.23327792,  8.88973133,  0.23354062,  8.76973851, -2.56878946, -2.80074371,  0.00000000,  0.00000000, -2.80074371,  0.23195425, GBP-LIBOR-3M
15-MAR-1988, 16-MAR-1988,  0.23354062,  8.76973851,  0.23330467,  8.93972831,  3.75901535,  3.96794689,  0.00000000,  0.00000000,  3.96794689, -0.20893154, GBP-LIBOR-3M
21-MAR-1988, 22-MAR-1988,  0.22632144,  8.80868074,  0.22637548,  8.80868074,  0.04760276,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.04760276, GBP-LIBOR-3M
22-MAR-1988, 23-MAR-1988,  0.22637548,  8.80868074,  0.22653791,  8.75869562, -0.98927031, -1.13194656,  0.00000000,  0.00000000, -1.13194656,  0.14267626, GBP-LIBOR-3M
23-MAR-1988, 24-MAR-1988,  0.22653791,  8.75869562,  0.22646199,  8.81867775,  1.29186648,  1.35859509,  0.00000000,  0.00000000,  1.35859509, -0.06672862, GBP-LIBOR-3M
24-MAR-1988, 25-MAR-1988,  0.22646199,  8.81867775,  0.22621459,  8.95863560,  2.94788336,  3.16778205,  0.00000000,  0.00000000,  3.16778205, -0.21989869, GBP-LIBOR-3M
25-MAR-1988, 28-MAR-1988,  0.22621459,  8.95863560,  0.22642212,  8.93864167, -0.26679162, -0.45249953,  0.00000000,  0.00000000, -0.45249953,  0.18570791, GBP-LIBOR-3M
28-MAR-1988, 29-MAR-1988,  0.22642212,  8.93864167,  0.22662616,  8.86866278, -1.40352416, -1.58519077,  0.00000000,  0.00000000, -1.58519077,  0.18166661, GBP-LIBOR-3M
