FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
30-JUN-1989, 03-JUL-1989,  0.05397952,  5.58043048,  0.05341433,  5.62043665, -0.10170549,  0.21482088,  0.00000000,  0.00000000,  0.21482088, -0.31652637, SEK-STIBOR-3M
03-JUL-1989, 04-JUL-1989,  0.05341433,  5.62043665,  0.05386461,  5.59043202,  0.09145683, -0.16094330,  0.00000000,  0.00000000, -0.16094330,  0.25240013, SEK-STIBOR-3M
04-JUL-1989, 05-JUL-1989,  0.05386461,  5.59043202,  0.05416965,  5.57042894,  0.06217184, -0.10805089,  0.00000000,  0.00000000, -0.10805089,  0.17022273, SEK-STIBOR-3M
05-JUL-1989, 06-JUL-1989,  0.05416965,  5.57042894,  0.05447636,  5.55042587,  0.06188542, -0.10866268,  0.00000000,  0.00000000, -0.10866268,  0.17054809, SEK-STIBOR-3M
06-JUL-1989, 07-JUL-1989,  0.05447636,  5.55042587,  0.05478477,  5.53042281,  0.06159388, -0.10927784,  0.00000000,  0.00000000, -0.10927784,  0.17087172, SEK-STIBOR-3M
07-JUL-1989, 10-JUL-1989,  0.05478477,  5.53042281,  0.05450974,  5.55042587, -0.04307042,  0.10931122,  0.00000000,  0.00000000,  0.10931122, -0.15238163, SEK-STIBOR-3M
10-JUL-1989, 11-JUL-1989,  0.05450974,  5.55042587,  0.05466794,  5.54042434,  0.03313384, -0.05459719,  0.00000000,  0.00000000, -0.05459719,  0.08773103, SEK-STIBOR-3M
11-JUL-1989, 12-JUL-1989,  0.05466794,  5.54042434,  0.05467630,  5.54042434,  0.00462941,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00462941, SEK-STIBOR-3M
12-JUL-1989, 13-JUL-1989,  0.05467630,  5.54042434,  0.05468465,  5.54042434,  0.00463012, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00463012, SEK-STIBOR-3M
13-JUL-1989, 14-JUL-1989,  0.05468465,  5.54042434,  0.05484331,  5.53042281,  0.03305026, -0.05477234,  0.00000000,  0.00000000, -0.05477234,  0.08782260, SEK-STIBOR-3M
