Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
22-OCT-2001, 5.00038, 4.83638, 4.83590, 4.83284, 4.99741, 4.99762, 4.50335, 4.99727, 4.83230, 4.99775, 4.99747, 4.83282, 4.99675, 5.00282, 4.97702, 4.99980
23-OCT-2001, 4.99925, 4.83380, 4.83262, 4.83335, 5.07419, 5.16952, 4.71564, 5.36465, 5.32604, 6.03911, 5.81958, 5.23525, 5.54064, 5.50059, 5.48424, 5.50758
05-NOV-2001, 4.60524, 4.57522, 4.53520, 4.63041, 4.64050, 4.12490, 4.66035, 4.51326, 4.72989, 5.06699, 4.81248, 4.76598, 4.67147, 4.65302, 4.63786, 4.65579
03-JAN-2002, 4.37874, 4.38187, 4.38115, 3.94169, 4.25384, 4.01877, 4.15102, 4.07319, 4.19080, 4.48954, 4.48194, 4.28059, 4.34303, 4.32378, 4.31087, 4.32688
07-JAN-2002, 4.38724, 4.37422, 4.35750, 3.90652, 4.34199, 4.10370, 4.28636, 4.21159, 4.33240, 4.64002, 4.61034, 4.38498, 4.45477, 4.43354, 4.42105, 4.43675
08-JAN-2002, 4.40684, 4.38998, 4.22548, 3.90656, 4.33545, 4.16874, 4.30890, 4.20894, 4.33331, 4.61429, 4.59100, 4.39082, 4.45267, 4.43414, 4.42017, 4.43701
09-JAN-2002, 4.39813, 4.37404, 4.06186, 3.87278, 4.29920, 4.12343, 4.27753, 4.17999, 4.30236, 4.58462, 4.56093, 4.36004, 4.42231, 4.40376, 4.38972, 4.40636
10-JAN-2002, 4.37987, 4.37314, 3.93526, 3.91708, 4.31227, 4.09282, 4.27667, 4.18421, 4.31753, 4.63511, 4.59800, 4.37540, 4.44422, 4.42340, 4.41099, 4.42653
11-JAN-2002, 4.39952, 4.38543, 3.93983, 3.90374, 4.31056, 4.13445, 4.28829, 4.13509, 4.28805, 4.63390, 4.60187, 4.37445, 4.44438, 4.42298, 4.41127, 4.42994
14-JAN-2002, 4.36496, 4.34889, 3.90555, 3.86904, 4.25049, 4.01300, 4.17498, 4.06454, 4.19300, 4.46959, 4.45173, 4.27350, 4.32860, 4.31226, 4.29941, 4.31468
15-JAN-2002, 4.37671, 4.21200, 3.90211, 3.85369, 4.27903, 4.06399, 4.19644, 4.08360, 4.24735, 4.57598, 4.52935, 4.32318, 4.38692, 4.36780, 4.35478, 4.37074
16-JAN-2002, 4.36804, 4.07400, 3.91827, 3.88895, 4.25942, 4.10360, 4.20665, 4.15279, 4.30011, 4.57135, 4.53790, 4.34044, 4.40125, 4.38315, 4.36964, 4.38596
17-JAN-2002, 4.38678, 3.94603, 3.92636, 3.88840, 4.29719, 4.20677, 4.15024, 4.10841, 4.38007, 4.66299, 4.56778, 4.39717, 4.44976, 4.43510, 4.41997, 4.43683
18-JAN-2002, 4.37129, 3.92996, 3.90399, 3.85391, 4.26156, 4.14281, 4.15215, 4.24513, 4.43608, 4.62965, 4.59527, 4.38259, 4.44808, 4.42795, 4.41637, 4.43462
28-JAN-2002, 3.97309, 3.96783, 3.95992, 3.94943, 4.43038, 4.29289, 4.49858, 4.44783, 4.72831, 5.02828, 4.87390, 4.64988, 4.71912, 4.69864, 4.68281, 4.70364
