Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
03-MAY-2002, 1.97057, 2.26049, 2.61548, 3.00545, 2.74622, 2.84466, 2.93128, 3.29838, 3.48882, 2.94901, 2.98956, 3.00391, 3.06903, 3.08456, 3.07114, 3.07979
06-MAY-2002, 2.36332, 2.40177, 2.45588, 2.46714, 2.74622, 2.84466, 2.93128, 3.29838, 3.48679, 2.94955, 2.98928, 3.00399, 3.06899, 3.08457, 3.07110, 3.07979
07-MAY-2002, 2.39158, 2.42335, 2.46668, 2.45634, 2.66396, 2.78280, 2.90146, 3.08290, 3.37181, 2.93258, 2.92249, 2.95848, 3.01581, 3.03391, 3.01986, 3.02850
08-MAY-2002, 2.95986, 2.96147, 2.96313, 2.86825, 2.97250, 2.98012, 2.88924, 2.99504, 2.90915, 2.70122, 2.98368, 2.89078, 2.98650, 2.98948, 2.97997, 2.98741
09-MAY-2002, 2.39952, 2.42678, 2.46438, 2.44591, 2.66396, 2.82402, 2.96262, 3.22652, 3.41530, 2.92178, 2.95853, 2.97390, 3.03816, 3.05391, 3.04042, 3.04900
10-MAY-2002, 2.39952, 2.42678, 2.38057, 2.44591, 2.66396, 2.82402, 2.96262, 3.22652, 3.41530, 2.92178, 2.95853, 2.97390, 3.03816, 3.05391, 3.04042, 3.04900
13-MAY-2002, 2.43415, 2.47006, 2.43574, 2.53747, 2.84966, 2.80354, 2.98100, 3.34962, 3.46916, 2.94336, 3.02259, 3.02026, 3.09113, 3.10490, 3.09182, 3.10039
14-MAY-2002, 2.46874, 2.49288, 2.44664, 2.53671, 2.96318, 3.06143, 3.23431, 3.48283, 3.68954, 3.15507, 3.18392, 3.20563, 3.27311, 3.29066, 3.27555, 3.28528
15-MAY-2002, 2.46874, 2.49288, 2.44664, 2.53671, 2.96318, 3.06143, 3.23431, 3.48283, 3.68954, 3.15507, 3.18392, 3.20563, 3.27311, 3.29066, 3.27555, 3.28528
16-MAY-2002, 2.46983, 2.49530, 2.44949, 2.53671, 2.93224, 3.05110, 3.17304, 3.40066, 3.70369, 3.18584, 3.16774, 3.21006, 3.27124, 3.29118, 3.27540, 3.28528
