Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
26-JAN-1999, 2.87907, 2.85857, 2.82626, 2.76905, 3.06389, 2.97512, 3.08072, 2.99356, 2.95835, 3.03189, 3.12146, 3.03304, 3.06004, 3.05239, 3.04575, 3.05415
27-JAN-1999, 2.87794, 2.85823, 2.82841, 2.77717, 3.07814, 2.98866, 3.09512, 3.00718, 2.97140, 3.02424, 3.11592, 3.04060, 3.06344, 3.05752, 3.04979, 3.05892
28-JAN-1999, 2.86840, 2.84706, 2.81354, 2.75461, 3.04586, 2.96089, 3.06545, 2.97968, 2.99299, 3.07125, 3.13760, 3.04592, 3.07374, 3.06530, 3.05984, 3.06905
29-JAN-1999, 2.86437, 2.84693, 2.81935, 2.77531, 3.06611, 2.97973, 3.08510, 2.99990, 2.99146, 3.06467, 3.14792, 3.04935, 2.97844, 2.97000, 2.96349, 3.07452
01-FEB-1999, 2.88797, 2.86251, 2.82672, 3.08240, 2.97573, 3.08806, 2.99236, 3.10813, 2.94620, 2.93349, 2.93554, 3.03421, 2.76582, 2.75666, 2.75069, 2.85911
02-FEB-1999, 2.91004, 2.90702, 2.90211, 3.21071, 3.11116, 3.22662, 3.12653, 3.25035, 3.01543, 2.91448, 2.96777, 3.10334, 2.81824, 2.81335, 2.80569, 2.91691
03-FEB-1999, 2.90902, 2.88918, 2.86106, 3.13161, 3.02615, 3.14013, 3.04246, 3.16151, 2.97754, 2.93070, 2.94912, 3.06425, 2.78835, 2.78132, 2.77549, 2.88387
04-FEB-1999, 2.90803, 2.89347, 2.87029, 3.14605, 3.03047, 3.14747, 3.04740, 3.17371, 2.98509, 2.92908, 2.97032, 3.06568, 2.79533, 2.78623, 2.78009, 2.89122
05-FEB-1999, 2.92188, 2.90441, 2.87676, 3.14618, 3.02662, 3.14528, 3.04439, 3.17053, 2.98369, 2.92947, 2.97016, 3.06568, 2.79546, 2.78636, 2.78060, 2.89143
08-FEB-1999, 2.93130, 2.92765, 3.24040, 3.23737, 3.14384, 3.11678, 3.01234, 3.13154, 2.95871, 2.93935, 2.96167, 3.07896, 2.80152, 2.79454, 2.78754, 2.89758
09-FEB-1999, 2.91903, 2.91930, 3.23882, 3.24260, 3.15156, 3.10715, 3.00244, 3.11974, 2.99586, 2.93102, 2.92654, 3.08945, 2.79752, 2.79557, 2.78763, 2.89753
10-FEB-1999, 2.92168, 2.92184, 3.24162, 3.24570, 3.15521, 3.09440, 2.98906, 3.10783, 2.94227, 2.94530, 2.96416, 3.07168, 2.79729, 2.78953, 2.78398, 2.89254
11-FEB-1999, 2.91393, 2.91395, 3.23203, 3.23533, 3.15258, 3.07664, 2.95818, 3.07719, 3.01979, 3.01285, 2.96944, 3.10761, 2.82155, 2.81660, 2.80892, 2.92221
12-FEB-1999, 2.90932, 2.90953, 3.22728, 3.23045, 3.14621, 3.08653, 2.96882, 3.08903, 3.02661, 3.04198, 2.99863, 3.11588, 2.83505, 2.82802, 2.82187, 2.93402
15-FEB-1999, 2.87626, 3.18973, 3.19135, 3.19504, 3.10505, 3.06806, 2.96586, 3.07930, 3.00621, 3.04075, 2.98885, 3.09678, 2.82056, 2.81235, 2.80678, 2.91632
16-FEB-1999, 2.89060, 3.20586, 3.20752, 3.21110, 3.11991, 3.09543, 2.99288, 3.10718, 3.04701, 3.03989, 2.98153, 3.12008, 2.83301, 2.82805, 2.82092, 2.93191
17-FEB-1999, 2.88214, 3.19665, 3.19831, 3.20163, 3.11009, 3.10354, 3.00219, 3.11669, 3.04508, 3.06924, 3.01210, 3.12424, 2.84459, 2.83659, 2.82988, 2.94156
18-FEB-1999, 2.86291, 3.17515, 3.17642, 3.17917, 3.09281, 3.07990, 2.96930, 3.08642, 3.03088, 3.04881, 2.99379, 3.10356, 2.82606, 2.81832, 2.81142, 2.92437
19-FEB-1999, 2.85349, 3.16496, 3.16634, 3.16899, 3.08114, 3.08784, 2.97924, 3.09792, 3.02478, 3.03492, 2.99142, 3.09634, 2.82087, 2.81197, 2.80741, 2.91797
22-FEB-1999, 3.16832, 3.16894, 3.17048, 3.17391, 3.08402, 3.05919, 2.95769, 3.07068, 3.00267, 3.03421, 2.97777, 3.08689, 2.81110, 2.80281, 2.79738, 2.90677
23-FEB-1999, 3.16822, 3.16873, 3.17025, 3.17381, 3.08445, 3.04752, 2.94539, 3.05834, 2.99094, 2.99376, 2.94270, 3.07251, 2.79158, 2.78581, 2.77935, 2.88841
24-FEB-1999, 3.18903, 3.18938, 3.19096, 3.19489, 3.10577, 3.04862, 2.94534, 3.05880, 2.98679, 3.05656, 3.00291, 3.08997, 2.82044, 2.81013, 2.80452, 2.91452
25-FEB-1999, 3.19503, 3.19542, 3.19613, 3.19834, 3.11928, 3.08365, 2.95230, 3.07543, 3.02852, 3.05083, 3.00399, 3.10651, 2.83095, 2.82281, 2.81720, 2.92948
26-FEB-1999, 3.21513, 3.21582, 3.21677, 3.21896, 3.13587, 3.13054, 3.00490, 3.12930, 3.07813, 3.13218, 3.08285, 3.15400, 2.88364, 2.87196, 2.86655, 2.98168
01-MAR-1999, 3.23118, 3.23199, 3.23337, 3.13145, 3.25138, 3.03597, 3.13951, 3.15168, 3.00039, 3.29004, 3.31628, 3.07925, 3.22375, 3.21161, 3.20460, 3.21444
02-MAR-1999, 3.25781, 3.25912, 3.26071, 3.15723, 3.27629, 3.10760, 3.21622, 3.22831, 3.07308, 3.39868, 3.41517, 3.14404, 3.30065, 3.28522, 3.27858, 3.28872
03-MAR-1999, 3.25349, 3.25459, 3.25616, 3.15317, 3.27272, 3.08218, 3.18848, 3.20136, 3.04726, 3.35213, 3.37388, 3.12095, 3.27139, 3.25777, 3.25078, 3.26091
05-MAR-1999, 3.20983, 3.21068, 3.21180, 3.10978, 3.23287, 3.02221, 3.11561, 3.13265, 2.98018, 3.33219, 3.36933, 3.06979, 3.23280, 3.21368, 3.21009, 3.21974
08-MAR-1999, 3.18895, 3.18961, 3.19087, 3.09043, 3.20926, 2.98445, 3.08487, 3.09768, 2.93787, 3.26851, 3.29927, 3.03266, 3.18513, 3.16944, 3.16368, 3.17302
09-MAR-1999, 3.18476, 3.18533, 3.18652, 3.08618, 3.20541, 2.97092, 3.06985, 3.08289, 2.93215, 3.26938, 3.29460, 3.02752, 3.18013, 3.16409, 3.15905, 3.16774
10-MAR-1999, 3.17943, 3.17995, 3.07674, 3.08105, 3.20014, 2.96587, 3.06461, 3.07785, 2.92260, 3.23681, 3.26792, 3.01557, 3.16326, 3.14905, 3.14306, 3.15233
11-MAR-1999, 3.17084, 3.17147, 3.06837, 3.07170, 3.19466, 2.96870, 3.05770, 3.07505, 2.92615, 3.20502, 3.24763, 3.00729, 3.15088, 3.13780, 3.13289, 3.14240
12-MAR-1999, 3.17400, 3.17444, 3.07110, 3.07440, 3.19903, 2.95729, 3.04365, 3.06213, 2.89876, 3.16525, 3.22310, 2.98860, 3.12990, 3.11783, 3.11152, 3.12235
15-MAR-1999, 3.13635, 3.13686, 3.03501, 3.03906, 3.15645, 2.92674, 3.02417, 3.03692, 2.88316, 3.18137, 3.21355, 2.97272, 3.11593, 3.10268, 3.09677, 3.10574
16-MAR-1999, 3.13215, 3.13276, 3.03118, 3.03524, 3.15179, 2.93036, 3.02933, 3.03767, 2.98281, 3.13547, 3.11104, 3.00055, 3.10443, 3.10569, 3.09655, 3.10561
17-MAR-1999, 3.12061, 3.01908, 3.02011, 3.02398, 3.13981, 2.92879, 3.02841, 3.03809, 2.94007, 3.13500, 3.13537, 2.98112, 3.09819, 3.09406, 3.08718, 3.09511
18-MAR-1999, 3.11084, 3.00953, 3.01017, 3.01339, 3.13430, 2.90773, 2.99534, 3.00754, 2.91418, 3.10929, 3.11351, 2.96045, 3.07646, 3.07319, 3.06394, 3.07590
19-MAR-1999, 3.11086, 3.00961, 3.01032, 3.01350, 3.13377, 2.91481, 3.00371, 3.01622, 2.92262, 3.10034, 3.10452, 2.96287, 3.07553, 3.07318, 3.06500, 3.07540
22-MAR-1999, 3.11117, 3.01003, 3.01108, 3.01493, 3.12983, 2.92756, 3.02754, 3.03676, 2.94689, 3.13959, 3.13320, 2.98173, 3.09787, 3.09453, 3.08559, 3.09545
23-MAR-1999, 3.11117, 3.01003, 3.01108, 3.01493, 3.12984, 2.92755, 3.02757, 3.03662, 2.95146, 3.16705, 3.15499, 2.98834, 3.10903, 3.10416, 3.09733, 3.10536
24-MAR-1999, 2.98587, 2.98660, 2.98769, 2.99145, 3.10533, 2.90627, 3.00563, 3.01523, 2.91937, 3.13776, 3.13302, 2.96132, 3.08297, 3.07707, 3.06980, 3.07864
25-MAR-1999, 2.96319, 2.96394, 2.96480, 2.96783, 3.08449, 2.88965, 2.98106, 2.99127, 2.90766, 3.09921, 3.09169, 2.94050, 3.05555, 3.05170, 3.04494, 3.05414
26-MAR-1999, 2.96733, 2.96801, 2.96882, 2.97187, 3.08923, 2.88628, 2.97653, 2.98769, 2.89615, 3.10351, 3.10295, 2.93749, 3.05637, 3.05183, 3.04354, 3.05480
29-MAR-1999, 3.02644, 3.02653, 3.02729, 3.03202, 3.14811, 2.88284, 2.98028, 2.99209, 2.82526, 3.10817, 3.15617, 2.93002, 3.06751, 3.05583, 3.04909, 3.05848
30-MAR-1999, 3.01832, 3.01845, 3.01924, 3.02396, 3.13946, 2.87520, 2.97139, 2.98418, 2.79757, 3.10336, 3.16293, 2.91543, 3.05929, 3.04475, 3.03956, 3.04799
31-MAR-1999, 2.99800, 2.99816, 2.99895, 3.00276, 3.01825, 2.86286, 2.95494, 2.87117, 2.80191, 3.08483, 3.03142, 2.90378, 2.94234, 2.93059, 2.92515, 2.93331
01-APR-1999, 2.96733, 2.96750, 2.96790, 3.07181, 2.99155, 2.93643, 2.92048, 2.84277, 2.86921, 3.04549, 3.00646, 2.97041, 2.91304, 2.90070, 2.89518, 2.90556
02-APR-1999, 2.90435, 2.90484, 2.90552, 3.00693, 2.92513, 2.91228, 2.90518, 2.81640, 2.98283, 3.00260, 2.86044, 2.98496, 2.87881, 2.88417, 2.87416, 2.88478
06-APR-1999, 2.89437, 2.89481, 2.89572, 2.99765, 2.91199, 2.89228, 2.89202, 2.80510, 2.92225, 2.99677, 2.88868, 2.95447, 2.86660, 2.86569, 2.85696, 2.86615
07-APR-1999, 2.87116, 2.87196, 2.87312, 2.97370, 2.88693, 2.90771, 2.91023, 2.82210, 2.95720, 3.00761, 2.88424, 2.96470, 2.87220, 2.87287, 2.86409, 2.87294
