Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
14-DEC-2000, 6.10961, 6.09920, 6.08408, 6.06072, 5.47257, 5.96412, 5.70505, 5.78227, 5.55210, 5.50070, 5.63001, 5.56041, 5.83109, 5.77921, 5.76328, 5.78881
15-DEC-2000, 6.10252, 6.10154, 6.09796, 6.09174, 5.50184, 5.96772, 5.73770, 5.89523, 5.60026, 5.52103, 5.64481, 5.51649, 5.83231, 5.77917, 5.76350, 5.79489
18-DEC-2000, 6.07515, 6.08309, 6.09102, 6.10147, 5.47515, 5.92263, 5.69435, 5.77194, 5.56038, 5.51505, 5.60306, 5.50066, 5.78774, 5.75787, 5.73601, 5.76254
19-DEC-2000, 6.06962, 6.07791, 6.08775, 6.10567, 5.50678, 5.89251, 5.71734, 5.83893, 5.57986, 5.55518, 5.68820, 5.57595, 5.85967, 5.80408, 5.78798, 5.81439
20-DEC-2000, 5.99218, 5.98569, 5.97972, 5.98275, 5.48154, 5.80166, 5.59158, 5.69128, 5.40337, 5.35576, 5.54112, 5.51257, 5.77451, 5.67854, 5.67514, 5.69786
21-DEC-2000, 5.88350, 5.91820, 5.95881, 6.01425, 5.34805, 5.84284, 5.57456, 5.70972, 5.44228, 5.35971, 5.51281, 5.45446, 5.72344, 5.65264, 5.64343, 5.66641
22-DEC-2000, 5.97339, 5.97721, 5.97970, 5.98260, 5.39278, 5.79785, 5.59597, 5.80162, 5.43450, 5.29176, 5.60375, 5.43639, 5.64124, 5.67203, 5.63322, 5.67495
27-DEC-2000, 6.13052, 6.09560, 6.04923, 5.97840, 5.40269, 5.84001, 5.61973, 5.62518, 5.41039, 5.31772, 5.82655, 5.87382, 5.83963, 5.88213, 5.83708, 5.87085
28-DEC-2000, 6.05236, 6.06622, 6.07507, 6.06646, 5.30817, 5.96524, 5.60266, 5.68325, 5.47528, 5.34096, 5.82303, 5.89767, 5.89070, 5.89388, 5.85988, 5.89104
29-DEC-2000, 5.92642, 5.95738, 5.99691, 5.85305, 5.40046, 5.87644, 5.57944, 5.65167, 5.41682, 5.29794, 5.82817, 5.85389, 5.78786, 5.87046, 5.81488, 5.85996
02-JAN-2001, 6.10264, 6.07673, 6.04081, 5.39134, 5.91760, 5.50596, 5.70140, 5.36320, 5.51120, 5.37851, 5.73390, 5.98508, 5.73231, 5.79433, 5.74563, 5.77886
03-JAN-2001, 6.11151, 6.08209, 6.04282, 5.39061, 5.95264, 5.52388, 5.63903, 5.42139, 5.55286, 5.40617, 5.79632, 6.03570, 5.77749, 5.82802, 5.78203, 5.81499
04-JAN-2001, 6.06173, 6.03975, 6.00735, 5.36353, 5.85016, 5.42380, 5.48773, 5.42603, 5.50030, 5.29668, 5.80295, 6.09721, 5.79080, 5.80034, 5.76568, 5.79637
05-JAN-2001, 6.03226, 6.01082, 5.97596, 5.32879, 5.79727, 5.43751, 5.38007, 5.33715, 5.43812, 5.30902, 5.51397, 5.73443, 5.68589, 5.59088, 5.58822, 5.61541
08-JAN-2001, 6.00838, 5.98714, 5.76062, 5.31600, 5.78202, 5.38708, 5.46454, 5.26256, 5.34467, 5.34429, 5.51665, 5.72768, 5.69631, 5.57971, 5.58327, 5.60352
09-JAN-2001, 6.04796, 6.02082, 5.59404, 5.34290, 5.88163, 5.36310, 5.49726, 5.35732, 5.44714, 5.40714, 5.49961, 5.73112, 5.75348, 5.60189, 5.61573, 5.63351
10-JAN-2001, 6.07787, 6.05669, 5.43576, 5.38690, 5.90327, 5.41312, 5.53406, 5.39160, 5.49294, 5.39047, 5.50165, 5.81211, 5.81001, 5.63911, 5.65821, 5.67484
11-JAN-2001, 6.17246, 6.12273, 5.47105, 5.36555, 5.86719, 5.40514, 5.62149, 5.35935, 5.41210, 5.40210, 5.51594, 5.75273, 5.77299, 5.62287, 5.63594, 5.65410
12-JAN-2001, 6.18303, 6.16167, 5.52827, 5.46317, 5.90970, 5.46672, 5.70944, 5.44957, 5.49953, 5.43347, 5.51913, 5.80993, 5.85468, 5.66648, 5.69085, 5.71156
15-JAN-2001, 6.17428, 5.93990, 5.49673, 5.41075, 5.85817, 5.45400, 5.66960, 5.35392, 5.44437, 5.41140, 5.51795, 5.79304, 5.79173, 5.65043, 5.66030, 5.67972
16-JAN-2001, 6.14629, 5.71972, 5.48009, 5.38498, 5.74324, 5.64485, 5.50148, 5.37820, 5.45924, 5.42402, 5.50341, 5.76531, 5.83128, 5.61944, 5.65030, 5.66407
17-JAN-2001, 6.12439, 5.50139, 5.46367, 5.38358, 5.79808, 5.53073, 5.63049, 5.39193, 5.51020, 5.43444, 5.50499, 5.78094, 5.79660, 5.64847, 5.66184, 5.67917
18-JAN-2001, 6.10639, 5.48927, 5.45849, 5.38489, 5.72871, 5.43720, 5.61020, 5.26388, 5.37783, 5.42377, 5.47825, 5.74895, 5.78637, 5.59946, 5.62295, 5.63879
19-JAN-2001, 6.14914, 5.52479, 5.48639, 5.40129, 5.77997, 5.38677, 5.63301, 5.37502, 5.42459, 5.41869, 5.48226, 5.74609, 5.81983, 5.60456, 5.63702, 5.65534
22-JAN-2001, 5.90987, 5.50046, 5.48023, 5.41570, 5.69762, 5.49837, 5.57536, 5.32657, 5.45332, 5.43081, 5.49127, 5.75847, 5.78701, 5.61853, 5.63736, 5.65390
23-JAN-2001, 5.67223, 5.45166, 5.41328, 5.33521, 5.76174, 5.42622, 5.51537, 5.35207, 5.44680, 5.38244, 5.49592, 5.81493, 5.82082, 5.61689, 5.64581, 5.65984
24-JAN-2001, 5.46329, 5.43885, 5.39577, 5.30670, 5.72283, 5.50100, 5.56875, 5.36221, 5.47607, 5.40867, 5.52820, 5.92796, 5.91871, 5.66217, 5.70643, 5.71679
25-JAN-2001, 5.47532, 5.46066, 5.42857, 5.34740, 5.67273, 5.53946, 5.58181, 5.31181, 5.44317, 5.45211, 5.53707, 5.90953, 5.92608, 5.65999, 5.70611, 5.71667
26-JAN-2001, 5.41915, 5.41403, 5.39537, 5.33576, 5.62315, 5.46042, 5.63267, 5.31799, 5.41181, 5.38911, 5.50972, 5.86244, 5.85826, 5.62768, 5.66502, 5.68176
29-JAN-2001, 5.41276, 5.38771, 5.34541, 5.26818, 5.65511, 5.46362, 5.57105, 5.20423, 5.33066, 5.36083, 5.30139, 5.84338, 5.62938, 5.59787, 5.44602, 5.45851
30-JAN-2001, 5.40710, 5.38261, 5.34258, 5.27984, 5.66617, 5.37608, 5.46357, 5.29346, 5.38733, 5.35666, 5.11646, 5.79579, 5.41368, 5.39344, 5.24011, 5.25246
31-JAN-2001, 5.43178, 5.40640, 5.36103, 5.29344, 5.36845, 5.38544, 5.26496, 5.24422, 5.36233, 5.03423, 4.84015, 5.74393, 5.11457, 5.16149, 4.99186, 5.00747
01-FEB-2001, 5.49946, 5.47405, 5.42846, 5.93292, 5.43951, 5.66055, 5.36802, 5.38538, 5.37532, 5.18868, 4.86473, 5.70532, 5.15789, 5.19001, 5.02363, 5.03830
02-FEB-2001, 5.43718, 5.42483, 5.39824, 5.93263, 5.51167, 5.69859, 5.40553, 5.49175, 5.41341, 5.16422, 4.91380, 5.70382, 5.12755, 5.21217, 5.02984, 5.05410
05-FEB-2001, 5.45843, 5.42910, 5.38150, 5.88850, 5.48933, 5.65162, 5.38211, 5.41111, 5.38590, 5.18205, 4.88153, 5.67502, 5.11129, 5.19094, 5.01097, 5.02904
06-FEB-2001, 5.45161, 5.42822, 5.38704, 5.89836, 5.45904, 5.66110, 5.37641, 5.46627, 5.39412, 5.17852, 4.88597, 5.68555, 5.14389, 5.18789, 5.01745, 5.03363
07-FEB-2001, 5.41363, 5.39258, 5.35597, 5.87462, 5.47431, 5.64561, 5.36380, 5.33051, 5.32950, 5.22165, 4.87493, 5.66158, 5.13367, 5.17200, 5.00526, 5.01955
08-FEB-2001, 5.40408, 5.38430, 5.93087, 5.88237, 5.54972, 5.67463, 5.36022, 5.49976, 5.49018, 5.20500, 4.90191, 5.73539, 5.15481, 5.22735, 5.04780, 5.06574
09-FEB-2001, 5.38779, 5.37239, 5.92196, 5.87567, 5.52196, 5.63041, 5.36728, 5.36248, 5.37859, 5.19635, 4.86907, 5.66427, 5.08891, 5.18650, 5.00188, 5.02597
12-FEB-2001, 5.33723, 5.32006, 5.86656, 5.82676, 5.52026, 5.60036, 5.38212, 5.37142, 5.35701, 5.17776, 4.87396, 5.64584, 5.07544, 5.17034, 4.98817, 5.00580
13-FEB-2001, 5.36415, 5.29935, 5.76892, 5.68046, 5.55595, 5.56322, 5.32933, 5.40073, 5.34844, 5.17257, 4.88302, 5.63652, 5.08130, 5.15693, 4.97945, 4.99689
14-FEB-2001, 5.32103, 5.31135, 5.87137, 5.84449, 5.56484, 5.65950, 5.35408, 5.53591, 5.44119, 5.22653, 4.93678, 5.68277, 5.14892, 5.20420, 5.03005, 5.04708
15-FEB-2001, 5.33485, 5.89020, 5.85844, 5.82494, 5.61099, 5.63269, 5.46092, 5.47345, 5.46121, 5.30334, 4.97243, 5.73955, 5.16995, 5.25300, 5.07049, 5.08842
16-FEB-2001, 5.36747, 5.90367, 5.84792, 5.78777, 5.60069, 5.59453, 5.39091, 5.44865, 5.44948, 5.24834, 4.94462, 5.71736, 5.11140, 5.23470, 5.04188, 5.06719
19-FEB-2001, 5.32151, 5.86264, 5.81953, 5.77483, 5.59299, 5.63227, 5.26281, 5.50243, 5.47607, 5.21994, 4.94091, 5.72578, 5.14567, 5.21789, 5.03972, 5.05663
20-FEB-2001, 5.31818, 5.86336, 5.82318, 5.77980, 5.55007, 5.55184, 5.35697, 5.53208, 5.41611, 5.19355, 4.92382, 5.68937, 5.14252, 5.18804, 5.01835, 5.03368
21-FEB-2001, 5.24597, 5.81751, 5.80893, 5.79762, 5.56513, 5.59935, 5.25947, 5.41744, 5.40735, 5.21197, 4.91379, 5.66751, 5.10136, 5.18172, 5.00147, 5.01974
22-FEB-2001, 5.82917, 5.81399, 5.79266, 5.76700, 5.52401, 5.59609, 5.34528, 5.45519, 5.41968, 5.22010, 4.92640, 5.71723, 5.14497, 5.19982, 5.02689, 5.04302
23-FEB-2001, 5.82628, 5.80832, 5.78378, 5.75587, 5.52562, 5.45459, 5.29498, 5.38903, 5.31889, 5.15955, 4.89719, 5.68620, 5.11593, 5.15443, 4.98890, 5.00761
26-FEB-2001, 5.80575, 5.79175, 5.77189, 5.74794, 5.49024, 5.48955, 5.24878, 5.36818, 5.33412, 5.11537, 4.84325, 5.71971, 5.14071, 5.14105, 4.98575, 4.99774
