Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
15-MAR-2002, 0.02204, 0.02193, 0.02033, 0.02496, 0.09797, 0.05514, 0.04770, 0.05063, 0.04774, 0.05000, 0.04973, 0.04824, 0.05006, 0.04931, 0.05044, 0.04943
22-MAR-2002, 0.01929, 0.01705, 0.01648, 0.01770, 0.04885, 0.03241, 0.02963, 0.03158, 0.01755, 0.03562, 0.04436, 0.02590, 0.03201, 0.03035, 0.03003, 0.03085
25-MAR-2002, 0.02280, 0.02001, 0.02076, 0.02058, 0.02113, 0.02448, 0.02547, 0.02569, 0.01889, 0.05776, 0.05770, 0.02889, 0.03801, 0.03566, 0.03530, 0.03613
26-MAR-2002, 0.05500, 0.05119, 0.04610, 0.03255,-0.01449, 0.02358, 0.02693, 0.02629, 0.02614, 0.02649, 0.02669, 0.02558, 0.02650, 0.02675, 0.02606, 0.02664
27-MAR-2002, 0.07012, 0.05683, 0.03798, 0.00520,-0.00349, 0.04263, 0.04644, 0.04598, 0.03458, 0.05864, 0.06046, 0.03758, 0.04518, 0.04310, 0.04292, 0.04358
28-MAR-2002, 0.05647, 0.05248, 0.04890, 0.03668,-0.01724, 0.06573, 0.07836, 0.07684, 0.05220, 0.03729, 0.05024, 0.04387, 0.04679, 0.04609, 0.04716, 0.04606
29-MAR-2002, 0.05799, 0.05240, 0.04457, 0.03245, 0.05029, 0.05245, 0.05256, 0.05613, 0.00507, 0.05550, 0.08973, 0.03303, 0.05060, 0.04468, 0.04646, 0.04591
02-APR-2002, 0.04588, 0.04394, 0.04031, 0.03662, 0.03898, 0.04090, 0.04073, 0.03946, 0.04074, 0.04077, 0.03945, 0.04078, 0.03942, 0.03961, 0.03887, 0.03957
03-APR-2002, 0.02713, 0.02713, 0.02713, 0.02803, 0.02712, 0.02803, 0.02801, 0.02718, 0.02652, 0.03613, 0.03491, 0.02907, 0.03016, 0.02947, 0.02947, 0.02962
04-APR-2002, 0.01973, 0.01973, 0.01973, 0.02039, 0.01973, 0.02038, 0.02038, 0.01973, 0.02038, 0.02038, 0.01972, 0.02039, 0.01970, 0.01985, 0.01927, 0.01993
05-APR-2002, 0.02508, 0.02384, 0.02081, 0.01698, 0.01878, 0.02052, 0.02078, 0.01802, 0.04748,-0.00531,-0.02316, 0.02603, 0.01075, 0.01588, 0.01449, 0.01482
08-APR-2002, 0.02959, 0.02959, 0.02959, 0.03058, 0.02959, 0.03058, 0.03058, 0.02959, 0.03058, 0.03057, 0.02959, 0.03057, 0.02959, 0.02957, 0.02965, 0.02958
10-APR-2002, 0.02505, 0.02303, 0.02033, 0.01614, 0.01927, 0.02052, 0.02029, 0.01996, 0.01434, 0.05279, 0.05088, 0.02454, 0.03193, 0.02889, 0.03006, 0.02951
11-APR-2002, 0.02461, 0.02443, 0.02508, 0.02520, 0.02593, 0.00707, 0.00460, 0.00545, 0.00483, 0.04761, 0.04633, 0.01935, 0.02696, 0.02406, 0.02473, 0.02469
