Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
04-SEP-2002, 5.83446, 5.82457, 5.81162, 5.99685, 5.85335, 5.91072, 5.92146, 5.40182, 5.97192, 5.82395, 5.83791, 5.98459, 5.80091, 5.80257, 5.77068, 5.80045
05-SEP-2002, 5.83748, 5.84383, 5.84754, 6.04502, 5.78069, 5.97890, 5.98824, 5.33082, 5.93872, 5.85197, 5.83874, 5.99715, 5.80954, 5.81287, 5.77923, 5.81030
06-SEP-2002, 5.84280, 5.83964, 5.83200, 6.01671, 5.80394, 5.93870, 5.98015, 5.26919, 5.86133, 5.75318, 5.74704, 5.95293, 5.75136, 5.76025, 5.72750, 5.76263
09-SEP-2002, 5.83738, 5.83336, 5.82675, 6.01797, 5.83317, 5.92839, 5.98284, 5.26653, 5.91108, 5.80264, 5.76885, 5.98171, 5.77746, 5.78695, 5.75210, 5.78307
10-SEP-2002, 5.86375, 5.85984, 6.05138, 6.03543, 5.82046, 6.02140, 6.01433, 5.35376, 5.96444, 5.87551, 5.86281, 6.02313, 5.83418, 5.83755, 5.80445, 5.83485
11-SEP-2002, 5.83558, 5.83886, 6.04157, 6.04362, 5.84317, 5.97961, 6.05329, 5.41504, 6.01311, 5.92786, 5.91094, 6.04801, 5.86561, 5.86664, 5.83191, 5.86456
12-SEP-2002, 5.84459, 5.84451, 6.04156, 6.03429, 5.84036, 6.06447, 6.02126, 5.54177, 6.14918, 6.00506, 5.98952, 6.10319, 5.92685, 5.92483, 5.89201, 5.92346
13-SEP-2002, 5.83275, 5.83129, 6.02706, 6.02252, 5.86318, 5.98668, 5.99560, 5.46073, 6.09010, 5.95427, 5.92780, 6.06874, 5.88446, 5.88573, 5.85268, 5.89041
16-SEP-2002, 5.84719, 5.85246, 6.05646, 6.05518, 5.82122, 6.02149, 6.01320, 5.41267, 6.06780, 5.93335, 5.89170, 6.06676, 5.87213, 5.87714, 5.84277, 5.87427
17-SEP-2002, 5.84709, 6.05325, 6.05612, 6.05511, 5.82154, 6.02026, 6.06499, 5.42306, 6.08134, 6.02457, 5.96617, 6.09698, 5.91534, 5.91570, 5.88235, 5.91355
18-SEP-2002, 5.84226, 6.03660, 6.02756, 6.01360, 5.83047, 6.01357, 5.94932, 5.45328, 6.07310, 5.89458, 5.88196, 6.04344, 5.85351, 5.85728, 5.82387, 5.85446
19-SEP-2002, 5.84800, 6.05582, 6.05924, 6.05578, 5.79042, 6.00999, 6.00441, 5.34384, 5.99617, 5.90405, 5.86339, 6.03580, 5.84263, 5.84758, 5.81451, 5.84471
20-SEP-2002, 5.87571, 6.11634, 6.14707, 6.15445, 5.47262, 5.78352, 6.36553, 5.31695, 5.85843, 5.89154, 5.82890, 6.00723, 5.81271, 5.81862, 5.78403, 5.82223
23-SEP-2002, 5.84694, 6.05283, 6.05561, 6.05500, 5.82202, 5.98062, 5.95280, 5.27467, 5.89296, 5.80494, 5.79523, 5.97753, 5.78264, 5.78880, 5.75551, 5.78570
24-SEP-2002, 6.02607, 6.03048, 6.03313, 6.03345, 5.80259, 5.91832, 5.92096, 5.24690, 5.88783, 5.76543, 5.74107, 5.95419, 5.75007, 5.76025, 5.72502, 5.75622
25-SEP-2002, 6.02117, 6.01648, 6.00777, 5.99264, 5.78033, 5.93941, 5.91001, 5.29730, 5.91964, 5.75642, 5.74535, 5.95293, 5.75057, 5.76012, 5.72501, 5.75622
26-SEP-2002, 6.03224, 6.02788, 6.01933, 6.00348, 5.78979, 5.99043, 5.98185, 5.38593, 5.98060, 5.81737, 5.81754, 5.99685, 5.80253, 5.80852, 5.77422, 5.80537
27-SEP-2002, 6.03193, 6.02780, 6.01965, 6.00558, 5.81861, 6.00645, 5.94318, 5.38026, 5.99865, 5.86438, 5.85481, 6.01215, 5.82408, 5.82767, 5.79437, 5.83163
30-SEP-2002, 6.04259, 6.03815, 6.02961, 6.01455, 5.80098, 5.95813, 5.59013, 5.32911, 5.91057, 5.82883, 5.82865, 5.98063, 5.79542, 5.79797, 5.76498, 5.79562
01-OCT-2002, 6.04273, 6.03851, 6.03007, 5.81401, 5.99883, 5.95971, 5.34082, 5.96325, 5.75443, 5.98768, 6.00184, 5.77703, 5.98208, 5.98741, 5.95188, 5.98423
02-OCT-2002, 6.03416, 6.03456, 6.03200, 5.82412, 5.99964, 5.95819, 5.39166, 5.97469, 5.77796, 6.01897, 6.01611, 5.79813, 6.00172, 6.00764, 5.97307, 6.00438
03-OCT-2002, 6.03770, 6.04486, 6.04902, 5.84551, 5.97802, 6.00060, 5.35125, 5.97315, 5.76579, 5.99702, 6.01199, 5.78690, 5.99230, 5.99764, 5.96192, 5.99427
