Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
03-AUG-2004, 2.20472, 2.20989, 2.21514, 2.14756, 2.20180, 2.23638, 2.32410, 2.32234, 2.21152, 2.91834, 2.75819, 2.21241, 2.54669, 2.51428, 2.51671, 2.52137
04-AUG-2004, 2.20472, 2.20989, 2.21514, 2.14756, 2.20179, 2.23642, 2.32397, 2.32282, 2.19819, 2.86587, 2.72083, 2.19803, 2.52430, 2.49400, 2.49610, 2.50083
05-AUG-2004, 2.20356, 2.20832, 2.21373, 2.14723, 2.19988, 2.22994, 2.32562, 2.32077, 2.17216, 2.83732, 2.72499, 2.18347, 2.51340, 2.48213, 2.48439, 2.48997
06-AUG-2004, 2.20350, 2.20807, 2.21333, 2.14694, 2.20125, 2.21166, 2.30478, 2.29864, 2.16742, 2.76817, 2.64800, 2.16781, 2.47783, 2.45263, 2.45322, 2.45955
10-AUG-2004, 2.20462, 2.20959, 2.14222, 2.14739, 2.20256, 2.21712, 2.30310, 2.30176, 2.17614, 2.77293, 2.64072, 2.17102, 2.47846, 2.45421, 2.45510, 2.45946
11-AUG-2004, 2.20472, 2.20989, 2.14264, 2.14756, 2.20179, 2.23645, 2.32384, 2.32329, 2.18487, 2.81338, 2.68364, 2.18395, 2.50154, 2.47398, 2.47569, 2.48005
12-AUG-2004, 2.20356, 2.20832, 2.14117, 2.14723, 2.19989, 2.22991, 2.32572, 2.32038, 2.17698, 2.80704, 2.69205, 2.17993, 2.50063, 2.47229, 2.47445, 2.47961
13-AUG-2004, 2.20356, 2.20832, 2.14118, 2.14723, 2.19987, 2.22997, 2.32550, 2.32122, 2.16485, 2.75494, 2.65383, 2.16631, 2.47851, 2.45222, 2.45419, 2.45914
16-AUG-2004, 2.20472, 2.20989, 2.14263, 2.14756, 2.20179, 2.23643, 2.32390, 2.32307, 2.19001, 2.78175, 2.65145, 2.18022, 2.48903, 2.46457, 2.46510, 2.46986
17-AUG-2004, 2.20472, 2.13732, 2.14263, 2.14756, 2.20179, 2.23643, 2.32390, 2.32307, 2.19001, 2.78175, 2.65145, 2.18022, 2.48903, 2.46457, 2.46510, 2.46986
18-AUG-2004, 2.20472, 2.13732, 2.14264, 2.14756, 2.20178, 2.23648, 2.32371, 2.32377, 2.17154, 2.76093, 2.64630, 2.16958, 2.47908, 2.45405, 2.45511, 2.45947
19-AUG-2004, 2.20356, 2.13578, 2.14118, 2.14723, 2.19987, 2.22997, 2.32550, 2.32122, 2.16485, 2.75494, 2.65383, 2.16631, 2.47851, 2.45222, 2.45419, 2.45914
20-AUG-2004, 2.20839, 2.13883, 2.14157, 2.14325, 2.19894, 2.23002, 2.32621, 2.31832, 2.20602, 2.88111, 2.73514, 2.20454, 2.53273, 2.50257, 2.50541, 2.51035
23-AUG-2004, 2.20922, 2.13993, 2.14258, 2.14302, 2.20062, 2.25566, 2.34590, 2.34132, 2.27535, 3.02135, 2.81689, 2.25667, 2.59881, 2.56539, 2.56901, 2.57263
24-AUG-2004, 2.13690, 2.13993, 2.14258, 2.14302, 2.20062, 2.25566, 2.34590, 2.34132, 2.27535, 3.02135, 2.81689, 2.25667, 2.59881, 2.56539, 2.56901, 2.57263
25-AUG-2004, 2.13690, 2.13993, 2.14258, 2.14302, 2.20062, 2.25566, 2.34590, 2.34132, 2.27535, 3.02135, 2.81689, 2.25667, 2.59881, 2.56539, 2.56901, 2.57263
26-AUG-2004, 2.13619, 2.13905, 2.14197, 2.14355, 2.19754, 2.24953, 2.35032, 2.34252, 2.26521, 3.01288, 2.82718, 2.25375, 2.59787, 2.56307, 2.56725, 2.57157
27-AUG-2004, 2.13650, 2.13938, 2.14219, 2.14346, 2.19902, 2.25218, 2.34927, 2.34416, 2.26653, 3.01144, 2.82718, 2.25462, 2.59798, 2.56302, 2.56734, 2.57153
30-AUG-2004, 2.13733, 2.14055, 2.14318, 2.14302, 2.20194, 2.27894, 2.36869, 2.21161, 2.28520, 2.99408, 2.79593, 2.26199, 2.59674, 2.56597, 2.56880, 2.57264
31-AUG-2004, 2.13733, 2.14055, 2.14318, 2.14344, 2.12812, 2.27484, 2.36869, 2.13262, 2.27869, 2.89528, 2.70689, 2.26077, 2.51206, 2.48214, 2.48494, 2.48866
