Date,1W1M,2W1M,3W1M,1M1M,2M1M,3M1M,4M1M,5M1M,6M1M,9M1M,1Y1M,18M1M,2Y1M,3Y1M,4Y1M,5Y1M
04-DEC-2001, 1.86899, 1.85543, 1.83702, 1.80655, 1.62387, 1.78105, 1.75994, 2.01855, 2.04654, 2.69937, 2.62107, 2.03292, 2.26137, 2.20464, 2.21636, 2.21679
05-DEC-2001, 1.90057, 1.90319, 1.90447, 1.90047, 1.66926, 1.93337, 1.93382, 2.17471, 2.24391, 3.04688, 2.91289, 2.21457, 2.48159, 2.41307, 2.42657, 2.42794
06-DEC-2001, 1.89915, 1.90287, 1.90522, 1.90019, 1.62954, 1.91719, 1.97444, 2.19607, 2.26753, 3.13993, 3.02887, 2.23937, 2.53341, 2.45641, 2.47273, 2.47384
07-DEC-2001, 1.81761, 1.81432, 1.80851, 1.79594, 1.59456, 1.80259, 1.87511, 2.03890, 2.13882, 3.08726, 2.95042, 2.15192, 2.44627, 2.36841, 2.38471, 2.38607
10-DEC-2001, 1.78749, 1.78370, 1.77854, 1.77043, 1.60168, 1.77556, 1.77733, 1.98192, 2.04785, 2.86658, 2.74189, 2.05806, 2.31677, 2.24910, 2.26240, 2.26382
11-DEC-2001, 1.79796, 1.79577, 1.79011, 1.77309, 1.53082, 1.74406, 1.70997, 1.93575, 1.96719, 2.74842, 2.65991, 1.99002, 2.24257, 2.17635, 2.19129, 2.19058
12-DEC-2001, 1.79451, 1.79216, 1.78788, 1.77794, 1.56570, 1.69959, 1.75528, 1.94614, 2.01504, 2.77417, 2.65021, 2.01929, 2.26065, 2.19915, 2.21152, 2.21236
13-DEC-2001, 1.80881, 1.80385, 1.79600, 1.78120, 1.59867, 1.80746, 1.78679, 2.07307, 2.11646, 2.85409, 2.78928, 2.07668, 2.34333, 2.27402, 2.28795, 2.29000
14-DEC-2001, 1.80924, 1.80639, 1.80203, 1.79462, 1.62316, 1.82260, 1.88952, 2.11703, 2.15431, 2.93888, 2.85455, 2.12604, 2.39841, 2.32799, 2.34256, 2.34390
17-DEC-2001, 1.80223, 1.79879, 1.79473, 1.79027, 1.63587, 1.79975, 1.82316, 2.07033, 2.14803, 2.93459, 2.79467, 2.11618, 2.37455, 2.30836, 2.32121, 2.32242
18-DEC-2001, 1.81360, 1.80923, 1.80283, 1.79127, 1.60734, 1.78586, 1.77912, 2.07697, 2.13645, 2.86952, 2.75042, 2.08875, 2.34145, 2.27652, 2.28994, 2.29051
