FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02221,  0.94940,  28.94,  28.92,  00.00,  00.00,  28.92,  00.03
23-JUN-2004, 24-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02599,  0.94940,  39.83,  39.79,  00.00,  00.00,  39.79,  00.04
24-JUN-2004, 25-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02606,  0.94940,  00.70,  00.70,  00.00,  00.00,  00.70,  00.00
25-JUN-2004, 28-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02124,  0.94940, -50.68, -50.66,  00.00,  00.00, -50.66, -00.02
28-JUN-2004, 29-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02293,  0.94940,  17.77,  17.76,  00.00,  00.00,  17.76,  00.01
29-JUN-2004, 30-JUN-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.02887,  0.94940,  62.54,  62.51,  00.00,  00.00,  62.51,  00.03
30-JUN-2004, 02-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03695,  0.94940,  85.10,  85.06,  00.00,  00.00,  85.06,  00.04
02-JUL-2004, 05-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03601,  0.94940, -09.88, -09.87,  00.00,  00.00, -09.87, -00.00
05-JUL-2004, 06-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03492,  0.94940, -11.44, -11.43,  00.00,  00.00, -11.43, -00.00
06-JUL-2004, 07-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03478,  0.94940, -01.55, -01.55,  00.00,  00.00, -01.55, -00.00
07-JUL-2004, 08-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03667,  0.94940,  19.89,  19.89,  00.00,  00.00,  19.89,  00.01
08-JUL-2004, 09-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03719,  0.94940,  05.57,  05.57,  00.00,  00.00,  05.57,  00.00
09-JUL-2004, 12-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03683,  0.94940, -03.81, -03.80,  00.00,  00.00, -03.80, -00.00
12-JUL-2004, 13-JUL-2004, 30-SEP-2004, CAN  5.25 01-JUN-2013,  1.03482,  0.94940, -21.26, -21.25,  00.00,  00.00, -21.25, -00.01
