FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
09-JUN-2004, 10-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.03001,  0.97324, -07.94, -07.94,  00.00,  00.00, -07.94, -00.00
10-JUN-2004, 11-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.02900,  0.97324, -10.35, -10.35,  00.00,  00.00, -10.35, -00.00
11-JUN-2004, 14-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.02879,  0.97324, -02.21, -02.21,  00.00,  00.00, -02.21, -00.00
14-JUN-2004, 15-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.03028,  0.97324,  15.33,  15.32,  00.00,  00.00,  15.32,  00.00
15-JUN-2004, 16-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.02959,  0.97324, -07.11, -07.11,  00.00,  00.00, -07.11, -00.00
16-JUN-2004, 17-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.02909,  0.97324, -05.08, -05.08,  00.00,  00.00, -05.08, -00.00
17-JUN-2004, 18-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.03008,  0.97324,  10.11,  10.11,  00.00,  00.00,  10.11,  00.00
18-JUN-2004, 21-JUN-2004, 30-SEP-2004, DBR  4.50 18-AUG-2006,  1.03026,  0.97324,  01.85,  01.85,  00.00,  00.00,  01.85,  00.00
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  0.99968,  0.94640,  10563.01, -245.32,  00.00,  00.00, -245.32,  10808.34
23-JUN-2004, 24-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00089,  0.94640,  12.77,  12.77,  00.00,  00.00,  12.77,  00.00
24-JUN-2004, 25-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00070,  0.94640, -02.01, -02.01,  00.00,  00.00, -02.01, -00.00
25-JUN-2004, 28-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  0.99986,  0.94640, -08.91, -08.91,  00.00,  00.00, -08.91, -00.00
28-JUN-2004, 29-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  0.99975,  0.94640, -01.11, -01.11,  00.00,  00.00, -01.11, -00.00
29-JUN-2004, 30-JUN-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00064,  0.94640,  09.35,  09.35,  00.00,  00.00,  09.35,  00.00
30-JUN-2004, 01-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00093,  0.94640,  03.07,  03.07,  00.00,  00.00,  03.07,  00.00
01-JUL-2004, 02-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00205,  0.94640,  11.81,  11.81,  00.00,  00.00,  11.81,  00.00
02-JUL-2004, 05-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00214,  0.94640,  01.03,  01.03,  00.00,  00.00,  01.03,  00.00
05-JUL-2004, 06-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00203,  0.94640, -01.18, -01.18,  00.00,  00.00, -01.18, -00.00
06-JUL-2004, 07-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00262,  0.94640,  06.20,  06.20,  00.00,  00.00,  06.20,  00.00
07-JUL-2004, 08-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00260,  0.94640, -00.15, -00.15,  00.00,  00.00, -00.15, -00.00
08-JUL-2004, 09-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00254,  0.94640, -00.71, -00.71,  00.00,  00.00, -00.71, -00.00
09-JUL-2004, 12-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00271,  0.94640,  01.82,  01.82,  00.00,  00.00,  01.82,  00.00
12-JUL-2004, 13-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00180,  0.94640, -09.57, -09.57,  00.00,  00.00, -09.57, -00.00
13-JUL-2004, 14-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00196,  0.94640,  01.63,  01.63,  00.00,  00.00,  01.63,  00.00
14-JUL-2004, 15-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00189,  0.94640, -00.72, -00.72,  00.00,  00.00, -00.72, -00.00
15-JUL-2004, 16-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00314,  0.94640,  13.18,  13.18,  00.00,  00.00,  13.18,  00.00
16-JUL-2004, 19-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00319,  0.94640,  00.53,  00.53,  00.00,  00.00,  00.53,  00.00
19-JUL-2004, 20-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00299,  0.94640, -02.04, -02.04,  00.00,  00.00, -02.04, -00.00
20-JUL-2004, 21-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00149,  0.94640, -15.86, -15.86,  00.00,  00.00, -15.86, -00.00
21-JUL-2004, 22-JUL-2004, 30-SEP-2004, DBR  2.75 23-JUN-2006,  1.00200,  0.94640,  05.37,  05.37,  00.00,  00.00,  05.37,  00.00
