FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
29-MAY-2012, 30-MAY-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94628,  0.98906, -139.92, -139.83,  00.00,  00.00, -139.83, -00.09
30-MAY-2012, 31-MAY-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.95263,  0.98906,  64.26,  64.22,  00.00,  00.00,  64.22,  00.04
31-MAY-2012, 01-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.95537,  0.98906,  27.64,  27.63,  00.00,  00.00,  27.63,  00.01
01-JUN-2012, 04-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.96432,  0.98906,  90.57,  90.54,  00.00,  00.00,  90.54,  00.04
04-JUN-2012, 05-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.97022,  0.98906,  59.64,  59.62,  00.00,  00.00,  59.62,  00.03
05-JUN-2012, 06-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.97157,  0.98906,  13.61,  13.60,  00.00,  00.00,  13.60,  00.01
06-JUN-2012, 07-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.98483,  0.98906,  134.11,  134.05,  00.00,  00.00,  134.05,  00.06
07-JUN-2012, 08-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.97582,  0.98906, -91.13, -91.09,  00.00,  00.00, -91.09, -00.04
08-JUN-2012, 11-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.95586,  0.98906, -201.83, -201.75,  00.00,  00.00, -201.75, -00.08
11-JUN-2012, 12-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94322,  0.98906, -127.81, -127.73,  00.00,  00.00, -127.73, -00.08
12-JUN-2012, 13-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94046,  0.98906, -27.88, -27.85,  00.00,  00.00, -27.85, -00.02
13-JUN-2012, 14-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92987,  0.98906, -107.09, -107.02,  00.00,  00.00, -107.02, -00.07
14-JUN-2012, 15-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93286,  0.98906,  30.26,  30.24,  00.00,  00.00,  30.24,  00.02
15-JUN-2012, 18-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.91501,  0.98906, -180.44, -180.34,  00.00,  00.00, -180.34, -00.10
18-JUN-2012, 19-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92252,  0.98906,  75.88,  75.84,  00.00,  00.00,  75.84,  00.04
19-JUN-2012, 20-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94174,  0.98906,  194.38,  194.26,  00.00,  00.00,  194.26,  00.12
20-JUN-2012, 21-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.95048,  0.98906,  88.29,  88.22,  00.00,  00.00,  88.22,  00.07
21-JUN-2012, 22-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.96731,  0.98906,  170.19,  170.09,  00.00,  00.00,  170.09,  00.11
22-JUN-2012, 25-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94858,  0.98906, -189.43, -189.31,  00.00,  00.00, -189.31, -00.12
25-JUN-2012, 26-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93312,  0.98906, -156.25, -156.14,  00.00,  00.00, -156.14, -00.12
26-JUN-2012, 27-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92987,  0.98906, -32.83, -32.81,  00.00,  00.00, -32.81, -00.02
27-JUN-2012, 28-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92911,  0.98906, -07.68, -07.67,  00.00,  00.00, -07.67, -00.00
28-JUN-2012, 29-JUN-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.96908,  0.98906,  404.03,  403.91,  00.00,  00.00,  403.91,  00.12
29-JUN-2012, 02-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.96584,  0.98906, -32.69, -32.68,  00.00,  00.00, -32.68, -00.01
02-JUL-2012, 03-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.97454,  0.98906,  87.93,  87.89,  00.00,  00.00,  87.89,  00.04
03-JUL-2012, 04-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.96340,  0.98906, -112.62, -112.58,  00.00,  00.00, -112.58, -00.05
04-JUL-2012, 05-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93943,  0.98906, -242.36, -242.24,  00.00,  00.00, -242.24, -00.12
05-JUL-2012, 06-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92809,  0.98906, -114.61, -114.53,  00.00,  00.00, -114.53, -00.08
06-JUL-2012, 09-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92106,  0.98906, -71.11, -71.07,  00.00,  00.00, -71.07, -00.04
09-JUL-2012, 10-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93708,  0.98906,  161.97,  161.87,  00.00,  00.00,  161.87,  00.10
10-JUL-2012, 11-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.95239,  0.98906,  154.78,  154.70,  00.00,  00.00,  154.70,  00.08
11-JUL-2012, 12-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94881,  0.98906, -36.14, -36.12,  00.00,  00.00, -36.12, -00.02
12-JUL-2012, 13-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.94718,  0.98906, -16.53, -16.52,  00.00,  00.00, -16.52, -00.01
13-JUL-2012, 16-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93704,  0.98906, -102.47, -102.39,  00.00,  00.00, -102.39, -00.08
16-JUL-2012, 17-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.93720,  0.98906,  01.58,  01.58,  00.00,  00.00,  01.58,  00.00
17-JUL-2012, 18-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92775,  0.98906, -95.56, -95.50,  00.00,  00.00, -95.50, -00.06
18-JUL-2012, 19-JUL-2012, 30-SEP-2012, SPGB  5.85 31-JAN-2022,  0.92452,  0.98906, -32.65, -32.63,  00.00,  00.00, -32.63, -00.02
