FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
2004/06/22, 2004/06/25, 2004/09/30, UST  3.38 2008/12/15,  1.07995,  0.90270,  42.20,  42.19,  00.00,  00.00,  42.19,  00.01
2004/06/25, 2004/06/29, 2004/09/30, UST  3.38 2008/12/15,  1.07734,  0.90270, -28.90, -28.89,  00.00,  00.00, -28.89, -00.01
2004/06/29, 2004/06/30, 2004/09/30, UST  3.38 2008/12/15,  1.08211,  0.90270,  52.76,  52.75,  00.00,  00.00,  52.75,  00.01
2004/06/23, 2004/06/24, 2004/09/30, UST  3.38 2008/11/15,  1.07925,  0.90440,  31.33,  31.32,  00.00,  00.00,  31.32,  00.01
2004/06/24, 2004/06/28, 2004/09/30, UST  3.38 2008/11/15,  1.07518,  0.90440, -45.05, -45.04,  00.00,  00.00, -45.04, -00.01
2004/06/28, 2004/07/01, 2004/09/30, UST  3.38 2008/11/15,  1.08533,  0.90440,  112.27,  112.21,  00.00,  00.00,  112.21,  00.06
2004/07/01, 2004/07/02, 2004/09/30, UST  3.38 2008/11/15,  1.09069,  0.90440,  59.22,  59.19,  00.00,  00.00,  59.19,  00.03
2004/07/02, 2004/07/06, 2004/09/30, UST  3.38 2008/11/15,  1.09032,  0.90440, -04.09, -04.09,  00.00,  00.00, -04.09, -00.00
2004/07/06, 2004/07/07, 2004/09/30, UST  3.38 2008/11/15,  1.09038,  0.90440,  00.61,  00.61,  00.00,  00.00,  00.61,  00.00
2004/07/07, 2004/07/08, 2004/09/30, UST  3.38 2008/11/15,  1.09132,  0.90440,  10.42,  10.42,  00.00,  00.00,  10.42,  00.00
2004/07/08, 2004/07/09, 2004/09/30, UST  3.38 2008/11/15,  1.09152,  0.90440,  02.25,  02.25,  00.00,  00.00,  02.25,  00.00
2004/07/09, 2004/07/12, 2004/09/30, UST  3.38 2008/11/15,  1.09243,  0.90440,  10.05,  10.05,  00.00,  00.00,  10.05,  00.00
2004/07/12, 2004/07/13, 2004/09/30, UST  3.38 2008/11/15,  1.09100,  0.90440, -15.78, -15.78,  00.00,  00.00, -15.78, -00.00
2004/07/13, 2004/07/14, 2004/09/30, UST  3.38 2008/11/15,  1.09032,  0.90440, -07.59, -07.59,  00.00,  00.00, -07.59, -00.00
2004/07/14, 2004/07/15, 2004/09/30, UST  3.38 2008/11/15,  1.08993,  0.90440, -04.32, -04.32,  00.00,  00.00, -04.32, -00.00
2004/07/15, 2004/07/16, 2004/09/30, UST  3.38 2008/11/15,  1.09593,  0.90440,  66.34,  66.33,  00.00,  00.00,  66.33,  00.01
2004/07/16, 2004/07/19, 2004/09/30, UST  3.38 2008/11/15,  1.09551,  0.90440, -04.63, -04.63,  00.00,  00.00, -04.63, -00.00
2004/07/19, 2004/07/20, 2004/09/30, UST  3.38 2008/11/15,  1.09050,  0.90440, -55.37, -55.36,  00.00,  00.00, -55.36, -00.01
2004/07/20, 2004/07/21, 2004/09/30, UST  3.38 2008/11/15,  1.08891,  0.90440, -17.52, -17.52,  00.00,  00.00, -17.52, -00.00
2004/07/21, 2004/07/22, 2004/09/30, UST  3.38 2008/11/15,  1.08972,  0.90440,  08.85,  08.85,  00.00,  00.00,  08.85,  00.00
2004/07/22, 2004/07/23, 2004/09/30, UST  3.38 2008/11/15,  1.09082,  0.90440,  12.17,  12.16,  00.00,  00.00,  12.16,  00.00
2004/07/23, 2004/07/26, 2004/09/30, UST  3.38 2008/11/15,  1.08934,  0.90440, -16.34, -16.34,  00.00,  00.00, -16.34, -00.00
2004/07/26, 2004/07/27, 2004/09/30, UST  3.38 2008/11/15,  1.08460,  0.90440, -52.37, -52.35,  00.00,  00.00, -52.35, -00.01
2004/07/27, 2004/07/28, 2004/09/30, UST  3.38 2008/11/15,  1.08600,  0.90440,  15.48,  15.48,  00.00,  00.00,  15.48,  00.00
2004/07/28, 2004/07/29, 2004/09/30, UST  3.38 2008/11/15,  1.08711,  0.90440,  12.20,  12.18,  00.00,  00.00,  12.18,  00.01
2004/07/29, 2004/07/30, 2004/09/30, UST  3.38 2008/11/15,  1.09136,  0.90440,  47.02,  46.98,  00.00,  00.00,  46.98,  00.04
2004/07/30, 2004/08/02, 2004/09/30, UST  3.38 2008/11/15,  1.09258,  0.90440,  13.51,  13.50,  00.00,  00.00,  13.50,  00.00
2004/08/02, 2004/08/03, 2004/09/30, UST  3.38 2008/11/15,  1.09384,  0.90440,  13.93,  13.93,  00.00,  00.00,  13.93,  00.00
2004/08/03, 2004/08/04, 2004/09/30, UST  3.38 2008/11/15,  1.09390,  0.90440,  00.64,  00.64,  00.00,  00.00,  00.64,  00.00
2004/08/04, 2004/08/05, 2004/09/30, UST  3.38 2008/11/15,  1.09516,  0.90440,  13.96,  13.96,  00.00,  00.00,  13.96,  00.00
2004/08/05, 2004/08/06, 2004/09/30, UST  3.38 2008/11/15,  1.10606,  0.90440,  120.56,  120.54,  00.00,  00.00,  120.54,  00.03
2004/08/06, 2004/08/09, 2004/09/30, UST  3.38 2008/11/15,  1.10475,  0.90440, -14.48, -14.48,  00.00,  00.00, -14.48, -00.00
2004/08/09, 2004/08/10, 2004/09/30, UST  3.38 2008/11/15,  1.10150,  0.90440, -36.01, -36.00,  00.00,  00.00, -36.00, -00.01
2004/08/10, 2004/08/11, 2004/09/30, UST  3.38 2008/11/15,  1.10247,  0.90440,  10.73,  10.72,  00.00,  00.00,  10.72,  00.00
2004/08/11, 2004/08/12, 2004/09/30, UST  3.38 2008/11/15,  1.10420,  0.90440,  19.10,  19.09,  00.00,  00.00,  19.09,  00.00
2004/08/12, 2004/08/13, 2004/09/30, UST  3.38 2008/11/15,  1.10683,  0.90440,  29.16,  29.15,  00.00,  00.00,  29.15,  00.01
2004/08/13, 2004/08/16, 2004/09/30, UST  3.38 2008/11/15,  1.10582,  0.90440, -11.18, -11.18,  00.00,  00.00, -11.18, -00.00
2004/08/16, 2004/08/17, 2004/09/30, UST  3.38 2008/11/15,  1.10832,  0.90440,  27.57,  27.56,  00.00,  00.00,  27.56,  00.01
2004/08/17, 2004/08/18, 2004/09/30, UST  3.38 2008/11/15,  1.10747,  0.90440, -09.31, -09.31,  00.00,  00.00, -09.31, -00.00
2004/08/18, 2004/08/19, 2004/09/30, UST  3.38 2008/11/15,  1.10891,  0.90440,  15.86,  15.86,  00.00,  00.00,  15.86,  00.00
2004/08/19, 2004/08/20, 2004/09/30, UST  3.38 2008/11/15,  1.10746,  0.90440, -16.04, -16.04,  00.00,  00.00, -16.04, -00.00
2004/08/20, 2004/08/23, 2004/09/30, UST  3.38 2008/11/15,  1.10583,  0.90440, -17.95, -17.95,  00.00,  00.00, -17.95, -00.00
2004/08/23, 2004/08/24, 2004/09/30, UST  3.38 2008/11/15,  1.10605,  0.90440,  02.42,  02.42,  00.00,  00.00,  02.42,  00.00
2004/08/24, 2004/08/25, 2004/09/30, UST  3.38 2008/11/15,  1.10627,  0.90440,  02.43,  02.43,  00.00,  00.00,  02.43,  00.00
2004/08/25, 2004/08/26, 2004/09/30, UST  3.38 2008/11/15,  1.10771,  0.90440,  15.93,  15.93,  00.00,  00.00,  15.93,  00.00
2004/08/26, 2004/08/27, 2004/09/30, UST  3.38 2008/11/15,  1.10778,  0.90440,  00.75,  00.75,  00.00,  00.00,  00.75,  00.00
2004/08/27, 2004/08/30, 2004/09/30, UST  3.38 2008/11/15,  1.10982,  0.90440,  22.57,  22.57,  00.00,  00.00,  22.57,  00.01
2004/08/30, 2004/08/31, 2004/09/30, UST  3.38 2008/11/15,  1.11295,  0.90440,  34.63,  34.61,  00.00,  00.00,  34.61,  00.02
2004/08/31, 2004/09/01, 2004/09/30, UST  3.38 2008/11/15,  1.11379,  0.90440,  09.26,  09.26,  00.00,  00.00,  09.26,  00.00
2004/09/01, 2004/09/02, 2004/09/30, UST  3.38 2008/11/15,  1.11126,  0.90440, -28.01, -27.98,  00.00,  00.00, -27.98, -00.02
2004/09/02, 2004/09/03, 2004/09/30, UST  3.38 2008/11/15,  1.10596,  0.90440, -58.59, -58.54,  00.00,  00.00, -58.54, -00.05
2004/09/03, 2004/09/07, 2004/09/30, UST  3.38 2008/11/15,  1.10777,  0.90440,  20.00,  19.99,  00.00,  00.00,  19.99,  00.00
2004/09/07, 2004/09/08, 2004/09/30, UST  3.38 2008/11/15,  1.11261,  0.90440,  53.52,  53.51,  00.00,  00.00,  53.51,  00.02
2004/09/08, 2004/09/09, 2004/09/30, UST  3.38 2008/11/15,  1.11145,  0.90440, -12.82, -12.81,  00.00,  00.00, -12.81, -00.01
2004/09/09, 2004/09/10, 2004/09/30, UST  3.38 2008/11/15,  1.11229,  0.90440,  09.31,  09.30,  00.00,  00.00,  09.30,  00.01
2004/09/10, 2004/09/13, 2004/09/30, UST  3.38 2008/11/15,  1.11328,  0.90440,  10.94,  10.93,  00.00,  00.00,  10.93,  00.01
2004/09/13, 2004/09/14, 2004/09/30, UST  3.38 2008/11/15,  1.11459,  0.90440,  14.47,  14.46,  00.00,  00.00,  14.46,  00.01
2004/09/14, 2004/09/15, 2004/09/30, UST  3.38 2008/11/15,  1.11265,  0.90440, -21.41, -21.41,  00.00,  00.00, -21.41, -00.01
2004/09/15, 2004/09/16, 2004/09/30, UST  3.38 2008/11/15,  1.11721,  0.90440,  50.42,  50.41,  00.00,  00.00,  50.41,  00.02
2004/09/16, 2004/09/17, 2004/09/30, UST  3.38 2008/11/15,  1.11435,  0.90440, -31.70, -31.69,  00.00,  00.00, -31.69, -00.01
2004/09/17, 2004/09/20, 2004/09/30, UST  3.38 2008/11/15,  1.11814,  0.90440,  41.91,  41.91,  00.00,  00.00,  41.91,  00.01
2004/09/20, 2004/09/21, 2004/09/30, UST  3.38 2008/11/15,  1.11635,  0.90440, -19.76, -19.75,  00.00,  00.00, -19.75, -00.00
2004/09/22, 2004/09/23, 2004/12/31, UST  3.00 2009/02/15,  1.10318,  0.89080, -28.84, -28.83,  00.00,  00.00, -28.83, -00.01
2004/09/23, 2004/09/24, 2004/12/31, UST  3.00 2009/02/15,  1.10251,  0.89080, -07.51, -07.51,  00.00,  00.00, -07.51, -00.00
2004/09/24, 2004/09/27, 2004/12/31, UST  3.00 2009/02/15,  1.10461,  0.89080,  23.52,  23.51,  00.00,  00.00,  23.51,  00.01
2004/09/27, 2004/09/28, 2004/12/31, UST  3.00 2009/02/15,  1.10497,  0.89080,  04.02,  04.01,  00.00,  00.00,  04.01,  00.00
2004/09/28, 2004/09/29, 2004/12/31, UST  3.00 2009/02/15,  1.10136,  0.89080, -40.50, -40.49,  00.00,  00.00, -40.49, -00.01
2004/09/29, 2004/09/30, 2004/12/31, UST  3.00 2009/02/15,  1.10142,  0.89080,  00.70,  00.70,  00.00,  00.00,  00.70,  00.00
2004/09/30, 2004/10/01, 2004/12/31, UST  3.00 2009/02/15,  1.09898,  0.89080, -27.37, -27.37,  00.00,  00.00, -27.37, -00.01
2004/10/01, 2004/10/04, 2004/12/31, UST  3.00 2009/02/15,  1.09931,  0.89080,  03.70,  03.70,  00.00,  00.00,  03.70,  00.00
2004/10/04, 2004/10/05, 2004/12/31, UST  3.00 2009/02/15,  1.09982,  0.89080,  05.65,  05.65,  00.00,  00.00,  05.65,  00.00
2004/10/05, 2004/10/06, 2004/12/31, UST  3.00 2009/02/15,  1.09737,  0.89080, -27.47, -27.47,  00.00,  00.00, -27.47, -00.01
2004/10/06, 2004/10/07, 2004/12/31, UST  3.00 2009/02/15,  1.09654,  0.89080, -09.28, -09.27,  00.00,  00.00, -09.27, -00.00
2004/10/07, 2004/10/08, 2004/12/31, UST  3.00 2009/02/15,  1.10236,  0.89080,  65.36,  65.33,  00.00,  00.00,  65.33,  00.02
2004/10/08, 2004/10/12, 2004/12/31, UST  3.00 2009/02/15,  1.10410,  0.89080,  19.47,  19.46,  00.00,  00.00,  19.46,  00.00
2004/10/12, 2004/10/13, 2004/12/31, UST  3.00 2009/02/15,  1.10609,  0.89080,  22.35,  22.35,  00.00,  00.00,  22.35,  00.01
2004/10/13, 2004/10/14, 2004/12/31, UST  3.00 2009/02/15,  1.10897,  0.89080,  32.37,  32.32,  00.00,  00.00,  32.32,  00.04
2004/10/14, 2004/10/15, 2004/12/31, UST  3.00 2009/02/15,  1.10667,  0.89080, -25.89, -25.86,  00.00,  00.00, -25.86, -00.03
2004/10/15, 2004/10/18, 2004/12/31, UST  3.00 2009/02/15,  1.10701,  0.89080,  03.90,  03.90,  00.00,  00.00,  03.90,  00.00
2004/10/18, 2004/10/19, 2004/12/31, UST  3.00 2009/02/15,  1.10708,  0.89080,  00.75,  00.75,  00.00,  00.00,  00.75,  00.00
2004/10/19, 2004/10/20, 2004/12/31, UST  3.00 2009/02/15,  1.10938,  0.89080,  25.82,  25.80,  00.00,  00.00,  25.80,  00.02
2004/10/20, 2004/10/21, 2004/12/31, UST  3.00 2009/02/15,  1.10870,  0.89080, -07.60, -07.59,  00.00,  00.00, -07.59, -00.01
