FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
14-SEP-2009, 15-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14430,  0.87818, -09.55, -09.55,  00.00,  00.00, -09.55, -00.00
15-SEP-2009, 16-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14395,  0.87818, -04.02, -04.02,  00.00,  00.00, -04.02, -00.00
16-SEP-2009, 17-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14252,  0.87818, -16.20, -16.20,  00.00,  00.00, -16.20, -00.01
17-SEP-2009, 18-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14343,  0.87818,  10.37,  10.37,  00.00,  00.00,  10.37,  00.00
18-SEP-2009, 21-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14130,  0.87818, -24.28, -24.27,  00.00,  00.00, -24.27, -00.01
21-SEP-2009, 22-SEP-2009, 31-DEC-2009, BTPS  4.25 01-SEP-2019,  1.14056,  0.87818, -08.47, -08.47,  00.00,  00.00, -08.47, -00.00
04-OCT-2010, 05-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17010,  0.88775,  21.37,  21.36,  00.00,  00.00,  21.36,  00.01
05-OCT-2010, 07-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17282,  0.88775,  30.71,  30.69,  00.00,  00.00,  30.69,  00.02
07-OCT-2010, 11-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17858,  0.88775,  64.82,  64.77,  00.00,  00.00,  64.77,  00.05
11-OCT-2010, 12-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17902,  0.88775,  04.97,  04.96,  00.00,  00.00,  04.96,  00.00
12-OCT-2010, 13-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17653,  0.88775, -28.00, -27.97,  00.00,  00.00, -27.97, -00.02
13-OCT-2010, 15-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17751,  0.88775,  11.03,  11.02,  00.00,  00.00,  11.02,  00.01
15-OCT-2010, 20-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17366,  0.88775, -43.40, -43.37,  00.00,  00.00, -43.37, -00.03
20-OCT-2010, 21-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.16950,  0.88775, -46.82, -46.79,  00.00,  00.00, -46.79, -00.03
21-OCT-2010, 22-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17053,  0.88775,  11.57,  11.56,  00.00,  00.00,  11.56,  00.01
22-OCT-2010, 25-OCT-2010, 31-DEC-2010, BTPS  4.25 01-SEP-2019,  1.17508,  0.88775,  51.28,  51.25,  00.00,  00.00,  51.25,  00.03
