FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
11-JUN-2004, 14-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.44811,  0.74019,  1043.14,  1043.08,  00.00,  00.00,  1043.08,  00.06
14-JUN-2004, 15-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.39524,  0.74019, -714.33, -714.17,  00.00,  00.00, -714.17, -00.16
15-JUN-2004, 16-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.45892,  0.74019,  860.30,  860.16,  00.00,  00.00,  860.16,  00.14
16-JUN-2004, 17-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.50551,  0.74019,  629.53,  629.35,  00.00,  00.00,  629.35,  00.18
17-JUN-2004, 18-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.47637,  0.74019, -393.68, -393.46,  00.00,  00.00, -393.46, -00.23
18-JUN-2004, 21-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.45421,  0.74019, -299.40, -299.23,  00.00,  00.00, -299.23, -00.18
21-JUN-2004, 22-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.46011,  0.74019,  79.66,  79.63,  00.00,  00.00,  79.63,  00.03
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.47266,  0.74019,  169.59,  169.48,  00.00,  00.00,  169.48,  00.11
23-JUN-2004, 24-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.48332,  0.74019,  144.01,  143.90,  00.00,  00.00,  143.90,  00.12
24-JUN-2004, 25-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.40644,  0.74019, -1038.64, -1038.42,  00.00,  00.00, -1038.42, -00.22
25-JUN-2004, 28-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.41745,  0.74019,  148.79,  148.73,  00.00,  00.00,  148.73,  00.05
28-JUN-2004, 29-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.39281,  0.74019, -332.91, -332.79,  00.00,  00.00, -332.79, -00.11
29-JUN-2004, 30-JUN-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.33657,  0.74019, -759.84, -759.61,  00.00,  00.00, -759.61, -00.23
30-JUN-2004, 01-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.40366,  0.74019,  906.38,  906.17,  00.00,  00.00,  906.17,  00.21
01-JUL-2004, 02-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.31769,  0.74019, -1161.44, -1161.49,  00.00,  00.00, -1161.49,  00.05
02-JUL-2004, 05-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.32192,  0.74019,  57.18,  57.15,  00.00,  00.00,  57.15,  00.02
05-JUL-2004, 06-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.30381,  0.74019, -244.65, -244.56,  00.00,  00.00, -244.56, -00.09
06-JUL-2004, 07-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.31835,  0.74019,  196.36,  196.28,  00.00,  00.00,  196.28,  00.07
07-JUL-2004, 08-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.30022,  0.74019, -244.92, -244.83,  00.00,  00.00, -244.83, -00.09
08-JUL-2004, 09-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.35705,  0.74019,  767.74,  767.61,  00.00,  00.00,  767.61,  00.14
09-JUL-2004, 12-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.32286,  0.74019, -461.88, -461.73,  00.00,  00.00, -461.73, -00.15
12-JUL-2004, 13-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.30469,  0.74019, -245.44, -245.35,  00.00,  00.00, -245.35, -00.09
13-JUL-2004, 14-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.32409,  0.74019,  262.08,  261.99,  00.00,  00.00,  261.99,  00.10
14-JUL-2004, 15-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.34832,  0.74019,  327.30,  327.07,  00.00,  00.00,  327.07,  00.23
15-JUL-2004, 16-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.30989,  0.74019, -519.11, -518.80,  00.00,  00.00, -518.80, -00.32
16-JUL-2004, 20-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.28140,  0.74019, -384.89, -384.76,  00.00,  00.00, -384.76, -00.12
20-JUL-2004, 21-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.32020,  0.74019,  524.19,  524.04,  00.00,  00.00,  524.04,  00.15
21-JUL-2004, 22-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.31647,  0.74019, -50.47, -50.45,  00.00,  00.00, -50.45, -00.02
22-JUL-2004, 23-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.35433,  0.74019,  511.45,  511.05,  00.00,  00.00,  511.05,  00.41
23-JUL-2004, 26-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.35478,  0.74019,  06.07,  06.06,  00.00,  00.00,  06.06,  00.01
26-JUL-2004, 27-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.39463,  0.74019,  538.46,  538.04,  00.00,  00.00,  538.04,  00.42
27-JUL-2004, 28-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.40352,  0.74019,  120.05,  120.00,  00.00,  00.00,  120.00,  00.04
28-JUL-2004, 29-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.36104,  0.74019, -573.82, -573.66,  00.00,  00.00, -573.66, -00.16
29-JUL-2004, 30-JUL-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.38835,  0.74019,  368.95,  368.83,  00.00,  00.00,  368.83,  00.12
30-JUL-2004, 02-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.41895,  0.74019,  413.34,  413.21,  00.00,  00.00,  413.21,  00.13
02-AUG-2004, 03-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.40359,  0.74019, -207.47, -207.40,  00.00,  00.00, -207.40, -00.08
03-AUG-2004, 04-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.33668,  0.74019, -904.02, -903.80,  00.00,  00.00, -903.80, -00.21
04-AUG-2004, 05-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.28424,  0.74019, -708.47, -708.24,  00.00,  00.00, -708.24, -00.23
05-AUG-2004, 06-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.23951,  0.74019, -604.32, -603.91,  00.00,  00.00, -603.91, -00.41
06-AUG-2004, 09-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.19094,  0.74019, -656.07, -655.45,  00.00,  00.00, -655.45, -00.63
09-AUG-2004, 10-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.19102,  0.74019,  01.03,  01.03,  00.00,  00.00,  01.03,  00.00
10-AUG-2004, 11-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.23022,  0.74019,  529.54,  529.27,  00.00,  00.00,  529.27,  00.27
11-AUG-2004, 12-AUG-2004, 30-SEP-2004, JGB  1.40 20-SEP-2011,  1.20096,  0.74019, -395.27, -395.15,  00.00,  00.00, -395.15, -00.12
