FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
16-APR-2012, 17-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06706,  0.84851, -01.53, -01.53,  00.00,  00.00, -01.53, -00.00
17-APR-2012, 18-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06737,  0.84851,  03.67,  03.66,  00.00,  00.00,  03.66,  00.00
18-APR-2012, 19-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06043,  0.84851, -81.82, -81.75,  00.00,  00.00, -81.75, -00.07
19-APR-2012, 20-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06020,  0.84851, -02.71, -02.71,  00.00,  00.00, -02.71, -00.00
20-APR-2012, 23-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06005,  0.84851, -01.77, -01.77,  00.00,  00.00, -01.77, -00.00
23-APR-2012, 24-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06499,  0.84851,  58.25,  58.20,  00.00,  00.00,  58.20,  00.05
24-APR-2012, 25-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06815,  0.84851,  37.22,  37.20,  00.00,  00.00,  37.20,  00.03
25-APR-2012, 26-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.07047,  0.84851,  27.42,  27.40,  00.00,  00.00,  27.40,  00.02
26-APR-2012, 27-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.06949,  0.84851, -11.58, -11.57,  00.00,  00.00, -11.57, -00.01
27-APR-2012, 30-APR-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.07284,  0.84851,  39.49,  39.47,  00.00,  00.00,  39.47,  00.02
30-APR-2012, 02-MAY-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.07308,  0.84851,  02.79,  02.79,  00.00,  00.00,  02.79,  00.00
02-MAY-2012, 03-MAY-2012, 30-JUN-2012, FRTR  3.75 25-APR-2021,  1.07809,  0.84851,  59.02,  58.99,  00.00,  00.00,  58.99,  00.03
