FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
09-JUN-2004, 10-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98308,  0.89181, -13.05, -13.04,  00.00,  00.00, -13.04, -00.00
10-JUN-2004, 11-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98109,  0.89181, -22.39, -22.39,  00.00,  00.00, -22.39, -00.01
11-JUN-2004, 14-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98090,  0.89181, -02.07, -02.07,  00.00,  00.00, -02.07, -00.00
14-JUN-2004, 15-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98485,  0.89181,  44.30,  44.29,  00.00,  00.00,  44.29,  00.01
15-JUN-2004, 16-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98324,  0.89181, -18.02, -18.01,  00.00,  00.00, -18.01, -00.00
16-JUN-2004, 17-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98236,  0.89181, -09.86, -09.86,  00.00,  00.00, -09.86, -00.00
17-JUN-2004, 18-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98462,  0.89181,  25.31,  25.30,  00.00,  00.00,  25.30,  00.01
18-JUN-2004, 21-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98510,  0.89181,  05.40,  05.40,  00.00,  00.00,  05.40,  00.00
21-JUN-2004, 22-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98417,  0.89181, -10.41, -10.41,  00.00,  00.00, -10.41, -00.00
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98437,  0.89181,  02.19,  02.19,  00.00,  00.00,  02.19,  00.00
23-JUN-2004, 24-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98758,  0.89181,  35.94,  35.93,  00.00,  00.00,  35.93,  00.01
24-JUN-2004, 25-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98659,  0.89181, -11.06, -11.05,  00.00,  00.00, -11.05, -00.00
25-JUN-2004, 28-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98431,  0.89181, -25.56, -25.55,  00.00,  00.00, -25.55, -00.01
28-JUN-2004, 29-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98406,  0.89181, -02.77, -02.77,  00.00,  00.00, -02.77, -00.00
29-JUN-2004, 30-JUN-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98661,  0.89181,  28.57,  28.56,  00.00,  00.00,  28.56,  00.01
30-JUN-2004, 01-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98670,  0.89181,  01.02,  01.02,  00.00,  00.00,  01.02,  00.00
01-JUL-2004, 02-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99004,  0.89181,  37.47,  37.46,  00.00,  00.00,  37.46,  00.01
02-JUL-2004, 05-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99010,  0.89181,  00.62,  00.62,  00.00,  00.00,  00.62,  00.00
05-JUL-2004, 06-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99002,  0.89181, -00.91, -00.91,  00.00,  00.00, -00.91, -00.00
06-JUL-2004, 07-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99130,  0.89181,  14.36,  14.36,  00.00,  00.00,  14.36,  00.00
07-JUL-2004, 08-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99148,  0.89181,  02.02,  02.02,  00.00,  00.00,  02.02,  00.00
08-JUL-2004, 09-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99133,  0.89181, -01.67, -01.67,  00.00,  00.00, -01.67, -00.00
09-JUL-2004, 12-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99207,  0.89181,  08.35,  08.35,  00.00,  00.00,  08.35,  00.00
12-JUL-2004, 13-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98950,  0.89181, -28.92, -28.92,  00.00,  00.00, -28.92, -00.01
13-JUL-2004, 14-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99011,  0.89181,  06.91,  06.90,  00.00,  00.00,  06.90,  00.00
14-JUL-2004, 15-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99000,  0.89181, -01.24, -01.24,  00.00,  00.00, -01.24, -00.00
15-JUL-2004, 16-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99331,  0.89181,  37.14,  37.13,  00.00,  00.00,  37.13,  00.01
16-JUL-2004, 19-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99332,  0.89181,  00.12,  00.12,  00.00,  00.00,  00.12,  00.00
19-JUL-2004, 20-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99258,  0.89181, -08.31, -08.31,  00.00,  00.00, -08.31, -00.00
20-JUL-2004, 21-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98878,  0.89181, -42.63, -42.62,  00.00,  00.00, -42.62, -00.01
21-JUL-2004, 22-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.99036,  0.89181,  17.71,  17.71,  00.00,  00.00,  17.71,  00.00
22-JUL-2004, 23-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98984,  0.89181, -05.82, -05.82,  00.00,  00.00, -05.82, -00.00
23-JUL-2004, 26-JUL-2004, 30-SEP-2004, DBR  3.25 17-APR-2009,  0.98833,  0.89181, -16.95, -16.95,  00.00,  00.00, -16.95, -00.00
