FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
09-JUN-2004, 10-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.95823,  0.84922, -07.35, -07.34,  00.00,  00.00, -07.34, -00.01
10-JUN-2004, 11-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.95653,  0.84922, -20.08, -20.05,  00.00,  00.00, -20.05, -00.03
11-JUN-2004, 14-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.95674,  0.84922,  02.46,  02.45,  00.00,  00.00,  02.45,  00.00
14-JUN-2004, 15-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96199,  0.84922,  61.81,  61.71,  00.00,  00.00,  61.71,  00.09
15-JUN-2004, 16-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96020,  0.84922, -20.99, -20.96,  00.00,  00.00, -20.96, -00.04
16-JUN-2004, 17-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.95937,  0.84922, -09.77, -09.75,  00.00,  00.00, -09.75, -00.02
17-JUN-2004, 18-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96178,  0.84922,  28.33,  28.29,  00.00,  00.00,  28.29,  00.05
18-JUN-2004, 21-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96265,  0.84922,  10.20,  10.19,  00.00,  00.00,  10.19,  00.01
21-JUN-2004, 22-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96121,  0.84922, -16.90, -16.88,  00.00,  00.00, -16.88, -00.02
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, DBR  3.75 04-JUL-2013,  0.96123,  0.84922,  00.22,  00.22,  00.00,  00.00,  00.22,  00.00
