FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
2004/07/01, 2004/07/02, 2004/09/30, UST  2.75 2006/06/30,  1.04931,  0.94670,  18.00,  18.00,  00.00,  00.00,  18.00,  00.00
2004/07/02, 2004/07/06, 2004/09/30, UST  2.75 2006/06/30,  1.04951,  0.94670,  02.14,  02.14,  00.00,  00.00,  02.14,  00.00
2004/07/06, 2004/07/07, 2004/09/30, UST  2.75 2006/06/30,  1.04979,  0.94670,  02.90,  02.90,  00.00,  00.00,  02.90,  00.00
2004/07/07, 2004/07/08, 2004/09/30, UST  2.75 2006/06/30,  1.05020,  0.94670,  04.36,  04.36,  00.00,  00.00,  04.36,  00.00
2004/07/08, 2004/07/09, 2004/09/30, UST  2.75 2006/06/30,  1.05048,  0.94670,  02.92,  02.91,  00.00,  00.00,  02.91,  00.00
2004/07/09, 2004/07/12, 2004/09/30, UST  2.75 2006/06/30,  1.05076,  0.94670,  02.95,  02.95,  00.00,  00.00,  02.95,  00.00
2004/07/12, 2004/07/13, 2004/09/30, UST  2.75 2006/06/30,  1.05020,  0.94670, -05.85, -05.84,  00.00,  00.00, -05.84, -00.01
2004/07/13, 2004/07/14, 2004/09/30, UST  2.75 2006/06/30,  1.04979,  0.94670, -04.40, -04.40,  00.00,  00.00, -04.40, -00.00
2004/07/14, 2004/07/15, 2004/09/30, UST  2.75 2006/06/30,  1.04965,  0.94670, -01.47, -01.47,  00.00,  00.00, -01.47, -00.00
2004/07/15, 2004/07/16, 2004/09/30, UST  2.75 2006/06/30,  1.05160,  0.94670,  20.60,  20.57,  00.00,  00.00,  20.57,  00.02
2004/07/16, 2004/07/19, 2004/09/30, UST  2.75 2006/06/30,  1.05153,  0.94670, -00.66, -00.66,  00.00,  00.00, -00.66, -00.00
2004/07/19, 2004/07/20, 2004/09/30, UST  2.75 2006/06/30,  1.04972,  0.94670, -19.22, -19.20,  00.00,  00.00, -19.20, -00.02
2004/07/20, 2004/07/21, 2004/09/30, UST  2.75 2006/06/30,  1.04894,  0.94670, -08.16, -08.15,  00.00,  00.00, -08.15, -00.00
2004/07/21, 2004/07/22, 2004/09/30, UST  2.75 2006/06/30,  1.04936,  0.94670,  04.44,  04.44,  00.00,  00.00,  04.44,  00.00
2004/07/22, 2004/07/23, 2004/09/30, UST  2.75 2006/06/30,  1.04971,  0.94670,  03.71,  03.71,  00.00,  00.00,  03.71,  00.00
2004/07/23, 2004/07/26, 2004/09/30, UST  2.75 2006/06/30,  1.04922,  0.94670, -05.24, -05.23,  00.00,  00.00, -05.23, -00.00
2004/07/26, 2004/07/27, 2004/09/30, UST  2.75 2006/06/30,  1.04794,  0.94670, -13.47, -13.46,  00.00,  00.00, -13.46, -00.00
2004/07/27, 2004/07/28, 2004/09/30, UST  2.75 2006/06/30,  1.04872,  0.94670,  08.20,  08.20,  00.00,  00.00,  08.20,  00.00
2004/07/28, 2004/07/29, 2004/09/30, UST  2.75 2006/06/30,  1.04943,  0.94670,  07.48,  07.48,  00.00,  00.00,  07.48,  00.00
2004/07/29, 2004/07/30, 2004/09/30, UST  2.75 2006/06/30,  1.05071,  0.94670,  13.50,  13.50,  00.00,  00.00,  13.50,  00.00
2004/07/30, 2004/08/02, 2004/09/30, UST  2.75 2006/06/30,  1.05150,  0.94670,  08.33,  08.32,  00.00,  00.00,  08.32,  00.01
2004/08/02, 2004/08/03, 2004/09/30, UST  2.75 2006/06/30,  1.05178,  0.94670,  03.05,  03.04,  00.00,  00.00,  03.04,  00.01
2004/08/03, 2004/08/04, 2004/09/30, UST  2.75 2006/06/30,  1.05186,  0.94670,  00.78,  00.78,  00.00,  00.00,  00.78,  00.00
2004/08/04, 2004/08/05, 2004/09/30, UST  2.75 2006/06/30,  1.05222,  0.94670,  03.82,  03.82,  00.00,  00.00,  03.82,  00.00
2004/08/05, 2004/08/06, 2004/09/30, UST  2.75 2006/06/30,  1.05703,  0.94670,  50.83,  50.83,  00.00,  00.00,  50.83,  00.01
2004/08/06, 2004/08/09, 2004/09/30, UST  2.75 2006/06/30,  1.05656,  0.94670, -05.00, -05.00,  00.00,  00.00, -05.00, -00.00
2004/08/09, 2004/08/10, 2004/09/30, UST  2.75 2006/06/30,  1.05476,  0.94670, -18.95, -18.91,  00.00,  00.00, -18.91, -00.04
2004/08/10, 2004/08/11, 2004/09/30, UST  2.75 2006/06/30,  1.05542,  0.94670,  06.94,  06.93,  00.00,  00.00,  06.93,  00.02
2004/08/11, 2004/08/12, 2004/09/30, UST  2.75 2006/06/30,  1.05586,  0.94670,  04.68,  04.67,  00.00,  00.00,  04.67,  00.00
2004/08/12, 2004/08/13, 2004/09/30, UST  2.75 2006/06/30,  1.05681,  0.94670,  10.05,  10.05,  00.00,  00.00,  10.05,  00.00
2004/08/13, 2004/08/16, 2004/09/30, UST  2.75 2006/06/30,  1.05670,  0.94670, -01.21, -01.21,  00.00,  00.00, -01.21, -00.00
2004/08/16, 2004/08/17, 2004/09/30, UST  2.75 2006/06/30,  1.05773,  0.94670,  10.89,  10.89,  00.00,  00.00,  10.89,  00.00
2004/08/17, 2004/08/18, 2004/09/30, UST  2.75 2006/06/30,  1.05782,  0.94670,  00.90,  00.90,  00.00,  00.00,  00.90,  00.00
2004/08/18, 2004/08/19, 2004/09/30, UST  2.75 2006/06/30,  1.05849,  0.94670,  07.08,  07.08,  00.00,  00.00,  07.08,  00.01
2004/08/19, 2004/08/20, 2004/09/30, UST  2.75 2006/06/30,  1.05784,  0.94670, -06.83, -06.83,  00.00,  00.00, -06.83, -00.01
2004/08/20, 2004/08/23, 2004/09/30, UST  2.75 2006/06/30,  1.05736,  0.94670, -05.06, -05.06,  00.00,  00.00, -05.06, -00.00
2004/08/23, 2004/08/24, 2004/09/30, UST  2.75 2006/06/30,  1.05759,  0.94670,  02.45,  02.45,  00.00,  00.00,  02.45,  00.00
2004/08/24, 2004/08/25, 2004/09/30, UST  2.75 2006/06/30,  1.05783,  0.94670,  02.46,  02.46,  00.00,  00.00,  02.46,  00.00
2004/08/25, 2004/08/26, 2004/09/30, UST  2.75 2006/06/30,  1.05828,  0.94670,  04.82,  04.81,  00.00,  00.00,  04.81,  00.01
2004/08/26, 2004/08/27, 2004/09/30, UST  2.75 2006/06/30,  1.05837,  0.94670,  00.92,  00.91,  00.00,  00.00,  00.91,  00.00
2004/08/27, 2004/08/30, 2004/09/30, UST  2.75 2006/06/30,  1.05923,  0.94670,  09.05,  09.04,  00.00,  00.00,  09.04,  00.01
2004/08/30, 2004/08/31, 2004/09/30, UST  2.75 2006/06/30,  1.06028,  0.94670,  11.18,  11.15,  00.00,  00.00,  11.15,  00.02
2004/08/31, 2004/09/01, 2004/09/30, UST  2.75 2006/06/30,  1.06075,  0.94670,  04.89,  04.88,  00.00,  00.00,  04.88,  00.01
2004/09/01, 2004/09/02, 2004/09/30, UST  2.75 2006/06/30,  1.05987,  0.94670, -09.30, -09.29,  00.00,  00.00, -09.29, -00.01
2004/09/02, 2004/09/03, 2004/09/30, UST  2.75 2006/06/30,  1.05734,  0.94670, -26.73, -26.71,  00.00,  00.00, -26.71, -00.02
2004/09/03, 2004/09/07, 2004/09/30, UST  2.75 2006/06/30,  1.05806,  0.94670,  07.65,  07.64,  00.00,  00.00,  07.64,  00.02
2004/09/07, 2004/09/08, 2004/09/30, UST  2.75 2006/06/30,  1.05996,  0.94670,  20.05,  19.98,  00.00,  00.00,  19.98,  00.07
2004/09/08, 2004/09/09, 2004/09/30, UST  2.75 2006/06/30,  1.05975,  0.94670, -02.23, -02.23,  00.00,  00.00, -02.23, -00.00
2004/09/09, 2004/09/10, 2004/09/30, UST  2.75 2006/06/30,  1.05991,  0.94670,  01.76,  01.76,  00.00,  00.00,  01.76,  00.00
2004/09/10, 2004/09/13, 2004/09/30, UST  2.75 2006/06/30,  1.06027,  0.94670,  03.71,  03.70,  00.00,  00.00,  03.70,  00.01
2004/09/13, 2004/09/14, 2004/09/30, UST  2.75 2006/06/30,  1.06097,  0.94670,  07.40,  07.39,  00.00,  00.00,  07.39,  00.01
2004/09/14, 2004/09/15, 2004/09/30, UST  2.75 2006/06/30,  1.06045,  0.94670, -05.45, -05.43,  00.00,  00.00, -05.43, -00.01
2004/09/15, 2004/09/16, 2004/09/30, UST  2.75 2006/06/30,  1.06207,  0.94670,  17.11,  17.07,  00.00,  00.00,  17.07,  00.04
2004/09/16, 2004/09/17, 2004/09/30, UST  2.75 2006/06/30,  1.06048,  0.94670, -16.76, -16.72,  00.00,  00.00, -16.72, -00.05
2004/09/17, 2004/09/20, 2004/09/30, UST  2.75 2006/06/30,  1.06238,  0.94670,  20.01,  19.95,  00.00,  00.00,  19.95,  00.05
2004/09/20, 2004/09/21, 2004/09/30, UST  2.75 2006/06/30,  1.06178,  0.94670, -06.30, -06.30,  00.00,  00.00, -06.30, -00.00
2004/09/21, 2004/09/22, 2004/09/30, UST  2.75 2006/06/30,  1.06188,  0.94670,  01.01,  01.01,  00.00,  00.00,  01.01,  00.00
2004/09/22, 2004/09/23, 2004/09/30, UST  2.75 2006/06/30,  1.06043,  0.94670, -15.29, -15.26,  00.00,  00.00, -15.26, -00.04
2004/09/23, 2004/09/24, 2004/09/30, UST  2.75 2006/06/30,  1.05990,  0.94670, -05.55, -05.53,  00.00,  00.00, -05.53, -00.02
2004/09/24, 2004/09/27, 2004/09/30, UST  2.75 2006/06/30,  1.06088,  0.94670,  10.36,  10.35,  00.00,  00.00,  10.35,  00.01
2004/09/27, 2004/09/28, 2004/09/30, UST  2.75 2006/06/30,  1.06145,  0.94670,  05.94,  05.94,  00.00,  00.00,  05.94,  00.00
2004/09/28, 2004/09/29, 2004/09/30, UST  2.75 2006/06/30,  1.06014,  0.94670, -13.81, -13.79,  00.00,  00.00, -13.79, -00.02
2004/09/29, 2004/09/30, 2004/09/30, UST  2.75 2006/06/30,  1.05977,  0.94670, -03.96, -03.95,  00.00,  00.00, -03.95, -00.01
2004/10/01, 2004/10/04, 2004/12/31, UST  2.50 2006/09/30,  1.04881,  0.94260, -00.74, -00.74,  00.00,  00.00, -00.74, -00.00
2004/10/04, 2004/10/05, 2004/12/31, UST  2.50 2006/09/30,  1.04902,  0.94260,  02.17,  02.17,  00.00,  00.00,  02.17,  00.00
2004/10/05, 2004/10/06, 2004/12/31, UST  2.50 2006/09/30,  1.04826,  0.94260, -08.00, -07.98,  00.00,  00.00, -07.98, -00.01
2004/10/06, 2004/10/07, 2004/12/31, UST  2.50 2006/09/30,  1.04826,  0.94260, -00.01, -00.01,  00.00,  00.00, -00.01, -00.00
