FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
2004/06/22, 2004/06/23, 2004/09/30, UST  5.00 2011/08/15,  1.08262,  0.94510,  09.86,  09.86,  00.00,  00.00,  09.86,  00.00
2004/06/23, 2004/06/24, 2004/09/30, UST  5.00 2011/08/15,  1.08672,  0.94510,  43.38,  43.37,  00.00,  00.00,  43.37,  00.01
2004/06/24, 2004/06/25, 2004/09/30, UST  5.00 2011/08/15,  1.08690,  0.94510,  01.90,  01.90,  00.00,  00.00,  01.90,  00.00
2004/06/25, 2004/06/28, 2004/09/30, UST  5.00 2011/08/15,  1.08004,  0.94510, -72.61, -72.58,  00.00,  00.00, -72.58, -00.02
2004/06/28, 2004/06/29, 2004/09/30, UST  5.00 2011/08/15,  1.08339,  0.94510,  35.46,  35.45,  00.00,  00.00,  35.45,  00.01
2004/06/29, 2004/06/30, 2004/09/30, UST  5.00 2011/08/15,  1.09037,  0.94510,  73.86,  73.83,  00.00,  00.00,  73.83,  00.03
2004/06/30, 2004/07/01, 2004/09/30, UST  5.00 2011/08/15,  1.09372,  0.94510,  35.51,  35.50,  00.00,  00.00,  35.50,  00.01
2004/07/01, 2004/07/02, 2004/09/30, UST  5.00 2011/08/15,  1.10177,  0.94510,  85.12,  85.09,  00.00,  00.00,  85.09,  00.03
2004/07/02, 2004/07/06, 2004/09/30, UST  5.00 2011/08/15,  1.10085,  0.94510, -09.76, -09.76,  00.00,  00.00, -09.76, -00.00
2004/07/06, 2004/07/07, 2004/09/30, UST  5.00 2011/08/15,  1.10118,  0.94510,  03.56,  03.56,  00.00,  00.00,  03.56,  00.00
2004/07/07, 2004/07/08, 2004/09/30, UST  5.00 2011/08/15,  1.10182,  0.94510,  06.77,  06.77,  00.00,  00.00,  06.77,  00.00
