FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
09-JUN-2004, 10-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.08720,  0.95321,  20.14,  20.12,  00.00,  00.00,  20.12,  00.02
10-JUN-2004, 11-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.08532,  0.95321, -19.64, -19.62,  00.00,  00.00, -19.62, -00.02
11-JUN-2004, 14-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.08754,  0.95321,  23.24,  23.22,  00.00,  00.00,  23.22,  00.02
14-JUN-2004, 15-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09947,  0.95321,  125.14,  125.02,  00.00,  00.00,  125.02,  00.11
15-JUN-2004, 16-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09311,  0.95321, -66.72, -66.66,  00.00,  00.00, -66.66, -00.06
16-JUN-2004, 17-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09312,  0.95321,  00.15,  00.15,  00.00,  00.00,  00.15,  00.00
17-JUN-2004, 18-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09650,  0.95321,  35.48,  35.43,  00.00,  00.00,  35.43,  00.04
18-JUN-2004, 21-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09821,  0.95321,  17.85,  17.82,  00.00,  00.00,  17.82,  00.02
21-JUN-2004, 22-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09408,  0.95321, -43.30, -43.26,  00.00,  00.00, -43.26, -00.04
22-JUN-2004, 23-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09323,  0.95321, -08.92, -08.91,  00.00,  00.00, -08.91, -00.01
23-JUN-2004, 24-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09979,  0.95321,  68.83,  68.77,  00.00,  00.00,  68.77,  00.06
24-JUN-2004, 25-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09736,  0.95321, -25.49, -25.46,  00.00,  00.00, -25.46, -00.02
25-JUN-2004, 28-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09190,  0.95321, -57.31, -57.25,  00.00,  00.00, -57.25, -00.05
28-JUN-2004, 29-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09392,  0.95321,  21.21,  21.19,  00.00,  00.00,  21.19,  00.02
29-JUN-2004, 30-JUN-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10030,  0.95321,  66.98,  66.92,  00.00,  00.00,  66.92,  00.06
30-JUN-2004, 01-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.09978,  0.95321, -05.48, -05.47,  00.00,  00.00, -05.47, -00.01
01-JUL-2004, 02-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10510,  0.95321,  55.83,  55.78,  00.00,  00.00,  55.78,  00.05
02-JUL-2004, 05-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10561,  0.95321,  05.30,  05.29,  00.00,  00.00,  05.29,  00.00
05-JUL-2004, 06-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10492,  0.95321, -07.21, -07.21,  00.00,  00.00, -07.21, -00.01
06-JUL-2004, 07-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10730,  0.95321,  25.02,  24.99,  00.00,  00.00,  24.99,  00.02
07-JUL-2004, 08-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10776,  0.95321,  04.78,  04.78,  00.00,  00.00,  04.78,  00.00
08-JUL-2004, 09-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10762,  0.95321, -01.48, -01.47,  00.00,  00.00, -01.47, -00.00
09-JUL-2004, 12-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10954,  0.95321,  20.19,  20.17,  00.00,  00.00,  20.17,  00.02
12-JUL-2004, 13-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10380,  0.95321, -60.22, -60.17,  00.00,  00.00, -60.17, -00.06
13-JUL-2004, 14-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10503,  0.95321,  12.82,  12.80,  00.00,  00.00,  12.80,  00.01
14-JUL-2004, 15-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10468,  0.95321, -03.67, -03.67,  00.00,  00.00, -03.67, -00.00
15-JUL-2004, 16-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11043,  0.95321,  60.41,  60.35,  00.00,  00.00,  60.35,  00.06
16-JUL-2004, 19-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11001,  0.95321, -04.43, -04.43,  00.00,  00.00, -04.43, -00.00
19-JUL-2004, 20-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10842,  0.95321, -16.72, -16.70,  00.00,  00.00, -16.70, -00.02
20-JUL-2004, 21-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10188,  0.95321, -68.61, -68.55,  00.00,  00.00, -68.55, -00.06
21-JUL-2004, 22-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10745,  0.95321,  58.45,  58.39,  00.00,  00.00,  58.39,  00.05
22-JUL-2004, 23-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11005,  0.95321,  27.23,  27.21,  00.00,  00.00,  27.21,  00.03
23-JUL-2004, 26-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10748,  0.95321, -26.89, -26.87,  00.00,  00.00, -26.87, -00.03
26-JUL-2004, 27-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10540,  0.95321, -21.85, -21.83,  00.00,  00.00, -21.83, -00.02
27-JUL-2004, 28-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10439,  0.95321, -10.57, -10.56,  00.00,  00.00, -10.56, -00.01
28-JUL-2004, 29-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.10674,  0.95321,  24.63,  24.61,  00.00,  00.00,  24.61,  00.02
29-JUL-2004, 30-JUL-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11421,  0.95321,  78.33,  78.25,  00.00,  00.00,  78.25,  00.07
30-JUL-2004, 02-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11575,  0.95321,  16.25,  16.24,  00.00,  00.00,  16.24,  00.02
02-AUG-2004, 03-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11703,  0.95321,  13.36,  13.35,  00.00,  00.00,  13.35,  00.01
03-AUG-2004, 04-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.11937,  0.95321,  24.54,  24.52,  00.00,  00.00,  24.52,  00.02
04-AUG-2004, 05-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.12270,  0.95321,  34.99,  34.96,  00.00,  00.00,  34.96,  00.03
05-AUG-2004, 06-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13141,  0.95321,  91.33,  91.23,  00.00,  00.00,  91.23,  00.10
06-AUG-2004, 09-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13038,  0.95321, -10.78, -10.77,  00.00,  00.00, -10.77, -00.01
09-AUG-2004, 10-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13141,  0.95321,  10.76,  10.75,  00.00,  00.00,  10.75,  00.01
10-AUG-2004, 11-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.12792,  0.95321, -36.59, -36.55,  00.00,  00.00, -36.55, -00.04
11-AUG-2004, 12-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13077,  0.95321,  29.89,  29.86,  00.00,  00.00,  29.86,  00.03
12-AUG-2004, 13-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13301,  0.95321,  23.52,  23.49,  00.00,  00.00,  23.49,  00.03
13-AUG-2004, 16-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.12747,  0.95321, -58.16, -58.09,  00.00,  00.00, -58.09, -00.07
16-AUG-2004, 17-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13053,  0.95321,  32.10,  32.06,  00.00,  00.00,  32.06,  00.04
17-AUG-2004, 19-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.22122,  0.95321,  951.50,  951.52,  00.00,  00.00,  951.52, -00.02
19-AUG-2004, 20-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.12970,  0.95321, -960.20, -960.25,  00.00,  00.00, -960.25,  00.05
20-AUG-2004, 24-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13081,  0.95321,  11.69,  11.67,  00.00,  00.00,  11.67,  00.01
24-AUG-2004, 25-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.21683,  0.95321,  902.46,  902.38,  00.00,  00.00,  902.38,  00.08
25-AUG-2004, 26-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.12531,  0.95321, -960.14, -960.23,  00.00,  00.00, -960.23,  00.09
26-AUG-2004, 30-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13026,  0.95321,  51.87,  51.81,  00.00,  00.00,  51.81,  00.06
30-AUG-2004, 31-AUG-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.13248,  0.95321,  23.34,  23.31,  00.00,  00.00,  23.31,  00.03
31-AUG-2004, 01-SEP-2004, 30-SEP-2004, DBR  5.62 04-JAN-2028,  1.22469,  0.95321,  967.40,  967.42,  00.00,  00.00,  967.42, -00.02
09-SEP-2004, 10-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13671,  0.95369,  49.08,  49.01,  00.00,  00.00,  49.01,  00.06
10-SEP-2004, 13-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13358,  0.95369, -32.78, -32.74,  00.00,  00.00, -32.74, -00.04
13-SEP-2004, 14-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.22230,  0.95369,  930.28,  930.21,  00.00,  00.00,  930.21,  00.07
14-SEP-2004, 15-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.21368,  0.95369, -90.46, -90.37,  00.00,  00.00, -90.37, -00.08
15-SEP-2004, 16-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.21606,  0.95369,  25.00,  24.98,  00.00,  00.00,  24.98,  00.02
16-SEP-2004, 17-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13458,  0.95369, -854.35, -854.14,  00.00,  00.00, -854.14, -00.21
17-SEP-2004, 20-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13523,  0.95369,  06.84,  06.83,  00.00,  00.00,  06.83,  00.01
20-SEP-2004, 21-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13431,  0.95369, -09.69, -09.68,  00.00,  00.00, -09.68, -00.01
21-SEP-2004, 22-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13590,  0.95369,  16.64,  16.62,  00.00,  00.00,  16.62,  00.02
22-SEP-2004, 23-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13541,  0.95369, -05.11, -05.10,  00.00,  00.00, -05.10, -00.01
23-SEP-2004, 24-SEP-2004, 31-DEC-2004, DBR  5.62 04-JAN-2028,  1.13723,  0.95369,  19.04,  19.02,  00.00,  00.00,  19.02,  00.03
