FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
2004/06/22, 2004/06/24, 2004/09/30, UST  6.25 2023/08/15,  1.05923,  1.02780,  84.49,  84.43,  00.00,  00.00,  84.43,  00.06
2004/06/24, 2004/06/25, 2004/09/30, UST  6.25 2023/08/15,  1.05923,  1.02780,  00.04,  00.04,  00.00,  00.00,  00.04,  00.00
2004/06/25, 2004/06/29, 2004/09/30, UST  6.25 2023/08/15,  1.05397,  1.02780, -51.14, -51.11,  00.00,  00.00, -51.11, -00.04
2004/06/29, 2004/06/30, 2004/09/30, UST  6.25 2023/08/15,  1.06328,  1.02780,  90.54,  90.47,  00.00,  00.00,  90.47,  00.07
2004/06/30, 2004/07/01, 2004/09/30, UST  6.25 2023/08/15,  1.06763,  1.02780,  42.27,  42.24,  00.00,  00.00,  42.24,  00.03
2004/07/01, 2004/07/02, 2004/09/30, UST  6.25 2023/08/15,  1.07972,  1.02780,  117.70,  117.61,  00.00,  00.00,  117.61,  00.09
2004/07/02, 2004/07/06, 2004/09/30, UST  6.25 2023/08/15,  1.07757,  1.02780, -20.92, -20.90,  00.00,  00.00, -20.90, -00.02
2004/07/06, 2004/07/07, 2004/09/30, UST  6.25 2023/08/15,  1.07789,  1.02780,  03.07,  03.06,  00.00,  00.00,  03.06,  00.00
2004/07/07, 2004/07/08, 2004/09/30, UST  6.25 2023/08/15,  1.07820,  1.02780,  03.07,  03.06,  00.00,  00.00,  03.06,  00.00
2004/07/08, 2004/07/09, 2004/09/30, UST  6.25 2023/08/15,  1.07914,  1.02780,  09.10,  09.10,  00.00,  00.00,  09.10,  00.01
2004/07/09, 2004/07/12, 2004/09/30, UST  6.25 2023/08/15,  1.08133,  1.02780,  21.28,  21.27,  00.00,  00.00,  21.27,  00.02
2004/07/12, 2004/07/13, 2004/09/30, UST  6.25 2023/08/15,  1.07730,  1.02780, -39.20, -39.17,  00.00,  00.00, -39.17, -00.03
2004/07/13, 2004/07/14, 2004/09/30, UST  6.25 2023/08/15,  1.07761,  1.02780,  03.07,  03.06,  00.00,  00.00,  03.06,  00.00
2004/07/14, 2004/07/15, 2004/09/30, UST  6.25 2023/08/15,  1.07824,  1.02780,  06.09,  06.08,  00.00,  00.00,  06.08,  00.00
2004/07/15, 2004/07/16, 2004/09/30, UST  6.25 2023/08/15,  1.09283,  1.02780,  142.00,  141.89,  00.00,  00.00,  141.89,  00.11
2004/07/16, 2004/07/20, 2004/09/30, UST  6.25 2023/08/15,  1.08292,  1.02780, -96.44, -96.37,  00.00,  00.00, -96.37, -00.07
2004/07/20, 2004/07/21, 2004/09/30, UST  6.25 2023/08/15,  1.07920,  1.02780, -36.21, -36.18,  00.00,  00.00, -36.18, -00.03
2004/07/21, 2004/07/22, 2004/09/30, UST  6.25 2023/08/15,  1.08169,  1.02780,  24.22,  24.20,  00.00,  00.00,  24.20,  00.02
2004/07/22, 2004/07/23, 2004/09/30, UST  6.25 2023/08/15,  1.08573,  1.02780,  39.34,  39.31,  00.00,  00.00,  39.31,  00.03
2004/07/23, 2004/07/26, 2004/09/30, UST  6.25 2023/08/15,  1.08140,  1.02780, -42.17, -42.14,  00.00,  00.00, -42.14, -00.03
2004/07/26, 2004/07/27, 2004/09/30, UST  6.25 2023/08/15,  1.06679,  1.02780, -142.06, -141.96,  00.00,  00.00, -141.96, -00.11
2004/07/27, 2004/07/28, 2004/09/30, UST  6.25 2023/08/15,  1.06773,  1.02780,  09.11,  09.10,  00.00,  00.00,  09.10,  00.01
2004/07/28, 2004/07/29, 2004/09/30, UST  6.25 2023/08/15,  1.06929,  1.02780,  15.16,  15.14,  00.00,  00.00,  15.14,  00.01
2004/07/29, 2004/07/30, 2004/09/30, UST  6.25 2023/08/15,  1.08173,  1.02780,  121.01,  120.92,  00.00,  00.00,  120.92,  00.09
2004/07/30, 2004/08/02, 2004/09/30, UST  6.25 2023/08/15,  1.08329,  1.02780,  15.26,  15.25,  00.00,  00.00,  15.25,  00.01
2004/08/02, 2004/08/03, 2004/09/30, UST  6.25 2023/08/15,  1.08734,  1.02780,  39.37,  39.34,  00.00,  00.00,  39.34,  00.03
2004/08/03, 2004/08/04, 2004/09/30, UST  6.25 2023/08/15,  1.08672,  1.02780, -06.00, -06.00,  00.00,  00.00, -06.00, -00.00
2004/08/04, 2004/08/05, 2004/09/30, UST  6.25 2023/08/15,  1.08953,  1.02780,  27.28,  27.26,  00.00,  00.00,  27.26,  00.02
2004/07/19, 2004/08/09, 2004/09/30, UST  7.13 2023/02/15,  1.10635,  1.12360,  119.98,  119.90,  00.00,  00.00,  119.90,  00.09
2004/08/09, 2004/08/10, 2004/09/30, UST  7.13 2023/02/15,  1.10324,  1.12360, -27.64, -27.62,  00.00,  00.00, -27.62, -00.02
2004/08/10, 2004/08/13, 2004/09/30, UST  7.13 2023/02/15,  1.11291,  1.12360,  86.01,  85.95,  00.00,  00.00,  85.95,  00.06
2004/08/13, 2004/08/16, 2004/09/30, UST  7.13 2023/02/15,  1.10702,  1.12360, -52.42, -52.38,  00.00,  00.00, -52.38, -00.04
2004/08/16, 2004/08/19, 2004/09/30, UST  7.13 2023/02/15,  1.11141,  1.12360,  39.10,  39.07,  00.00,  00.00,  39.07,  00.03
2004/08/19, 2004/08/23, 2004/09/30, UST  7.13 2023/02/15,  1.10460,  1.12360, -60.58, -60.53,  00.00,  00.00, -60.53, -00.04
2004/08/23, 2004/08/24, 2004/09/30, UST  7.13 2023/02/15,  1.10461,  1.12360,  00.10,  00.10,  00.00,  00.00,  00.10,  00.00
2004/08/24, 2004/08/25, 2004/09/30, UST  7.13 2023/02/15,  1.10774,  1.12360,  27.82,  27.80,  00.00,  00.00,  27.80,  00.02
