FirstDate, SecondDate, ExpiryDate, CTD Bond, Expiry Clean Price, Conversion Factor, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL
2010/01/11, 2010/01/13, 2010/03/31, UST  4.50 2036/02/15,  1.20052,  0.80450,  58.23,  58.16,  00.00,  00.00,  58.16,  00.06
2010/01/13, 2010/01/14, 2010/03/31, UST  4.50 2036/02/15,  1.21638,  0.80450,  197.10,  196.89,  00.00,  00.00,  196.89,  00.21
2010/01/14, 2010/01/15, 2010/03/31, UST  4.50 2036/02/15,  1.22603,  0.80450,  119.88,  119.75,  00.00,  00.00,  119.75,  00.13
2010/01/15, 2010/01/19, 2010/03/31, UST  4.50 2036/02/15,  1.22173,  0.80450, -53.36, -53.30,  00.00,  00.00, -53.30, -00.06
2010/01/19, 2010/01/20, 2010/03/31, UST  4.50 2036/02/15,  1.23262,  0.80450,  135.38,  135.23,  00.00,  00.00,  135.23,  00.15
2010/01/20, 2010/01/21, 2010/03/31, UST  4.50 2036/02/15,  1.24041,  0.80450,  96.76,  96.66,  00.00,  00.00,  96.66,  00.10
2010/01/21, 2010/01/22, 2010/03/31, UST  4.50 2036/02/15,  1.24011,  0.80450, -03.67, -03.67,  00.00,  00.00, -03.67, -00.00
2010/01/22, 2010/01/26, 2010/03/31, UST  4.50 2036/02/15,  1.23023,  0.80450, -122.90, -122.76,  00.00,  00.00, -122.76, -00.13
2010/01/26, 2010/01/27, 2010/03/31, UST  4.50 2036/02/15,  1.23335,  0.80450,  38.83,  38.79,  00.00,  00.00,  38.79,  00.04
2010/01/27, 2010/01/28, 2010/03/31, UST  4.50 2036/02/15,  1.23088,  0.80450, -30.74, -30.70,  00.00,  00.00, -30.70, -00.03
2010/01/28, 2010/01/29, 2010/03/31, UST  4.50 2036/02/15,  1.24271,  0.80450,  147.07,  146.92,  00.00,  00.00,  146.92,  00.16
2010/01/29, 2010/02/01, 2010/03/31, UST  4.50 2036/02/15,  1.23249,  0.80450, -127.01, -126.87,  00.00,  00.00, -126.87, -00.14
2010/02/01, 2010/02/02, 2010/03/31, UST  4.50 2036/02/15,  1.23593,  0.80450,  42.72,  42.67,  00.00,  00.00,  42.67,  00.05
2010/02/02, 2010/02/03, 2010/03/31, UST  4.50 2036/02/15,  1.22070,  0.80450, -189.31, -189.11,  00.00,  00.00, -189.11, -00.20
2010/02/03, 2010/02/04, 2010/03/31, UST  4.50 2036/02/15,  1.23783,  0.80450,  212.89,  212.66,  00.00,  00.00,  212.66,  00.22
2010/02/04, 2010/02/05, 2010/03/31, UST  4.50 2036/02/15,  1.24904,  0.80450,  139.42,  139.27,  00.00,  00.00,  139.27,  00.15
2010/02/05, 2010/02/08, 2010/03/31, UST  4.50 2036/02/15,  1.24349,  0.80450, -69.03, -68.96,  00.00,  00.00, -68.96, -00.07
2010/02/08, 2010/02/09, 2010/03/31, UST  4.50 2036/02/15,  1.23417,  0.80450, -115.87, -115.75,  00.00,  00.00, -115.75, -00.12
2010/02/09, 2010/02/10, 2010/03/31, UST  4.50 2036/02/15,  1.22080,  0.80450, -166.20, -166.02,  00.00,  00.00, -166.02, -00.18
2010/02/10, 2010/02/11, 2010/03/31, UST  4.50 2036/02/15,  1.21240,  0.80450, -104.32, -104.20,  00.00,  00.00, -104.20, -00.11
2010/02/11, 2010/02/12, 2010/03/31, UST  4.50 2036/02/15,  1.21678,  0.80450,  54.35,  54.29,  00.00,  00.00,  54.29,  00.06
2010/02/12, 2010/02/16, 2010/03/31, UST  4.50 2036/02/15,  1.22057,  0.80450,  47.15,  47.10,  00.00,  00.00,  47.10,  00.05
2010/02/16, 2010/02/17, 2010/03/31, UST  4.50 2036/02/15,  1.20563,  0.80450, -185.65, -185.45,  00.00,  00.00, -185.45, -00.20
2010/02/17, 2010/02/18, 2010/03/31, UST  4.50 2036/02/15,  1.19848,  0.80450, -88.88, -88.78,  00.00,  00.00, -88.78, -00.10
2010/02/18, 2010/02/19, 2010/03/31, UST  4.50 2036/02/15,  1.20909,  0.80450,  131.84,  131.70,  00.00,  00.00,  131.70,  00.14
2010/02/19, 2010/02/22, 2010/03/31, UST  4.50 2036/02/15,  1.20415,  0.80450, -61.41, -61.35,  00.00,  00.00, -61.35, -00.07
2010/02/22, 2010/02/23, 2010/03/31, UST  4.50 2036/02/15,  1.22349,  0.80450,  240.34,  240.09,  00.00,  00.00,  240.09,  00.25
2010/02/23, 2010/02/24, 2010/03/31, UST  4.50 2036/02/15,  1.22413,  0.80450,  07.95,  07.94,  00.00,  00.00,  07.94,  00.01
2010/02/24, 2010/02/25, 2010/03/31, UST  4.50 2036/02/15,  1.23443,  0.80450,  128.04,  127.90,  00.00,  00.00,  127.90,  00.14
2010/02/25, 2010/02/26, 2010/03/31, UST  4.50 2036/02/15,  1.24535,  0.80450,  135.81,  135.66,  00.00,  00.00,  135.66,  00.15
2010/02/26, 2010/03/01, 2010/03/31, UST  4.50 2036/02/15,  1.24011,  0.80450, -65.21, -65.14,  00.00,  00.00, -65.14, -00.07
2010/03/01, 2010/03/02, 2010/03/31, UST  4.50 2036/02/15,  1.23763,  0.80450, -30.79, -30.75,  00.00,  00.00, -30.75, -00.03
2010/03/02, 2010/03/03, 2010/03/31, UST  4.50 2036/02/15,  1.23453,  0.80450, -38.54, -38.50,  00.00,  00.00, -38.50, -00.04
2010/03/03, 2010/03/04, 2010/03/31, UST  4.50 2036/02/15,  1.24016,  0.80450,  69.98,  69.90,  00.00,  00.00,  69.90,  00.08
2010/03/04, 2010/03/05, 2010/03/31, UST  4.50 2036/02/15,  1.22427,  0.80450, -197.48, -197.27,  00.00,  00.00, -197.27, -00.21
2010/03/05, 2010/03/08, 2010/03/31, UST  4.50 2036/02/15,  1.21746,  0.80450, -84.70, -84.61,  00.00,  00.00, -84.61, -00.09
2010/03/08, 2010/03/09, 2010/03/31, UST  4.50 2036/02/15,  1.21685,  0.80450, -07.56, -07.55,  00.00,  00.00, -07.55, -00.01
2010/03/09, 2010/03/10, 2010/03/31, UST  4.50 2036/02/15,  1.21593,  0.80450, -11.44, -11.43,  00.00,  00.00, -11.43, -00.01
2010/03/10, 2010/03/11, 2010/03/31, UST  4.50 2036/02/15,  1.22156,  0.80450,  70.00,  69.93,  00.00,  00.00,  69.93,  00.08
2010/03/11, 2010/03/12, 2010/03/31, UST  4.50 2036/02/15,  1.22750,  0.80450,  73.89,  73.81,  00.00,  00.00,  73.81,  00.08
2010/03/12, 2010/03/15, 2010/03/31, UST  4.50 2036/02/15,  1.22662,  0.80450, -11.03, -11.02,  00.00,  00.00, -11.02, -00.01
2010/03/15, 2010/03/16, 2010/03/31, UST  4.50 2036/02/15,  1.23537,  0.80450,  108.84,  108.72,  00.00,  00.00,  108.72,  00.12
