SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
22-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 101.99900, 101.94598, 12.1, 12.1, 4.9699, 4.9699, 6.9211, -0.0000, -0.0000, -0.0000, -0.0000, 2.4377, 4.4833, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.28000, 102.22078, 11.7, 11.7, 4.9311, 4.9311, 6.9248, -0.0000, -0.0000, -0.0000, -0.0000, 2.4454, 4.4795, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.66700, 102.59895, 12.1, 12.1, 4.8778, 4.8778, 6.9300, -0.0000, -0.0000, -0.0000, -0.0000, 2.4535, 4.4765, -0.0000, -0.0000
25-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.67300, 102.60556, 12.4, 12.4, 4.8768, 4.8768, 6.9301, -0.0000, -0.0000, -0.0000, -0.0000, 2.4599, 4.4702, -0.0000, -0.0000
28-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.17800, 102.12443, 12.6, 12.6, 4.9447, 4.9447, 6.9235, -0.0000, -0.0000, -0.0000, -0.0000, 2.4765, 4.4470, -0.0000, -0.0000
29-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.35000, 102.29310, 12.3, 12.3, 4.9209, 4.9209, 6.9258, -0.0000, -0.0000, -0.0000, -0.0000, 2.4836, 4.4422, -0.0000, -0.0000
30-JUN-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 102.95700, 102.88682, 12.7, 12.7, 4.8374, 4.8374, 6.9339, -0.0000, -0.0000, -0.0000, -0.0000, 2.4929, 4.4411, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.78200, 103.69474, 13.2, 13.2, 4.7247, 4.7247, 6.9448, -0.0000, -0.0000, -0.0000, -0.0000, 2.5094, 4.4354, -0.0000, -0.0000
05-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.68300, 103.60099, 13.2, 13.2, 4.7377, 4.7377, 6.9436, -0.0000, -0.0000, -0.0000, -0.0000, 2.5280, 4.4156, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.57100, 103.49242, 13.7, 13.7, 4.7528, 4.7528, 6.9421, -0.0000, -0.0000, -0.0000, -0.0000, 2.5338, 4.4083, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.55500, 103.47773, 13.9, 13.9, 4.7548, 4.7548, 6.9419, -0.0000, -0.0000, -0.0000, -0.0000, 2.5401, 4.4018, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.74700, 103.66660, 13.9, 13.9, 4.7286, 4.7286, 6.9444, -0.0000, -0.0000, -0.0000, -0.0000, 2.5473, 4.3971, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.80000, 103.71949, 13.7, 13.7, 4.7212, 4.7212, 6.9452, -0.0000, -0.0000, -0.0000, -0.0000, 2.5539, 4.3912, -0.0000, -0.0000
12-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.76000, 103.68336, 13.6, 13.6, 4.7263, 4.7263, 6.9447, -0.0000, -0.0000, -0.0000, -0.0000, 2.5727, 4.3719, -0.0000, -0.0000
13-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.55300, 103.48152, 13.6, 13.6, 4.7543, 4.7543, 6.9420, -0.0000, -0.0000, -0.0000, -0.0000, 2.5781, 4.3639, -0.0000, -0.0000
14-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.41100, 103.34328, 13.9, 13.9, 4.7736, 4.7736, 6.9401, -0.0000, -0.0000, -0.0000, -0.0000, 2.5837, 4.3564, -0.0000, -0.0000
15-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 103.39200, 103.32557, 13.3, 13.3, 4.7760, 4.7760, 6.9399, -0.0000, -0.0000, -0.0000, -0.0000, 2.5900, 4.3499, -0.0000, -0.0000
16-JUL-2004,30-SEP-2004,CAN  5.25 01-JUN-2013, 104.06300, 103.98449, 13.4, 13.4, 4.6845, 4.6845, 6.9487, -0.0000, -0.0000, -0.0000, -0.0000, 2.5996, 4.3491, -0.0000, -0.0000
