SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
09-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.56800, 103.07836, 8.6, 8.6, 2.8087, 2.8087, 1.8031, 1.4573, 0.3458, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
10-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.47400, 103.00110, 8.6, 8.6, 2.8503, 2.8503, 1.8027, 1.4619, 0.3408, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
11-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.35300, 102.90033, 8.8, 8.8, 2.9046, 2.9046, 1.8022, 1.4664, 0.3358, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
14-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.31600, 102.87884, 9.4, 9.4, 2.9162, 2.9162, 1.8021, 1.4811, 0.3209, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
15-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.48400, 103.02800, 9.6, 9.6, 2.8358, 2.8358, 1.8028, 1.4867, 0.3161, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
16-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.40000, 102.95877, 9.3, 9.3, 2.8731, 2.8731, 1.8025, 1.4914, 0.3111, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
17-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.33900, 102.90934, 9.7, 9.7, 2.8997, 2.8997, 1.8022, 1.4961, 0.3062, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
18-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.44800, 103.00775, 9.5, 9.5, 2.8467, 2.8467, 1.8027, 1.5014, 0.3013, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
21-JUN-2004,30-SEP-2004,DBR  4.50 18-AUG-2006, 103.45600, 103.02578, 9.8, 9.8, 2.8370, 2.8370, 1.8028, 1.5163, 0.2865, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,DBR  2.75 23-JUN-2006, 99.96600, 99.96814,-1.3,-1.3, 2.7676, 2.7676, 1.6783, 1.6783, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
