SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
29-MAY-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 95.92300, 96.01156, 511.7, 511.7, 6.4233, 6.4233, 7.0479, -0.0000, -0.0000, -0.0000, -0.0000, 0.7590, 6.2889, -0.0000, -0.0000
30-MAY-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 94.51000, 94.62771, 541.3, 541.3, 6.6295, 6.6295, 7.0239, -0.0000, -0.0000, -0.0000, -0.0000, 0.7629, 6.2610, -0.0000, -0.0000
31-MAY-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 95.16000, 95.26325, 538.5, 538.5, 6.5343, 6.5343, 7.0350, -0.0000, -0.0000, -0.0000, -0.0000, 0.7705, 6.2645, -0.0000, -0.0000
01-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 95.44000, 95.53662, 537.2, 537.2, 6.4936, 6.4936, 7.0397, -0.0000, -0.0000, -0.0000, -0.0000, 0.7774, 6.2623, -0.0000, -0.0000
04-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 96.35700, 96.43245, 520.5, 520.5, 6.3613, 6.3613, 7.0551, -0.0000, -0.0000, -0.0000, -0.0000, 0.7984, 6.2567, -0.0000, -0.0000
05-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 96.96000, 97.02235, 511.8, 511.8, 6.2749, 6.2749, 7.0652, -0.0000, -0.0000, -0.0000, -0.0000, 0.8060, 6.2592, -0.0000, -0.0000
06-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 97.09800, 97.15696, 497.2, 497.2, 6.2553, 6.2553, 7.0675, -0.0000, -0.0000, -0.0000, -0.0000, 0.8127, 6.2547, -0.0000, -0.0000
07-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 98.45300, 98.48336, 474.3, 474.3, 6.0638, 6.0638, 7.0897, -0.0000, -0.0000, -0.0000, -0.0000, 0.8218, 6.2680, -0.0000, -0.0000
08-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 97.53300, 97.58201, 491.9, 491.9, 6.1936, 6.1936, 7.0747, -0.0000, -0.0000, -0.0000, -0.0000, 0.8265, 6.2482, -0.0000, -0.0000
11-JUN-2012,30-SEP-2012,SPGB  5.85 31-JAN-2022, 95.49800, 95.58580, 523.7, 523.7, 6.4863, 6.4863, 7.0406, -0.0000, -0.0000, -0.0000, -0.0000, 0.8418, 6.1988, -0.0000, -0.0000
