SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
22-JUN-2004,30-SEP-2004,UST  3.38 15-DEC-2008, 108.09375, 107.61428,-248.6,-248.6, 1.5005, 1.5005, 3.9397, -0.0000, -0.0000, 2.0400, 1.8997, -0.0000, -0.0000, -0.0000, -0.0000
25-JUN-2004,30-SEP-2004,UST  3.38 15-DEC-2008, 108.48438, 107.99522,-247.9,-247.9, 1.4108, 1.4108, 3.9419, -0.0000, -0.0000, 2.0735, 1.8684, -0.0000, -0.0000, -0.0000, -0.0000
29-JUN-2004,30-SEP-2004,UST  3.38 15-DEC-2008, 108.18750, 107.73438,-248.4,-248.4, 1.4722, 1.4722, 3.9404, -0.0000, -0.0000, 2.1159, 1.8245, -0.0000, -0.0000, -0.0000, -0.0000
30-JUN-2004,30-SEP-2004,UST  3.38 15-DEC-2008, 108.68750, 108.21062,-246.8,-246.8, 1.3603, 1.3603, 3.9432, -0.0000, -0.0000, 2.1282, 1.8150, -0.0000, -0.0000, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 108.12500, 107.64214,-249.2,-249.2, 1.4590, 1.4590, 3.8679, -0.0000, -0.0000, 2.3313, 1.5366, -0.0000, -0.0000, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 108.42188, 107.92545,-250.5,-250.5, 1.3911, 1.3911, 3.8695, -0.0000, -0.0000, 2.3429, 1.5267, -0.0000, -0.0000, -0.0000, -0.0000
28-JUN-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 107.96875, 107.51805,-251.2,-251.2, 1.4888, 1.4888, 3.8671, -0.0000, -0.0000, 2.3838, 1.4833, -0.0000, -0.0000, -0.0000, -0.0000
01-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.03125, 108.53344,-253.4,-253.4, 1.2460, 1.2460, 3.8731, -0.0000, -0.0000, 2.4193, 1.4538, -0.0000, -0.0000, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.59375, 109.06903,-253.4,-253.4, 1.1190, 1.1190, 3.8762, -0.0000, -0.0000, 2.4319, 1.4443, -0.0000, -0.0000, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.53125, 109.03201,-255.0,-255.0, 1.1277, 1.1277, 3.8760, -0.0000, -0.0000, 2.4742, 1.4018, -0.0000, -0.0000, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.53125, 109.03751,-255.4,-255.4, 1.1264, 1.1264, 3.8760, -0.0000, -0.0000, 2.4848, 1.3912, -0.0000, -0.0000, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.62500, 109.13174,-259.1,-259.1, 1.1041, 1.1041, 3.8765, -0.0000, -0.0000, 2.4958, 1.3807, -0.0000, -0.0000, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.64062, 109.15210,-258.1,-258.1, 1.0993, 1.0993, 3.8767, -0.0000, -0.0000, 2.5065, 1.3702, -0.0000, -0.0000, -0.0000, -0.0000
12-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.71875, 109.24300,-259.7,-259.7, 1.0778, 1.0778, 3.8772, -0.0000, -0.0000, 2.5387, 1.3385, -0.0000, -0.0000, -0.0000, -0.0000
13-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.56250, 109.10029,-258.4,-258.4, 1.1116, 1.1116, 3.8764, -0.0000, -0.0000, 2.5488, 1.3276, -0.0000, -0.0000, -0.0000, -0.0000
14-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.48438, 109.03163,-259.1,-259.1, 1.1278, 1.1278, 3.8760, -0.0000, -0.0000, 2.5591, 1.3168, -0.0000, -0.0000, -0.0000, -0.0000
15-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.43750, 108.99258,-258.5,-258.5, 1.1370, 1.1370, 3.8757, -0.0000, -0.0000, 2.5696, 1.3061, -0.0000, -0.0000, -0.0000, -0.0000
16-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 110.06250, 109.59260,-258.8,-258.8, 0.9955, 0.9955, 3.8792, -0.0000, -0.0000, 2.5825, 1.2967, -0.0000, -0.0000, -0.0000, -0.0000
19-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 110.00000, 109.55073,-259.4,-259.4, 1.0053, 1.0053, 3.8790, -0.0000, -0.0000, 2.6142, 1.2647, -0.0000, -0.0000, -0.0000, -0.0000
20-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.46875, 109.04996,-258.5,-258.5, 1.1235, 1.1235, 3.8761, -0.0000, -0.0000, 2.6229, 1.2531, -0.0000, -0.0000, -0.0000, -0.0000
21-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.29688, 108.89148,-257.8,-257.8, 1.1610, 1.1610, 3.8751, -0.0000, -0.0000, 2.6329, 1.2422, -0.0000, -0.0000, -0.0000, -0.0000
22-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.37500, 108.97155,-257.9,-257.9, 1.1420, 1.1420, 3.8756, -0.0000, -0.0000, 2.6438, 1.2318, -0.0000, -0.0000, -0.0000, -0.0000
23-JUL-2004,30-SEP-2004,UST  3.38 15-NOV-2008, 109.48438, 109.08158,-259.4,-259.4, 1.1160, 1.1160, 3.8762, -0.0000, -0.0000, 2.6549, 1.2213, -0.0000, -0.0000, -0.0000, -0.0000
