SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
14-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.91000, 114.51389,-70.6,-70.6, 2.5462, 2.5462, 8.0495, -0.0000, -0.0000, -0.0000, -0.0000, 0.0956, 7.9539, -0.0000, -0.0000
15-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.82000, 114.43001,-73.1,-73.1, 2.5553, 2.5553, 8.0485, -0.0000, -0.0000, -0.0000, -0.0000, 0.1030, 7.9456, -0.0000, -0.0000
16-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.78000, 114.39470,-77.2,-77.2, 2.5592, 2.5592, 8.0481, -0.0000, -0.0000, -0.0000, -0.0000, 0.1103, 7.9378, -0.0000, -0.0000
17-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.63000, 114.25240,-78.4,-78.4, 2.5746, 2.5746, 8.0464, -0.0000, -0.0000, -0.0000, -0.0000, 0.1176, 7.9287, -0.0000, -0.0000
18-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.72000, 114.34347,-80.4,-80.4, 2.5647, 2.5647, 8.0475, -0.0000, -0.0000, -0.0000, -0.0000, 0.1250, 7.9225, -0.0000, -0.0000
21-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.49000, 114.13023,-78.3,-78.3, 2.5879, 2.5879, 8.0449, -0.0000, -0.0000, -0.0000, -0.0000, 0.1470, 7.8979, -0.0000, -0.0000
22-SEP-2009,31-DEC-2009,BTPS  4.25 01-SEP-2019, 114.41000, 114.05583,-79.0,-79.0, 2.5960, 2.5960, 8.0440, -0.0000, -0.0000, -0.0000, -0.0000, 0.1543, 7.8897, -0.0000, -0.0000
30-AUG-2010,30-SEP-2010,BTPS  4.25 01-SEP-2019, 118.45000, 118.28857, 1.2, 1.2, 2.0009, 2.0009, 7.5745, -0.0000, -0.0000, -0.0000, -0.0000, 2.5159, 5.0586, -0.0000, -0.0000
04-OCT-2010,31-DEC-2010,BTPS  4.25 01-SEP-2019, 117.25000, 116.82010, 1.2, 1.2, 2.1152, 2.1152, 7.3791, -0.0000, -0.0000, -0.0000, -0.0000, 2.6866, 4.6925, -0.0000, -0.0000
05-OCT-2010,31-DEC-2010,BTPS  4.25 01-SEP-2019, 117.44000, 117.00980,-3.2,-3.2, 2.0932, 2.0932, 7.3811, -0.0000, -0.0000, -0.0000, -0.0000, 2.6940, 4.6870, -0.0000, -0.0000
