SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
11-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 138.90000, 137.08995,-466.6,-466.6,-3.2892,-3.2892, 6.8321, -0.0000, -0.0000, -0.0000, -0.0000, 6.2023, 0.6298, -0.0000, -0.0000
14-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 147.00000, 144.81117,-554.3,-554.3,-4.0888,-4.0888, 6.8684, -0.0000, -0.0000, -0.0000, -0.0000, 6.2541, 0.6143, -0.0000, -0.0000
15-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 141.40000, 139.52378,-494.3,-494.3,-3.5464,-3.5464, 6.8438, -0.0000, -0.0000, -0.0000, -0.0000, 6.2379, 0.6059, -0.0000, -0.0000
16-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 148.10000, 145.89163,-565.9,-565.9,-4.1969,-4.1969, 6.8733, -0.0000, -0.0000, -0.0000, -0.0000, 6.2711, 0.6022, -0.0000, -0.0000
17-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 153.00000, 150.55134,-616.3,-616.3,-4.6535,-4.6535, 6.8941, -0.0000, -0.0000, -0.0000, -0.0000, 6.2963, 0.5977, -0.0000, -0.0000
18-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 149.90000, 147.63734,-584.6,-584.6,-4.3698,-4.3699, 6.8812, -0.0000, -0.0000, -0.0000, -0.0000, 6.2908, 0.5903, -0.0000, -0.0000
21-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 147.50000, 145.42119,-560.1,-560.1,-4.1500,-4.1500, 6.8712, -0.0000, -0.0000, -0.0000, -0.0000, 6.3005, 0.5707, -0.0000, -0.0000
22-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 148.10000, 146.01079,-566.6,-566.6,-4.2088,-4.2088, 6.8738, -0.0000, -0.0000, -0.0000, -0.0000, 6.3092, 0.5646, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 149.40000, 147.26607,-580.1,-580.1,-4.3333,-4.3333, 6.8795, -0.0000, -0.0000, -0.0000, -0.0000, 6.3207, 0.5588, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,JGB  1.40 20-SEP-2011, 150.50000, 148.33205,-591.6,-591.6,-4.4380,-4.4380, 6.8843, -0.0000, -0.0000, -0.0000, -0.0000, 6.3313, 0.5529, -0.0000, -0.0000
