SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
16-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.85800, 106.71866, 134.3, 134.3, 2.8815, 2.8815, 7.5291, -0.0000, -0.0000, -0.0000, -0.0000, 2.4458, 5.0833, -0.0000, -0.0000
17-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.84300, 106.70569, 131.3, 131.3, 2.8831, 2.8831, 7.5290, -0.0000, -0.0000, -0.0000, -0.0000, 2.4527, 5.0763, -0.0000, -0.0000
18-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.87300, 106.73680, 133.8, 133.8, 2.8792, 2.8792, 7.5293, -0.0000, -0.0000, -0.0000, -0.0000, 2.4596, 5.0697, -0.0000, -0.0000
19-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.16300, 106.04255, 145.3, 145.3, 2.9659, 2.9659, 7.5215, -0.0000, -0.0000, -0.0000, -0.0000, 2.4639, 5.0575, -0.0000, -0.0000
20-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.13800, 106.01956, 143.8, 143.8, 2.9688, 2.9688, 7.5212, -0.0000, -0.0000, -0.0000, -0.0000, 2.4707, 5.0505, -0.0000, -0.0000
23-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.11800, 106.00450, 150.6, 150.6, 2.9707, 2.9707, 7.5211, -0.0000, -0.0000, -0.0000, -0.0000, 2.4913, 5.0298, -0.0000, -0.0000
24-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.62000, 106.49880, 139.2, 139.2, 2.9089, 2.9089, 7.5266, -0.0000, -0.0000, -0.0000, -0.0000, 2.5000, 5.0267, -0.0000, -0.0000
25-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 106.94000, 106.81464, 131.2, 131.2, 2.8695, 2.8695, 7.5302, -0.0000, -0.0000, -0.0000, -0.0000, 2.5080, 5.0222, -0.0000, -0.0000
26-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 107.17500, 107.04731, 134.4, 134.4, 2.8407, 2.8407, 7.5328, -0.0000, -0.0000, -0.0000, -0.0000, 2.5158, 5.0170, -0.0000, -0.0000
27-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 107.07300, 106.94907, 134.1, 134.1, 2.8528, 2.8528, 7.5317, -0.0000, -0.0000, -0.0000, -0.0000, 2.5223, 5.0094, -0.0000, -0.0000
30-APR-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 107.40800, 107.28418, 133.6, 133.6, 2.8113, 2.8113, 7.5355, -0.0000, -0.0000, -0.0000, -0.0000, 2.5441, 4.9913, -0.0000, -0.0000
02-MAY-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 107.42800, 107.30788, 138.6, 138.6, 2.8084, 2.8084, 7.5357, -0.0000, -0.0000, -0.0000, -0.0000, 2.5580, 4.9777, -0.0000, -0.0000
03-MAY-2012,30-JUN-2012,FRTR  3.75 25-APR-2021, 107.93500, 107.80871, 132.0, 132.0, 2.7466, 2.7466, 7.5413, -0.0000, -0.0000, -0.0000, -0.0000, 2.5668, 4.9745, -0.0000, -0.0000
