SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
09-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.34900, 98.42453, 3.9, 3.9, 3.6297, 3.6297, 4.1737, -0.0000, -0.0000, 0.6061, 3.5676, -0.0000, -0.0000, -0.0000, -0.0000
10-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.22800, 98.30819, 4.0, 4.0, 3.6581, 3.6581, 4.1729, -0.0000, -0.0000, 0.6175, 3.5555, -0.0000, -0.0000, -0.0000, -0.0000
11-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.02000, 98.10851, 4.1, 4.1, 3.7068, 3.7068, 4.1716, -0.0000, -0.0000, 0.6287, 3.5429, -0.0000, -0.0000, -0.0000, -0.0000
14-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.00300, 98.09002, 4.2, 4.2, 3.7113, 3.7113, 4.1715, -0.0000, -0.0000, 0.6630, 3.5085, -0.0000, -0.0000, -0.0000, -0.0000
15-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.41600, 98.48505, 4.2, 4.2, 3.6150, 3.6150, 4.1741, -0.0000, -0.0000, 0.6748, 3.4993, -0.0000, -0.0000, -0.0000, -0.0000
16-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.24900, 98.32437, 4.2, 4.2, 3.6541, 3.6541, 4.1730, -0.0000, -0.0000, 0.6861, 3.4870, -0.0000, -0.0000, -0.0000, -0.0000
17-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.15800, 98.23644, 4.3, 4.3, 3.6756, 3.6756, 4.1724, -0.0000, -0.0000, 0.6974, 3.4750, -0.0000, -0.0000, -0.0000, -0.0000
18-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.39400, 98.46217, 4.3, 4.3, 3.6206, 3.6206, 4.1740, -0.0000, -0.0000, 0.7091, 3.4649, -0.0000, -0.0000, -0.0000, -0.0000
21-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.44600, 98.51030, 4.4, 4.4, 3.6089, 3.6089, 4.1743, -0.0000, -0.0000, 0.7435, 3.4308, -0.0000, -0.0000, -0.0000, -0.0000
22-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.35000, 98.41747, 4.5, 4.5, 3.6315, 3.6315, 4.1737, -0.0000, -0.0000, 0.7548, 3.4189, -0.0000, -0.0000, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.37100, 98.43703, 4.6, 4.6, 3.6267, 3.6267, 4.1738, -0.0000, -0.0000, 0.7662, 3.4076, -0.0000, -0.0000, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.70500, 98.75756, 4.6, 4.6, 3.5488, 3.5488, 4.1760, -0.0000, -0.0000, 0.7781, 3.3979, -0.0000, -0.0000, -0.0000, -0.0000
25-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.60300, 98.65896, 4.8, 4.8, 3.5728, 3.5728, 4.1753, -0.0000, -0.0000, 0.7894, 3.3859, -0.0000, -0.0000, -0.0000, -0.0000
28-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.36800, 98.43105, 5.1, 5.1, 3.6281, 3.6281, 4.1738, -0.0000, -0.0000, 0.8234, 3.3504, -0.0000, -0.0000, -0.0000, -0.0000
29-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.34300, 98.40634, 5.2, 5.2, 3.6342, 3.6342, 4.1736, -0.0000, -0.0000, 0.8348, 3.3388, -0.0000, -0.0000, -0.0000, -0.0000
30-JUN-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.60800, 98.66112, 5.1, 5.1, 3.5722, 3.5722, 4.1753, -0.0000, -0.0000, 0.8466, 3.3287, -0.0000, -0.0000, -0.0000, -0.0000
01-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.61800, 98.67022, 5.3, 5.3, 3.5700, 3.5700, 4.1754, -0.0000, -0.0000, 0.8581, 3.3174, -0.0000, -0.0000, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.96500, 99.00435, 5.3, 5.3, 3.4891, 3.4891, 4.1777, -0.0000, -0.0000, 0.8700, 3.3077, -0.0000, -0.0000, -0.0000, -0.0000
05-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.97200, 99.00990, 5.5, 5.5, 3.4878, 3.4878, 4.1777, -0.0000, -0.0000, 0.9043, 3.2734, -0.0000, -0.0000, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 98.96400, 99.00177, 5.6, 5.6, 3.4897, 3.4897, 4.1776, -0.0000, -0.0000, 0.9157, 3.2619, -0.0000, -0.0000, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 99.09700, 99.12988, 5.6, 5.6, 3.4588, 3.4588, 4.1785, -0.0000, -0.0000, 0.9274, 3.2511, -0.0000, -0.0000, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 99.11600, 99.14789, 5.5, 5.5, 3.4544, 3.4544, 4.1786, -0.0000, -0.0000, 0.9389, 3.2398, -0.0000, -0.0000, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,DBR  3.25 17-APR-2009, 99.10100, 99.13304, 5.7, 5.7, 3.4580, 3.4580, 4.1785, -0.0000, -0.0000, 0.9503, 3.2282, -0.0000, -0.0000, -0.0000, -0.0000
