SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
09-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.77000, 95.88573, 2.8, 2.8, 4.3183, 4.3183, 7.3570, -0.0000, -0.0000, -0.0000, -0.0000, 2.2826, 5.0745, -0.0000, -0.0000
10-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.70700, 95.82332, 2.7, 2.7, 4.3272, 4.3272, 7.3562, -0.0000, -0.0000, -0.0000, -0.0000, 2.2890, 5.0672, -0.0000, -0.0000
11-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.53300, 95.65282, 2.6, 2.6, 4.3514, 4.3514, 7.3541, -0.0000, -0.0000, -0.0000, -0.0000, 2.2950, 5.0590, -0.0000, -0.0000
14-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.55800, 95.67369, 2.6, 2.6, 4.3484, 4.3484, 7.3543, -0.0000, -0.0000, -0.0000, -0.0000, 2.3153, 5.0391, -0.0000, -0.0000
15-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.09800, 96.19857, 3.0, 3.0, 4.2741, 4.2741, 7.3611, -0.0000, -0.0000, -0.0000, -0.0000, 2.3241, 5.0370, -0.0000, -0.0000
16-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.91600, 96.02028, 2.8, 2.8, 4.2993, 4.2993, 7.3588, -0.0000, -0.0000, -0.0000, -0.0000, 2.3301, 5.0287, -0.0000, -0.0000
17-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.83200, 95.93732, 2.6, 2.6, 4.3110, 4.3110, 7.3577, -0.0000, -0.0000, -0.0000, -0.0000, 2.3365, 5.0213, -0.0000, -0.0000
18-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.08000, 96.17792, 2.9, 2.9, 4.2770, 4.2770, 7.3608, -0.0000, -0.0000, -0.0000, -0.0000, 2.3442, 5.0167, -0.0000, -0.0000
21-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.17200, 96.26455, 2.9, 2.9, 4.2648, 4.2648, 7.3619, -0.0000, -0.0000, -0.0000, -0.0000, 2.3647, 4.9973, -0.0000, -0.0000
22-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.02600, 96.12105, 2.9, 2.9, 4.2850, 4.2850, 7.3601, -0.0000, -0.0000, -0.0000, -0.0000, 2.3708, 4.9893, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.02900, 96.12292, 2.9, 2.9, 4.2848, 4.2848, 7.3601, -0.0000, -0.0000, -0.0000, -0.0000, 2.3775, 4.9826, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.50400, 96.58559, 3.0, 3.0, 4.2196, 4.2196, 7.3660, -0.0000, -0.0000, -0.0000, -0.0000, 2.3861, 4.9799, -0.0000, -0.0000
25-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.32500, 96.40985, 3.0, 3.0, 4.2443, 4.2443, 7.3638, -0.0000, -0.0000, -0.0000, -0.0000, 2.3921, 4.9717, -0.0000, -0.0000
28-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.00600, 96.09521, 2.9, 2.9, 4.2887, 4.2887, 7.3598, -0.0000, -0.0000, -0.0000, -0.0000, 2.4110, 4.9488, -0.0000, -0.0000
29-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 95.99900, 96.08729, 2.8, 2.8, 4.2898, 4.2898, 7.3597, -0.0000, -0.0000, -0.0000, -0.0000, 2.4177, 4.9420, -0.0000, -0.0000
30-JUN-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.38700, 96.46548, 2.9, 2.9, 4.2365, 4.2365, 7.3645, -0.0000, -0.0000, -0.0000, -0.0000, 2.4260, 4.9385, -0.0000, -0.0000
01-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.37000, 96.44787, 3.1, 3.1, 4.2389, 4.2389, 7.3643, -0.0000, -0.0000, -0.0000, -0.0000, 2.4326, 4.9317, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.80400, 96.87138, 3.4, 3.4, 4.1795, 4.1795, 7.3697, -0.0000, -0.0000, -0.0000, -0.0000, 2.4411, 4.9286, -0.0000, -0.0000
05-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.80600, 96.87088, 3.7, 3.7, 4.1796, 4.1796, 7.3697, -0.0000, -0.0000, -0.0000, -0.0000, 2.4613, 4.9084, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.80900, 96.87314, 3.7, 3.7, 4.1792, 4.1792, 7.3697, -0.0000, -0.0000, -0.0000, -0.0000, 2.4680, 4.9017, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 96.98300, 97.04285, 3.8, 3.8, 4.1555, 4.1555, 7.3718, -0.0000, -0.0000, -0.0000, -0.0000, 2.4754, 4.8964, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 97.02700, 97.08530, 3.7, 3.7, 4.1496, 4.1496, 7.3724, -0.0000, -0.0000, -0.0000, -0.0000, 2.4824, 4.8900, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 97.02300, 97.08075, 3.5, 3.5, 4.1502, 4.1502, 7.3723, -0.0000, -0.0000, -0.0000, -0.0000, 2.4891, 4.8833, -0.0000, -0.0000
12-JUL-2004,30-SEP-2004,DBR  3.75 04-JUL-2013, 97.13100, 97.18473, 3.7, 3.7, 4.1357, 4.1357, 7.3736, -0.0000, -0.0000, -0.0000, -0.0000, 2.5097, 4.8640, -0.0000, -0.0000
