SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
01-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.43750, 104.76074,-261.0,-261.0, 0.0266, 0.0266, 1.7204, 1.7204, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.62500, 104.93115,-259.0,-259.0,-0.0678,-0.0678, 1.7212, 1.7212, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.61719, 104.95139,-261.7,-261.7,-0.0790,-0.0790, 1.7213, 1.7213, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.64062, 104.97884,-263.2,-263.2,-0.0942,-0.0942, 1.7215, 1.7215, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.67969, 105.02016,-263.0,-263.0,-0.1171,-0.1171, 1.7217, 1.7217, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.70313, 105.04776,-264.5,-264.5,-0.1323,-0.1323, 1.7218, 1.7218, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
12-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.71094, 105.07567,-266.8,-266.8,-0.1478,-0.1478, 1.7219, 1.7219, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
13-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.64062, 105.02033,-267.0,-267.0,-0.1172,-0.1172, 1.7217, 1.7217, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
14-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.58594, 104.97868,-267.9,-267.9,-0.0941,-0.0941, 1.7215, 1.7215, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
15-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.56250, 104.96474,-268.8,-268.8,-0.0864,-0.0864, 1.7214, 1.7214, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
16-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.77344, 105.15973,-268.7,-268.8,-0.1942,-0.1942, 1.7223, 1.7223, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
19-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.74219, 105.15344,-270.8,-270.8,-0.1907,-0.1907, 1.7223, 1.7223, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
20-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.53125, 104.97152,-270.7,-270.7,-0.0902,-0.0902, 1.7214, 1.7214, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
21-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.43750, 104.89432,-270.5,-270.5,-0.0474,-0.0474, 1.7210, 1.7210, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
22-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.47656, 104.93632,-272.0,-272.0,-0.0707,-0.0707, 1.7212, 1.7212, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
23-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.50781, 104.97142,-273.9,-273.9,-0.0901,-0.0901, 1.7214, 1.7214, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
26-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.42969, 104.92185,-277.0,-277.0,-0.0627,-0.0627, 1.7212, 1.7212, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
27-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.28125, 104.79436,-278.3,-278.3, 0.0080, 0.0080, 1.7205, 1.7205, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
28-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.35938, 104.87203,-276.8,-276.8,-0.0351,-0.0351, 1.7209, 1.7209, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
29-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.42969, 104.94282,-282.4,-282.4,-0.0743,-0.0743, 1.7213, 1.7213, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
30-JUL-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.56250, 105.07067,-282.2,-282.2,-0.1450,-0.1450, 1.7219, 1.7219, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
02-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.62500, 105.14953,-283.3,-283.3,-0.1886,-0.1886, 1.7223, 1.7223, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
03-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.64844, 105.17838,-284.1,-284.1,-0.2045,-0.2045, 1.7224, 1.7224, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
04-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.64844, 105.18575,-285.3,-285.3,-0.2085,-0.2085, 1.7225, 1.7225, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
05-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.67969, 105.22187,-287.3,-287.3,-0.2285,-0.2285, 1.7226, 1.7226, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
06-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.19531, 105.70309,-287.6,-287.6,-0.4931,-0.4931, 1.7250, 1.7250, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
09-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.11719, 105.65578,-290.7,-290.7,-0.4672,-0.4672, 1.7248, 1.7248, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
10-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.91406, 105.47635,-289.8,-289.8,-0.3686,-0.3687, 1.7239, 1.7239, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
11-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.97656, 105.54206,-290.1,-290.1,-0.4048,-0.4048, 1.7242, 1.7242, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
12-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.01562, 105.58632,-292.5,-292.5,-0.4291,-0.4291, 1.7244, 1.7244, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
13-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.10938, 105.68147,-293.5,-293.5,-0.4813,-0.4813, 1.7249, 1.7249, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
16-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.07031, 105.66999,-295.3,-295.3,-0.4750,-0.4750, 1.7248, 1.7248, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
17-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.17188, 105.77313,-292.7,-292.7,-0.5315,-0.5315, 1.7253, 1.7253, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
18-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.17188, 105.78160,-296.4,-296.4,-0.5362,-0.5362, 1.7254, 1.7254, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
19-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.23437, 105.84867,-295.1,-295.1,-0.5729,-0.5729, 1.7257, 1.7257, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
20-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.15625, 105.78398,-297.1,-297.1,-0.5375,-0.5375, 1.7254, 1.7254, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
23-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.07812, 105.73603,-297.8,-297.8,-0.5112,-0.5112, 1.7252, 1.7252, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
24-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.09375, 105.75927,-297.4,-297.4,-0.5239,-0.5239, 1.7253, 1.7253, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
25-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.10938, 105.78258,-300.3,-300.3,-0.5367,-0.5367, 1.7254, 1.7254, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
26-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.14844, 105.82821,-303.3,-303.3,-0.5617,-0.5617, 1.7256, 1.7256, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
27-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.14844, 105.83687,-304.6,-304.6,-0.5665,-0.5665, 1.7256, 1.7256, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
30-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.21094, 105.92253,-306.9,-306.9,-0.6133,-0.6133, 1.7261, 1.7261, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
31-AUG-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.31250, 106.02834,-306.2,-306.2,-0.6712,-0.6712, 1.7266, 1.7266, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
01-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.35156, 106.07463,-307.9,-307.9,-0.6964,-0.6964, 1.7268, 1.7268, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
02-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.25000, 105.98663,-310.4,-310.4,-0.6484,-0.6484, 1.7264, 1.7264, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
03-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.97656, 105.73360,-308.8,-308.8,-0.5099,-0.5099, 1.7251, 1.7251, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
07-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.01562, 105.80606,-309.6,-309.6,-0.5496,-0.5496, 1.7255, 1.7255, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
08-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.20312, 105.99588,-311.8,-311.8,-0.6534,-0.6534, 1.7264, 1.7264, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
09-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.17188, 105.97475,-312.3,-312.3,-0.6419,-0.6419, 1.7263, 1.7263, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
10-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.17969, 105.99142,-313.2,-313.2,-0.6510,-0.6510, 1.7264, 1.7264, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
13-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.18750, 106.02655,-313.5,-313.5,-0.6702,-0.6702, 1.7266, 1.7266, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
14-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.25000, 106.09665,-314.1,-314.1,-0.7084,-0.7084, 1.7269, 1.7269, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
15-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.18750, 106.04507,-315.4,-315.4,-0.6803,-0.6803, 1.7267, 1.7267, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
16-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.34375, 106.20706,-317.6,-317.6,-0.7687,-0.7687, 1.7274, 1.7274, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
17-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.17188, 106.04839,-315.6,-315.6,-0.6821,-0.6822, 1.7267, 1.7267, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
20-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.33594, 106.23781,-321.0,-321.0,-0.7854,-0.7854, 1.7276, 1.7276, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
21-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.26563, 106.17818,-321.1,-321.1,-0.7529,-0.7529, 1.7273, 1.7273, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
22-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.26563, 106.18777,-321.6,-321.6,-0.7581,-0.7581, 1.7274, 1.7274, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
23-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.10938, 106.04298,-319.5,-319.5,-0.6791,-0.6792, 1.7266, 1.7266, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
24-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.04688, 105.99043,-321.7,-321.7,-0.6504,-0.6505, 1.7264, 1.7264, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
27-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.11719, 106.08847,-323.8,-323.8,-0.7040,-0.7040, 1.7269, 1.7269, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
28-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.16406, 106.14474,-325.2,-325.2,-0.7347,-0.7347, 1.7271, 1.7271, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
29-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 106.02344, 106.01404,-325.6,-325.6,-0.6633,-0.6634, 1.7265, 1.7265, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
30-SEP-2004,30-SEP-2004,UST  2.75 30-JUN-2006, 105.97656, 105.97658,-324.8,-324.8,-0.6429,-0.6429, 1.7263, 1.7263, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
01-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.59375, 104.88814,-291.2,-291.2,-0.2906,-0.2906, 1.7229, 1.7229, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
04-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.56250, 104.88115,-292.5,-292.5,-0.2867,-0.2867, 1.7229, 1.7229, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
05-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.57813, 104.90162,-292.8,-292.8,-0.2980,-0.2980, 1.7230, 1.7230, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
06-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.48438, 104.82624,-294.4,-294.4,-0.2563,-0.2564, 1.7226, 1.7226, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
07-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.47656, 104.82610,-294.4,-294.4,-0.2563,-0.2563, 1.7226, 1.7226, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
08-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.71875, 105.04587,-295.9,-295.9,-0.3778,-0.3778, 1.7237, 1.7237, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
11-OCT-2004,31-DEC-2004,UST  2.50 30-SEP-2006, 105.71875, 105.06710,-297.1,-297.1,-0.3895,-0.3895, 1.7238, 1.7238, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000
