SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
22-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.45312, 108.16875,-69.4,-69.4, 3.6453, 3.6453, 5.8397, -0.0000, -0.0000, -0.0000, -0.0000, 5.5519, 0.2878, -0.0000, -0.0000
23-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.54688, 108.26193,-68.6,-68.6, 3.6305, 3.6305, 5.8406, -0.0000, -0.0000, -0.0000, -0.0000, 5.5581, 0.2825, -0.0000, -0.0000
24-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.96875, 108.67192,-69.7,-69.7, 3.5659, 3.5659, 5.8445, -0.0000, -0.0000, -0.0000, -0.0000, 5.5672, 0.2774, -0.0000, -0.0000
25-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.98438, 108.68988,-69.2,-69.2, 3.5630, 3.5630, 5.8447, -0.0000, -0.0000, -0.0000, -0.0000, 5.5727, 0.2721, -0.0000, -0.0000
28-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.26563, 108.00368,-68.9,-68.9, 3.6714, 3.6714, 5.8381, -0.0000, -0.0000, -0.0000, -0.0000, 5.5824, 0.2558, -0.0000, -0.0000
29-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 108.60938, 108.33879,-68.9,-68.9, 3.6184, 3.6184, 5.8413, -0.0000, -0.0000, -0.0000, -0.0000, 5.5908, 0.2506, -0.0000, -0.0000
30-JUN-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 109.32812, 109.03682,-68.2,-68.2, 3.5085, 3.5085, 5.8480, -0.0000, -0.0000, -0.0000, -0.0000, 5.6025, 0.2455, -0.0000, -0.0000
01-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 109.67188, 109.37242,-70.6,-70.6, 3.4560, 3.4560, 5.8512, -0.0000, -0.0000, -0.0000, -0.0000, 5.6108, 0.2403, -0.0000, -0.0000
02-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.50000, 110.17691,-71.5,-71.5, 3.3309, 3.3309, 5.8587, -0.0000, -0.0000, -0.0000, -0.0000, 5.6234, 0.2353, -0.0000, -0.0000
06-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.39063, 110.08463,-72.1,-72.1, 3.3452, 3.3452, 5.8578, -0.0000, -0.0000, -0.0000, -0.0000, 5.6440, 0.2139, -0.0000, -0.0000
07-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.42188, 110.11831,-72.7,-72.7, 3.3400, 3.3400, 5.8582, -0.0000, -0.0000, -0.0000, -0.0000, 5.6496, 0.2085, -0.0000, -0.0000
08-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.48438, 110.18232,-74.2,-74.2, 3.3301, 3.3301, 5.8587, -0.0000, -0.0000, -0.0000, -0.0000, 5.6556, 0.2032, -0.0000, -0.0000
09-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.57812, 110.27668,-74.2,-74.2, 3.3155, 3.3155, 5.8596, -0.0000, -0.0000, -0.0000, -0.0000, 5.6617, 0.1979, -0.0000, -0.0000
12-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.70313, 110.40845,-75.4,-75.4, 3.2951, 3.2951, 5.8608, -0.0000, -0.0000, -0.0000, -0.0000, 5.6790, 0.1819, -0.0000, -0.0000
13-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.43750, 110.15393,-73.7,-73.7, 3.3345, 3.3345, 5.8585, -0.0000, -0.0000, -0.0000, -0.0000, 5.6820, 0.1765, -0.0000, -0.0000
14-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.40625, 110.12698,-74.9,-74.9, 3.3386, 3.3386, 5.8582, -0.0000, -0.0000, -0.0000, -0.0000, 5.6871, 0.1711, -0.0000, -0.0000
15-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.39063, 110.11519,-74.9,-74.9, 3.3405, 3.3405, 5.8581, -0.0000, -0.0000, -0.0000, -0.0000, 5.6923, 0.1657, -0.0000, -0.0000
16-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 111.34375, 111.04551,-75.8,-75.8, 3.1970, 3.1970, 5.8668, -0.0000, -0.0000, -0.0000, -0.0000, 5.7061, 0.1606, -0.0000, -0.0000
19-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 111.32812, 111.04155,-76.5,-76.6, 3.1976, 3.1976, 5.8667, -0.0000, -0.0000, -0.0000, -0.0000, 5.7221, 0.1446, -0.0000, -0.0000
20-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.57812, 110.31484,-75.5,-75.5, 3.3095, 3.3095, 5.8599, -0.0000, -0.0000, -0.0000, -0.0000, 5.7209, 0.1391, -0.0000, -0.0000
21-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.34375, 110.08997,-74.6,-74.6, 3.3444, 3.3444, 5.8578, -0.0000, -0.0000, -0.0000, -0.0000, 5.7242, 0.1337, -0.0000, -0.0000
22-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.50000, 110.24566,-75.0,-75.0, 3.3203, 3.3203, 5.8593, -0.0000, -0.0000, -0.0000, -0.0000, 5.7309, 0.1283, -0.0000, -0.0000
23-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.73438, 110.47762,-77.3,-77.3, 3.2844, 3.2844, 5.8615, -0.0000, -0.0000, -0.0000, -0.0000, 5.7384, 0.1230, -0.0000, -0.0000
26-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.48438, 110.24423,-79.3,-79.3, 3.3205, 3.3205, 5.8593, -0.0000, -0.0000, -0.0000, -0.0000, 5.7523, 0.1070, -0.0000, -0.0000
27-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 109.65625, 109.43898,-78.8,-78.8, 3.4456, 3.4456, 5.8517, -0.0000, -0.0000, -0.0000, -0.0000, 5.7502, 0.1015, -0.0000, -0.0000
28-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 109.82813, 109.61006,-78.0,-78.0, 3.4189, 3.4189, 5.8533, -0.0000, -0.0000, -0.0000, -0.0000, 5.7571, 0.0962, -0.0000, -0.0000
29-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 109.96875, 109.75072,-79.1,-79.1, 3.3970, 3.3970, 5.8546, -0.0000, -0.0000, -0.0000, -0.0000, 5.7638, 0.0908, -0.0000, -0.0000
30-JUL-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.71875, 110.48717,-80.7,-80.7, 3.2829, 3.2829, 5.8615, -0.0000, -0.0000, -0.0000, -0.0000, 5.7759, 0.0856, -0.0000, -0.0000
02-AUG-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 110.87500, 110.65071,-80.3,-80.3, 3.2577, 3.2577, 5.8630, -0.0000, -0.0000, -0.0000, -0.0000, 5.7935, 0.0696, -0.0000, -0.0000
03-AUG-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 111.07812, 110.85326,-81.2,-81.2, 3.2265, 3.2265, 5.8649, -0.0000, -0.0000, -0.0000, -0.0000, 5.8007, 0.0642, -0.0000, -0.0000
04-AUG-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 111.01562, 110.79564,-79.6,-79.6, 3.2354, 3.2354, 5.8644, -0.0000, -0.0000, -0.0000, -0.0000, 5.8055, 0.0589, -0.0000, -0.0000
05-AUG-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 111.23438, 111.01367,-80.7,-80.7, 3.2019, 3.2019, 5.8664, -0.0000, -0.0000, -0.0000, -0.0000, 5.8128, 0.0535, -0.0000, -0.0000
06-AUG-2004,30-SEP-2004,UST  5.00 15-AUG-2011, 112.71875, 112.47172,-82.6,-82.6, 2.9798, 2.9798, 5.8798, -0.0000, -0.0000, -0.0000, -0.0000, 5.8315, 0.0483, -0.0000, -0.0000
