SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
09-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 108.59200, 108.52768, 6.5, 6.5, 5.0000, 5.0000, 13.3253, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.5665, 4.7588
10-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 108.78500, 108.71964, 6.3, 6.3, 4.9868, 4.9868, 13.3347, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.5762, 4.7585
11-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 108.59600, 108.53243, 6.3, 6.3, 4.9997, 4.9997, 13.3255, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.5739, 4.7516
14-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 108.81800, 108.75399, 5.9, 5.9, 4.9844, 4.9844, 13.3364, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.5919, 4.7445
15-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 110.01900, 109.94681, 6.1, 6.1, 4.9029, 4.9029, 13.3944, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6329, 4.7615
16-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.37800, 109.31083, 6.0, 6.0, 4.9462, 4.9462, 13.3636, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6167, 4.7469
17-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.37900, 109.31225, 5.9, 5.9, 4.9461, 4.9461, 13.3636, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6204, 4.7432
18-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.71900, 109.65040, 6.1, 6.1, 4.9230, 4.9230, 13.3800, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6346, 4.7454
21-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.88900, 109.82052, 6.1, 6.1, 4.9114, 4.9114, 13.3883, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6509, 4.7373
22-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.47300, 109.40774, 6.0, 6.0, 4.9396, 4.9396, 13.3683, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6417, 4.7266
23-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.38700, 109.32272, 6.0, 6.0, 4.9454, 4.9454, 13.3641, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6427, 4.7215
24-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 110.04700, 109.97882, 6.3, 6.3, 4.9007, 4.9007, 13.3959, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6669, 4.7290
25-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.80200, 109.73587, 6.2, 6.2, 4.9172, 4.9172, 13.3842, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6630, 4.7212
28-JUN-2004,30-SEP-2004,DBR  5.62 04-JAN-2028, 109.25100, 109.18962, 6.1, 6.1, 4.9545, 4.9545, 13.3576, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 8.6568, 4.7009
