SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
22-JUN-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 105.09375, 105.05434, 77.3, 77.3, 5.8050, 5.8050, 11.1994, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9571, 10.2423, -0.0000
24-JUN-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 105.96875, 105.92276, 77.1, 77.1, 5.7317, 5.7317, 11.2343, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9662, 10.2681, -0.0000
25-JUN-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 105.96875, 105.92313, 77.1, 77.1, 5.7316, 5.7316, 11.2343, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9693, 10.2650, -0.0000
29-JUN-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 105.43750, 105.39747, 78.1, 78.1, 5.7759, 5.7759, 11.2132, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9798, 10.2335, -0.0000
30-JUN-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 106.37500, 106.32803, 79.5, 79.5, 5.6977, 5.6977, 11.2505, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9861, 10.2644, -0.0000
01-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 106.81250, 106.76253, 76.9, 76.9, 5.6615, 5.6615, 11.2677, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9907, 10.2770, -0.0000
02-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.03125, 107.97224, 76.3, 76.3, 5.5618, 5.5618, 11.3152, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 0.9980, 10.3172, -0.0000
06-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.81250, 107.75722, 76.6, 76.6, 5.5794, 5.5794, 11.3068, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0096, 10.2972, -0.0000
07-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.84375, 107.78874, 76.1, 76.1, 5.5768, 5.5768, 11.3081, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0128, 10.2952, -0.0000
08-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.87500, 107.82026, 76.1, 76.1, 5.5742, 5.5742, 11.3093, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0160, 10.2933, -0.0000
09-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.96875, 107.91383, 76.9, 76.9, 5.5666, 5.5666, 11.3130, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0195, 10.2935, -0.0000
12-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.18750, 108.13256, 76.2, 76.2, 5.5487, 5.5487, 11.3215, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0295, 10.2919, -0.0000
13-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.78125, 107.72961, 77.5, 77.5, 5.5817, 5.5817, 11.3058, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0312, 10.2746, -0.0000
14-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.81250, 107.76113, 76.4, 76.4, 5.5791, 5.5791, 11.3070, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0344, 10.2726, -0.0000
15-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.87500, 107.82369, 76.2, 76.2, 5.5740, 5.5740, 11.3095, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0377, 10.2717, -0.0000
16-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 109.34375, 109.28315, 75.9, 75.9, 5.4555, 5.4555, 11.3659, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0460, 10.3199, -0.0000
20-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.34375, 108.29190, 76.1, 76.1, 5.5357, 5.5357, 11.3277, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0549, 10.2728, -0.0000
21-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 107.96875, 107.91972, 76.8, 76.8, 5.5661, 5.5661, 11.3132, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0567, 10.2566, -0.0000
22-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.21875, 108.16868, 76.5, 76.5, 5.5458, 5.5458, 11.3229, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0607, 10.2622, -0.0000
23-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.62500, 108.57298, 74.9, 74.9, 5.5128, 5.5128, 11.3386, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0653, 10.2733, -0.0000
26-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.18750, 108.13957, 73.5, 73.5, 5.5481, 5.5481, 11.3218, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0730, 10.2488, -0.0000
27-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 106.71875, 106.67947, 73.7, 73.7, 5.6684, 5.6684, 11.2645, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0706, 10.1939, -0.0000
28-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 106.81250, 106.77306, 74.8, 74.8, 5.6606, 5.6606, 11.2682, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0741, 10.1942, -0.0000
29-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 106.96875, 106.92884, 74.7, 74.7, 5.6477, 5.6477, 11.2744, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0777, 10.1967, -0.0000
30-JUL-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.21875, 108.17257, 74.4, 74.4, 5.5454, 5.5454, 11.3231, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0855, 10.2376, -0.0000
02-AUG-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.37500, 108.32944, 75.0, 75.0, 5.5326, 5.5326, 11.3292, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.0954, 10.2338, -0.0000
03-AUG-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.78125, 108.73413, 74.0, 74.0, 5.4998, 5.4998, 11.3449, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.1000, 10.2448, -0.0000
04-AUG-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 108.71875, 108.67246, 75.0, 75.0, 5.5048, 5.5048, 11.3425, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.1029, 10.2396, -0.0000
05-AUG-2004,30-SEP-2004,UST  6.25 15-AUG-2023, 109.00000, 108.95285, 74.2, 74.2, 5.4821, 5.4821, 11.3533, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.1071, 10.2462, -0.0000
23-JUN-2004,30-SEP-2004,UST  6.50 15-NOV-2026, 105.25000, 105.21867, 94.6, 94.6, 6.0676, 6.0676, 11.9159, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 9.0599, 2.8560
28-JUN-2004,30-SEP-2004,UST  6.00 15-FEB-2026, 104.87500, 104.84504, 48.1, 48.1, 5.6075, 5.6075, 12.1871, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 10.1939, 1.9932
19-JUL-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 109.34375, 109.28656, 159.0, 159.0, 6.2660, 6.2660, 10.5371, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.5006, 9.0365, -0.0000
09-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 110.68750, 110.63469, 155.2, 155.2, 6.1500, 6.1500, 10.5890, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.5689, 9.0201, -0.0000
10-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 110.37500, 110.32412, 155.6, 155.6, 6.1765, 6.1765, 10.5772, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.5700, 9.0071, -0.0000
13-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 111.34375, 111.29054, 153.1, 153.1, 6.0943, 6.0943, 10.6139, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.5842, 9.0297, -0.0000
16-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 110.75000, 110.70151, 154.8, 154.8, 6.1443, 6.1443, 10.5916, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.5896, 9.0020, -0.0000
19-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 111.18750, 111.14085, 154.9, 154.9, 6.1070, 6.1070, 10.6083, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.6008, 9.0075, -0.0000
23-AUG-2004,30-SEP-2004,UST  7.13 15-FEB-2023, 110.50000, 110.46023, 154.7, 154.7, 6.1649, 6.1649, 10.5824, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 1.6085, 8.9739, -0.0000
