SpotDate,ExpiryDate,CTDName,SpotCTDCleanPrice,ExpiryCTDCleanPrice,SpotGSpread,ExpiryGSpread,SpotYield,ExpiryYield,Parallel,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y
11-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 119.68750, 119.58401,-427.3,-427.3, 3.3609, 3.3609, 16.1994, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.3263, 9.8731
13-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 120.15625, 120.05245,-426.9,-426.9, 3.3368, 3.3368, 16.2207, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.3435, 9.8772
14-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 121.75000, 121.63812,-433.4,-433.4, 3.2561, 3.2561, 16.2917, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.3757, 9.9160
15-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 122.71875, 122.60256,-448.4,-448.4, 3.2077, 3.2077, 16.3343, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.3969, 9.9374
19-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 122.28125, 122.17328,-454.1,-454.1, 3.2292, 3.2292, 16.3154, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4073, 9.9081
20-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.37500, 123.26241,-463.6,-463.6, 3.1749, 3.1749, 16.3631, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4306, 9.9326
21-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 124.15625, 124.04086,-468.4,-468.4, 3.1365, 3.1365, 16.3969, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4483, 9.9486
22-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 124.12500, 124.01133,-465.2,-465.2, 3.1379, 3.1379, 16.3956, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4523, 9.9433
26-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.12500, 123.02262,-461.4,-461.4, 3.1868, 3.1868, 16.3527, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4533, 9.8994
27-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.43750, 123.33504,-460.0,-460.0, 3.1713, 3.1713, 16.3663, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4632, 9.9031
28-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.18750, 123.08776,-455.6,-455.6, 3.1835, 3.1835, 16.3555, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4634, 9.8922
29-JAN-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 124.37500, 124.27096,-459.4,-459.4, 3.1252, 3.1252, 16.4068, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4881, 9.9187
01-FEB-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.34375, 123.24918,-457.7,-457.7, 3.1755, 3.1755, 16.3626, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4841, 9.8785
02-FEB-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.68750, 123.59286,-461.4,-461.4, 3.1585, 3.1585, 16.3775, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4945, 9.8830
03-FEB-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 122.15625, 122.06988,-454.3,-454.3, 3.2344, 3.2344, 16.3109, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.4725, 9.8383
04-FEB-2010,31-MAR-2010,UST  4.50 15-FEB-2036, 123.87500, 123.78256,-460.0,-460.0, 3.1492, 3.1492, 16.3858, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, 6.5067, 9.8790
