CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
22-JUN-2004,0.9494,1.01999,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
23-JUN-2004,0.9494,1.0228,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
24-JUN-2004,0.9494,1.02667,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
25-JUN-2004,0.9494,1.0267300000000001,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
28-JUN-2004,0.9494,1.02178,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
29-JUN-2004,0.9494,1.0234999999999999,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
30-JUN-2004,0.9494,1.0295699999999999,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
02-JUL-2004,0.9494,1.03782,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
05-JUL-2004,0.9494,1.0368300000000001,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
06-JUL-2004,0.9494,1.03571,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
07-JUL-2004,0.9494,1.0355500000000002,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
08-JUL-2004,0.9494,1.0374700000000001,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
09-JUL-2004,0.9494,1.038,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
12-JUL-2004,0.9494,1.0376,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
13-JUL-2004,0.9494,1.03553,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
14-JUL-2004,0.9494,1.03411,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
15-JUL-2004,0.9494,1.03392,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
16-JUL-2004,0.9494,1.04063,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
19-JUL-2004,0.9494,1.04073,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
20-JUL-2004,0.9494,1.03679,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
21-JUL-2004,0.9494,1.0342,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
22-JUL-2004,0.9494,1.03562,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
23-JUL-2004,0.9494,1.03763,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
26-JUL-2004,0.9494,1.03609,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
27-JUL-2004,0.9494,1.02933,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
28-JUL-2004,0.9494,1.0304,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
29-JUL-2004,0.9494,1.03092,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
30-JUL-2004,0.9494,1.0353100000000002,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
03-AUG-2004,0.9494,1.04009,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
04-AUG-2004,0.9494,1.04017,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
05-AUG-2004,0.9494,1.04065,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
06-AUG-2004,0.9494,1.05193,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
09-AUG-2004,0.9494,1.0475100000000002,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
10-AUG-2004,0.9494,1.0436100000000001,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
11-AUG-2004,0.9494,1.04662,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
12-AUG-2004,0.9494,1.04801,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
13-AUG-2004,0.9494,1.04831,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
16-AUG-2004,0.9494,1.04492,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
17-AUG-2004,0.9494,1.04786,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
18-AUG-2004,0.9494,1.0452299999999999,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
19-AUG-2004,0.9494,1.04821,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
20-AUG-2004,0.9494,1.04864,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
23-AUG-2004,0.9494,1.04546,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
24-AUG-2004,0.9494,1.04302,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
25-AUG-2004,0.9494,1.04471,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
26-AUG-2004,0.9494,1.0465,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
27-AUG-2004,0.9494,1.04708,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
30-AUG-2004,0.9494,1.04905,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
31-AUG-2004,0.9494,1.05128,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
01-SEP-2004,0.9494,1.05137,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
02-SEP-2004,0.9494,1.04878,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
03-SEP-2004,0.9494,1.04346,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
07-SEP-2004,0.9494,1.04306,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
08-SEP-2004,0.9494,1.04566,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
09-SEP-2004,0.9494,1.04517,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
10-SEP-2004,0.9494,1.04863,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
13-SEP-2004,0.9494,1.04968,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
14-SEP-2004,0.9494,1.04961,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
15-SEP-2004,0.9494,1.04881,0.0525,04-NOV-2002,01-JUN-2013,30-SEP-2004
