CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
09-JUN-2004,0.973241,1.03568,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
10-JUN-2004,0.973241,1.03474,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
11-JUN-2004,0.973241,1.03353,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
14-JUN-2004,0.973241,1.03316,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
15-JUN-2004,0.973241,1.03484,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
16-JUN-2004,0.973241,1.034,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
17-JUN-2004,0.973241,1.03339,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
18-JUN-2004,0.973241,1.0344799999999998,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
21-JUN-2004,0.973241,1.0345600000000001,0.045,14-FEB-2001,18-AUG-2006,30-SEP-2004
22-JUN-2004,0.946398,0.9993200000000001,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
23-JUN-2004,0.946398,0.99966,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
24-JUN-2004,0.946398,1.00105,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
25-JUN-2004,0.946398,1.00083,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
28-JUN-2004,0.946398,0.9998600000000001,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
29-JUN-2004,0.946398,0.9997400000000001,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
30-JUN-2004,0.946398,1.00075,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
01-JUL-2004,0.946398,1.00108,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
02-JUL-2004,0.946398,1.00235,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
05-JUL-2004,0.946398,1.00245,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
06-JUL-2004,0.946398,1.00232,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
07-JUL-2004,0.946398,1.00298,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
08-JUL-2004,0.946398,1.00296,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
09-JUL-2004,0.946398,1.00288,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
12-JUL-2004,0.946398,1.00306,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
13-JUL-2004,0.946398,1.00204,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
14-JUL-2004,0.946398,1.00221,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
15-JUL-2004,0.946398,1.00213,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
16-JUL-2004,0.946398,1.00352,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
19-JUL-2004,0.946398,1.00356,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
20-JUL-2004,0.946398,1.0033400000000001,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
21-JUL-2004,0.946398,1.00167,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
22-JUL-2004,0.946398,1.00223,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
23-JUL-2004,0.946398,1.0019,0.0275,23-JUN-2004,23-JUN-2006,30-SEP-2004
