CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
14-SEP-2009,0.87818,1.1491,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
15-SEP-2009,0.87818,1.1481999999999999,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
16-SEP-2009,0.87818,1.1478,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
17-SEP-2009,0.87818,1.1462999999999999,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
18-SEP-2009,0.87818,1.1472,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
21-SEP-2009,0.87818,1.1449,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
22-SEP-2009,0.87818,1.1441,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2009
30-AUG-2010,0.885352,1.1845,0.0425,01-MAR-2009,01-SEP-2019,30-SEP-2010
04-OCT-2010,0.887748,1.1725,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
05-OCT-2010,0.887748,1.1744,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
07-OCT-2010,0.887748,1.1771,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
11-OCT-2010,0.887748,1.1828,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
12-OCT-2010,0.887748,1.1832,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
13-OCT-2010,0.887748,1.1806,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
15-OCT-2010,0.887748,1.1815,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
20-OCT-2010,0.887748,1.1773,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
21-OCT-2010,0.887748,1.173,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
22-OCT-2010,0.887748,1.1740000000000002,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
25-OCT-2010,0.887748,1.1784999999999999,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
26-OCT-2010,0.887748,1.1758,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
27-OCT-2010,0.887748,1.1659000000000002,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
28-OCT-2010,0.887748,1.1664,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
29-OCT-2010,0.887748,1.1658,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
01-NOV-2010,0.887748,1.1666,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
02-NOV-2010,0.887748,1.1643000000000001,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
03-NOV-2010,0.887748,1.1653,0.0425,01-MAR-2009,01-SEP-2019,31-DEC-2010
