CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
11-JUN-2004,0.74019,1.389,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
14-JUN-2004,0.74019,1.47,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
15-JUN-2004,0.74019,1.4140000000000001,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
16-JUN-2004,0.74019,1.4809999999999999,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
17-JUN-2004,0.74019,1.53,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
18-JUN-2004,0.74019,1.499,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
21-JUN-2004,0.74019,1.475,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
22-JUN-2004,0.74019,1.4809999999999999,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
23-JUN-2004,0.74019,1.494,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
24-JUN-2004,0.74019,1.5050000000000001,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
25-JUN-2004,0.74019,1.4240000000000002,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
28-JUN-2004,0.74019,1.435,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
29-JUN-2004,0.74019,1.409,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
30-JUN-2004,0.74019,1.35,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
01-JUL-2004,0.74019,1.42,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
02-JUL-2004,0.74019,1.33,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
05-JUL-2004,0.74019,1.334,0.013999999999999999,20-SEP-2001,20-SEP-2011,30-SEP-2004
