CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
16-APR-2012,0.848512,1.06858,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
17-APR-2012,0.848512,1.06843,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
18-APR-2012,0.848512,1.0687300000000002,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
19-APR-2012,0.848512,1.06163,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
20-APR-2012,0.848512,1.06138,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
23-APR-2012,0.848512,1.06118,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
24-APR-2012,0.848512,1.0662,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
25-APR-2012,0.848512,1.0694,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
26-APR-2012,0.848512,1.07175,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
27-APR-2012,0.848512,1.07073,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
30-APR-2012,0.848512,1.0740800000000001,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
02-MAY-2012,0.848512,1.07428,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
03-MAY-2012,0.848512,1.07935,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
04-MAY-2012,0.848512,1.0856999999999999,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
07-MAY-2012,0.848512,1.08765,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
08-MAY-2012,0.848512,1.08675,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
09-MAY-2012,0.848512,1.0821500000000002,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
10-MAY-2012,0.848512,1.0856000000000001,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
11-MAY-2012,0.848512,1.08653,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
14-MAY-2012,0.848512,1.08352,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
15-MAY-2012,0.848512,1.0780500000000002,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
16-MAY-2012,0.848512,1.07928,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
17-MAY-2012,0.848512,1.08078,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
18-MAY-2012,0.848512,1.08255,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
21-MAY-2012,0.848512,1.0828,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
22-MAY-2012,0.848512,1.0881,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
23-MAY-2012,0.848512,1.0917000000000001,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
24-MAY-2012,0.848512,1.1086799999999999,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
25-MAY-2012,0.848512,1.1107,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
28-MAY-2012,0.848512,1.10943,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
29-MAY-2012,0.848512,1.11098,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
30-MAY-2012,0.848512,1.11425,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
31-MAY-2012,0.848512,1.12565,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
01-JUN-2012,0.848512,1.13508,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
04-JUN-2012,0.848512,1.13215,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
05-JUN-2012,0.848512,1.12923,0.0375,25-APR-2005,25-APR-2021,30-JUN-2012
08-JUN-2012,0.85165,1.1122,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
11-JUN-2012,0.85165,1.10845,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
12-JUN-2012,0.85165,1.0949,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
13-JUN-2012,0.85165,1.09463,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
14-JUN-2012,0.85165,1.09935,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
15-JUN-2012,0.85165,1.1066,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
18-JUN-2012,0.85165,1.1043,0.0375,25-APR-2005,25-APR-2021,30-SEP-2012
