CloseDate,ConversionFactor,CTDPrice,CTDCoupon,CTDEffective,CTDMaturity,FuturesExpiry
09-JUN-2004,0.84922,0.9577,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
10-JUN-2004,0.84922,0.95707,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
11-JUN-2004,0.84922,0.95533,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
14-JUN-2004,0.84922,0.9555800000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
15-JUN-2004,0.84922,0.9609800000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
16-JUN-2004,0.84922,0.95916,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
17-JUN-2004,0.84922,0.95832,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
18-JUN-2004,0.84922,0.9608,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
21-JUN-2004,0.84922,0.96172,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
22-JUN-2004,0.84922,0.96026,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
23-JUN-2004,0.84922,0.96029,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
24-JUN-2004,0.84922,0.9650400000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
25-JUN-2004,0.84922,0.96325,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
28-JUN-2004,0.84922,0.96006,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
29-JUN-2004,0.84922,0.95999,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
30-JUN-2004,0.84922,0.96387,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
01-JUL-2004,0.84922,0.9637000000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
02-JUL-2004,0.84922,0.96804,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
05-JUL-2004,0.84922,0.96806,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
06-JUL-2004,0.84922,0.96809,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
07-JUL-2004,0.84922,0.9698300000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
08-JUL-2004,0.84922,0.9702700000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
09-JUL-2004,0.84922,0.97023,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
12-JUL-2004,0.84922,0.97131,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
13-JUL-2004,0.84922,0.9679300000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
14-JUL-2004,0.84922,0.96865,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
15-JUL-2004,0.84922,0.9686199999999999,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
16-JUL-2004,0.84922,0.97313,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
19-JUL-2004,0.84922,0.97321,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
20-JUL-2004,0.84922,0.97197,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
21-JUL-2004,0.84922,0.96698,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
22-JUL-2004,0.84922,0.96923,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
23-JUL-2004,0.84922,0.96949,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
26-JUL-2004,0.84922,0.96774,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
27-JUL-2004,0.84922,0.96627,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
28-JUL-2004,0.84922,0.96565,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
29-JUL-2004,0.84922,0.9672700000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
30-JUL-2004,0.84922,0.97154,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
02-AUG-2004,0.84922,0.9727800000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
03-AUG-2004,0.84922,0.97355,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
04-AUG-2004,0.84922,0.97466,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
05-AUG-2004,0.84922,0.97663,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
06-AUG-2004,0.84922,0.98238,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
09-AUG-2004,0.84922,0.98207,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
10-AUG-2004,0.84922,0.98306,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
11-AUG-2004,0.84922,0.98112,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
12-AUG-2004,0.84922,0.98257,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
13-AUG-2004,0.84922,0.9842700000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
16-AUG-2004,0.84922,0.98126,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
17-AUG-2004,0.84922,0.98283,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
18-AUG-2004,0.84922,0.98169,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
19-AUG-2004,0.84922,0.98234,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
20-AUG-2004,0.84922,0.9831399999999999,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
23-AUG-2004,0.84922,0.97929,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
24-AUG-2004,0.84922,0.97953,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
25-AUG-2004,0.84922,0.98217,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
26-AUG-2004,0.84922,0.98294,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
27-AUG-2004,0.84922,0.9826900000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
30-AUG-2004,0.84922,0.98318,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
31-AUG-2004,0.84922,0.98631,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
01-SEP-2004,0.84922,0.9849100000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
02-SEP-2004,0.84922,0.98268,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
03-SEP-2004,0.84922,0.9770399999999999,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
06-SEP-2004,0.84922,0.9779000000000001,0.0375,04-JUL-2003,04-JUL-2013,30-SEP-2004
09-SEP-2004,0.8524,0.9818800000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
10-SEP-2004,0.8524,0.98341,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
13-SEP-2004,0.8524,0.98253,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
14-SEP-2004,0.8524,0.98347,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
15-SEP-2004,0.8524,0.98306,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
16-SEP-2004,0.8524,0.98382,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
17-SEP-2004,0.8524,0.98588,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
20-SEP-2004,0.8524,0.98699,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
21-SEP-2004,0.8524,0.98651,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
22-SEP-2004,0.8524,0.9894799999999999,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
23-SEP-2004,0.8524,0.9915900000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
24-SEP-2004,0.8524,0.9899800000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
27-SEP-2004,0.8524,0.99201,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
28-SEP-2004,0.8524,0.99143,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
29-SEP-2004,0.8524,0.98856,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
30-SEP-2004,0.8524,0.98851,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
01-OCT-2004,0.8524,0.9863200000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
04-OCT-2004,0.8524,0.9855,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
05-OCT-2004,0.8524,0.98818,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
06-OCT-2004,0.8524,0.98845,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
07-OCT-2004,0.8524,0.9867900000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
08-OCT-2004,0.8524,0.99197,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
11-OCT-2004,0.8524,0.9913,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
12-OCT-2004,0.8524,0.99452,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
13-OCT-2004,0.8524,0.99442,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
14-OCT-2004,0.8524,0.9962900000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
15-OCT-2004,0.8524,0.9953700000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
18-OCT-2004,0.8524,0.99622,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
19-OCT-2004,0.8524,0.9945900000000001,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
20-OCT-2004,0.8524,0.99811,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
21-OCT-2004,0.8524,0.99791,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
22-OCT-2004,0.8524,0.99831,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
25-OCT-2004,0.8524,1.00094,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
26-OCT-2004,0.8524,1.0007599999999999,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
27-OCT-2004,0.8524,0.99957,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
28-OCT-2004,0.8524,0.99642,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
29-OCT-2004,0.8524,0.9976,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
01-NOV-2004,0.8524,0.99791,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
02-NOV-2004,0.8524,0.99529,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
03-NOV-2004,0.8524,0.99612,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
04-NOV-2004,0.8524,0.9999,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
05-NOV-2004,0.8524,0.99544,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
08-NOV-2004,0.8524,0.99583,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
09-NOV-2004,0.8524,0.9984999999999999,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
10-NOV-2004,0.8524,0.99811,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
11-NOV-2004,0.8524,1.00187,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
12-NOV-2004,0.8524,1.00451,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
15-NOV-2004,0.8524,1.00484,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
16-NOV-2004,0.8524,1.00664,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
17-NOV-2004,0.8524,1.0055200000000002,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
18-NOV-2004,0.8524,1.00217,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
19-NOV-2004,0.8524,1.00399,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
22-NOV-2004,0.8524,1.00586,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
23-NOV-2004,0.8524,1.00712,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
24-NOV-2004,0.8524,1.00728,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
25-NOV-2004,0.8524,1.00922,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
26-NOV-2004,0.8524,1.00923,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
29-NOV-2004,0.8524,1.006,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
30-NOV-2004,0.8524,1.00761,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
01-DEC-2004,0.8524,1.00878,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
02-DEC-2004,0.8524,1.00489,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
03-DEC-2004,0.8524,1.01033,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
06-DEC-2004,0.8524,1.01345,0.0375,04-JUL-2003,04-JUL-2013,31-DEC-2004
09-DEC-2004,0.882591,1.05585,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
10-DEC-2004,0.882591,1.05663,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
13-DEC-2004,0.882591,1.05776,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
14-DEC-2004,0.882591,1.0577800000000002,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
15-DEC-2004,0.882591,1.06227,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
16-DEC-2004,0.882591,1.0593000000000001,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
17-DEC-2004,0.882591,1.0555800000000002,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
20-DEC-2004,0.882591,1.05737,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
21-DEC-2004,0.882591,1.05496,0.0425,31-OCT-2003,04-JAN-2014,31-MAR-2005
