CloseDate,ConversionFactor,CTDPrice,CTDBond,CTDEffective,CTDMaturity,FuturesExpiry
01-JUL-2004,0.9467,1.054375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
02-JUL-2004,0.9467,1.05625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
06-JUL-2004,0.9467,1.056171875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
07-JUL-2004,0.9467,1.05640625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
08-JUL-2004,0.9467,1.056796875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
09-JUL-2004,0.9467,1.05703125,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
12-JUL-2004,0.9467,1.057109375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
13-JUL-2004,0.9467,1.05640625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
14-JUL-2004,0.9467,1.055859375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
15-JUL-2004,0.9467,1.055625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
16-JUL-2004,0.9467,1.0577343750000001,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
19-JUL-2004,0.9467,1.057421875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
20-JUL-2004,0.9467,1.0553125,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
21-JUL-2004,0.9467,1.054375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
22-JUL-2004,0.9467,1.054765625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
23-JUL-2004,0.9467,1.055078125,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
26-JUL-2004,0.9467,1.054296875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
27-JUL-2004,0.9467,1.0528125,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
28-JUL-2004,0.9467,1.05359375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
29-JUL-2004,0.9467,1.054296875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
30-JUL-2004,0.9467,1.055625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
02-AUG-2004,0.9467,1.05625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
03-AUG-2004,0.9467,1.056484375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
04-AUG-2004,0.9467,1.056484375,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
05-AUG-2004,0.9467,1.056796875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
06-AUG-2004,0.9467,1.061953125,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
09-AUG-2004,0.9467,1.061171875,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
10-AUG-2004,0.9467,1.059140625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
11-AUG-2004,0.9467,1.059765625,0.0275,30-JUN-2004,30-JUN-2006,30-SEP-2004
