CloseDate,ConversionFactor,CTDPrice,CTDBond,CTDEffective,CTDMaturity,FuturesExpiry
22-JUN-2004,0.9451,1.08453125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
23-JUN-2004,0.9451,1.08546875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
24-JUN-2004,0.9451,1.0896875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
25-JUN-2004,0.9451,1.08984375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
28-JUN-2004,0.9451,1.08265625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
29-JUN-2004,0.9451,1.08609375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
30-JUN-2004,0.9451,1.09328125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
01-JUL-2004,0.9451,1.09671875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
02-JUL-2004,0.9451,1.105,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
06-JUL-2004,0.9451,1.10390625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
07-JUL-2004,0.9451,1.10421875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
08-JUL-2004,0.9451,1.1048437500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
09-JUL-2004,0.9451,1.10578125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
12-JUL-2004,0.9451,1.1070312500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
13-JUL-2004,0.9451,1.104375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
14-JUL-2004,0.9451,1.1040625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
15-JUL-2004,0.9451,1.10390625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
16-JUL-2004,0.9451,1.1134375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
19-JUL-2004,0.9451,1.11328125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
20-JUL-2004,0.9451,1.10578125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
21-JUL-2004,0.9451,1.1034375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
22-JUL-2004,0.9451,1.105,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
23-JUL-2004,0.9451,1.10734375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
26-JUL-2004,0.9451,1.1048437500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
27-JUL-2004,0.9451,1.0965625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
28-JUL-2004,0.9451,1.09828125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
29-JUL-2004,0.9451,1.0996875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
30-JUL-2004,0.9451,1.1071875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
02-AUG-2004,0.9451,1.1087500000000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
03-AUG-2004,0.9451,1.11078125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
04-AUG-2004,0.9451,1.11015625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
05-AUG-2004,0.9451,1.11234375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
06-AUG-2004,0.9451,1.1271875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
09-AUG-2004,0.9451,1.12484375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
10-AUG-2004,0.9451,1.12125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
11-AUG-2004,0.9451,1.1225,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
12-AUG-2004,0.9451,1.1243750000000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
13-AUG-2004,0.9451,1.1278125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
16-AUG-2004,0.9451,1.1253125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
17-AUG-2004,0.9451,1.129375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
18-AUG-2004,0.9451,1.1275,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
19-AUG-2004,0.9451,1.12890625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
20-AUG-2004,0.9451,1.1271875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
23-AUG-2004,0.9451,1.12390625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
24-AUG-2004,0.9451,1.12421875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
25-AUG-2004,0.9451,1.1253125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
26-AUG-2004,0.9451,1.12796875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
27-AUG-2004,0.9451,1.12796875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
30-AUG-2004,0.9451,1.1309375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
31-AUG-2004,0.9451,1.1346875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
01-SEP-2004,0.9451,1.1360937500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
02-SEP-2004,0.9451,1.13171875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
03-SEP-2004,0.9451,1.1246875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
07-SEP-2004,0.9451,1.1275,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
08-SEP-2004,0.9451,1.13421875,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
09-SEP-2004,0.9451,1.1325,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
10-SEP-2004,0.9451,1.1340625,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
13-SEP-2004,0.9451,1.1360937500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
14-SEP-2004,0.9451,1.1378125000000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
15-SEP-2004,0.9451,1.135,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
16-SEP-2004,0.9451,1.14203125,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
17-SEP-2004,0.9451,1.1382812500000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
20-SEP-2004,0.9451,1.1434375,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
21-SEP-2004,0.9451,1.1421875000000001,0.05,15-AUG-2001,15-AUG-2011,30-SEP-2004
22-SEP-2004,0.9468,1.1359375,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
23-SEP-2004,0.9468,1.13234375,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
24-SEP-2004,0.9468,1.13203125,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
27-SEP-2004,0.9468,1.1343750000000001,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
28-SEP-2004,0.9468,1.13375,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
29-SEP-2004,0.9468,1.1278125,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
30-SEP-2004,0.9468,1.12625,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
01-OCT-2004,0.9468,1.1215625,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
04-OCT-2004,0.9468,1.1226562500000001,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
05-OCT-2004,0.9468,1.12328125,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
06-OCT-2004,0.9468,1.119375,0.05,15-AUG-2001,15-AUG-2011,31-DEC-2004
