CloseDate,ConversionFactor,CTDPrice,CTDBond,CTDEffective,CTDMaturity,FuturesExpiry
22-JUN-2004,1.0278,1.0509375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
24-JUN-2004,1.0278,1.0596875000000001,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
25-JUN-2004,1.0278,1.0596875000000001,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
29-JUN-2004,1.0278,1.054375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
30-JUN-2004,1.0278,1.06375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
01-JUL-2004,1.0278,1.068125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
02-JUL-2004,1.0278,1.0803125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
06-JUL-2004,1.0278,1.078125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
07-JUL-2004,1.0278,1.0784375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
08-JUL-2004,1.0278,1.07875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
09-JUL-2004,1.0278,1.0796875000000001,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
12-JUL-2004,1.0278,1.081875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
13-JUL-2004,1.0278,1.0778125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
14-JUL-2004,1.0278,1.078125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
15-JUL-2004,1.0278,1.07875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
16-JUL-2004,1.0278,1.0934375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
20-JUL-2004,1.0278,1.0834375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
21-JUL-2004,1.0278,1.0796875000000001,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
22-JUL-2004,1.0278,1.0821875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
23-JUL-2004,1.0278,1.08625,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
26-JUL-2004,1.0278,1.081875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
27-JUL-2004,1.0278,1.0671875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
28-JUL-2004,1.0278,1.068125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
29-JUL-2004,1.0278,1.0696875000000001,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
30-JUL-2004,1.0278,1.0821875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
02-AUG-2004,1.0278,1.08375,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
03-AUG-2004,1.0278,1.0878125,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
04-AUG-2004,1.0278,1.0871875,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
05-AUG-2004,1.0278,1.09,0.0625,15-AUG-1993,15-AUG-2023,30-SEP-2004
23-JUN-2004,1.0606,1.0525,0.065,15-NOV-1996,15-NOV-2026,30-SEP-2004
28-JUN-2004,0.9999,1.04875,0.06,15-FEB-1996,15-FEB-2026,30-SEP-2004
19-JUL-2004,1.1236,1.0934375,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
09-AUG-2004,1.1236,1.106875,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
10-AUG-2004,1.1236,1.10375,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
13-AUG-2004,1.1236,1.1134375,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
16-AUG-2004,1.1236,1.1075,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
19-AUG-2004,1.1236,1.111875,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
23-AUG-2004,1.1236,1.105,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
24-AUG-2004,1.1236,1.105,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
25-AUG-2004,1.1236,1.108125,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
26-AUG-2004,1.1236,1.1125,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
27-AUG-2004,1.1236,1.1134375,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
16-SEP-2004,1.1236,1.1365625,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
17-SEP-2004,1.1236,1.130625,0.07125000000000001,15-FEB-1993,15-FEB-2023,30-SEP-2004
06-AUG-2004,1.1352,1.1084375,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
11-AUG-2004,1.1352,1.105625,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
12-AUG-2004,1.1352,1.1075,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
18-AUG-2004,1.1352,1.110625,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
20-AUG-2004,1.1352,1.1109375000000001,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
30-AUG-2004,1.1352,1.118125,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
31-AUG-2004,1.1352,1.1253125,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
07-SEP-2004,1.1352,1.1146875,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
10-SEP-2004,1.1352,1.123125,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
14-SEP-2004,1.1352,1.1284375,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
15-SEP-2004,1.1352,1.1240625,0.0725,15-AUG-1992,15-AUG-2022,30-SEP-2004
17-AUG-2004,1.1774,1.113125,0.07625,15-NOV-1992,15-NOV-2022,30-SEP-2004
01-SEP-2004,1.1774,1.12625,0.07625,15-NOV-1992,15-NOV-2022,30-SEP-2004
02-SEP-2004,1.1774,1.1187500000000001,0.07625,15-NOV-1992,15-NOV-2022,30-SEP-2004
03-SEP-2004,1.1774,1.108125,0.07625,15-NOV-1992,15-NOV-2022,30-SEP-2004
13-SEP-2004,1.1774,1.12625,0.07625,15-NOV-1992,15-NOV-2022,30-SEP-2004
08-SEP-2004,1.2113,1.1243750000000001,0.08,15-NOV-1991,15-NOV-2021,30-SEP-2004
09-SEP-2004,1.2113,1.1203125,0.08,15-NOV-1991,15-NOV-2021,30-SEP-2004
20-SEP-2004,1.2224,1.1384375,0.08125,15-AUG-1991,15-AUG-2021,30-SEP-2004
21-SEP-2004,1.2224,1.1375,0.08125,15-AUG-1991,15-AUG-2021,30-SEP-2004
20-DEC-2007,1.0246,1.1656250000000001,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
21-DEC-2007,1.0246,1.1500000000000001,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
24-DEC-2007,1.0246,1.14375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
26-DEC-2007,1.0246,1.1353125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
27-DEC-2007,1.0246,1.144375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
28-DEC-2007,1.0246,1.156875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
31-DEC-2007,1.0246,1.16375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
02-JAN-2008,1.0246,1.1790625000000001,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
03-JAN-2008,1.0246,1.1775,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
04-JAN-2008,1.0246,1.1809375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
07-JAN-2008,1.0246,1.1840625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
08-JAN-2008,1.0246,1.1828125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
09-JAN-2008,1.0246,1.188125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
10-JAN-2008,1.0246,1.174375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
11-JAN-2008,1.0246,1.1825,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
14-JAN-2008,1.0246,1.185,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
15-JAN-2008,1.0246,1.1953125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
16-JAN-2008,1.0246,1.191875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
17-JAN-2008,1.0246,1.2009375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
18-JAN-2008,1.0246,1.1959375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
23-JAN-2008,1.0246,1.214375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
24-JAN-2008,1.0246,1.1896875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
28-JAN-2008,1.0246,1.1996875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
29-JAN-2008,1.0246,1.193125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
30-JAN-2008,1.0246,1.183125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
31-JAN-2008,1.0246,1.193125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
01-FEB-2008,1.0246,1.1978125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
04-FEB-2008,1.0246,1.191875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
05-FEB-2008,1.0246,1.1978125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
06-FEB-2008,1.0246,1.19375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
08-FEB-2008,1.0246,1.1871875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
11-FEB-2008,1.0246,1.1928125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
12-FEB-2008,1.0246,1.185,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
13-FEB-2008,1.0246,1.180625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
14-FEB-2008,1.0246,1.1640625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
15-FEB-2008,1.0246,1.17,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
19-FEB-2008,1.0246,1.160625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
20-FEB-2008,1.0246,1.1590625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
21-FEB-2008,1.0246,1.1725,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
22-FEB-2008,1.0246,1.170625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
25-FEB-2008,1.0246,1.1584375,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
26-FEB-2008,1.0246,1.16,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
27-FEB-2008,1.0246,1.1621875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
29-FEB-2008,1.0246,1.1968750000000001,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
03-MAR-2008,1.0246,1.19671875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
04-MAR-2008,1.0246,1.19,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
06-MAR-2008,1.0246,1.17953125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
11-MAR-2008,1.0246,1.18265625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
12-MAR-2008,1.0246,1.20015625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
13-MAR-2008,1.0246,1.19390625,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
14-MAR-2008,1.0246,1.20703125,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
18-MAR-2008,1.0246,1.2064062500000001,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
19-MAR-2008,1.0246,1.211875,0.0625,15-AUG-1993,15-AUG-2023,31-MAR-2008
22-JAN-2008,1.1701,1.2078125,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
25-JAN-2008,1.1701,1.19875,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
07-FEB-2008,1.1701,1.178125,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
28-FEB-2008,1.1701,1.1771875,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
05-MAR-2008,1.1701,1.17546875,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
07-MAR-2008,1.1701,1.18421875,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
10-MAR-2008,1.1701,1.1985937500000001,0.07625,15-FEB-1995,15-FEB-2025,31-MAR-2008
17-MAR-2008,1.1557,1.21484375,0.075,15-MAY-1994,15-NOV-2024,31-MAR-2008
20-MAR-2008,1.0245,1.20953125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
24-MAR-2008,1.0245,1.18796875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
25-MAR-2008,1.0245,1.190625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
26-MAR-2008,1.0245,1.188125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
27-MAR-2008,1.0245,1.18171875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
28-MAR-2008,1.0245,1.1853125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
31-MAR-2008,1.0245,1.18796875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
01-APR-2008,1.0245,1.17640625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
02-APR-2008,1.0245,1.17453125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
03-APR-2008,1.0245,1.17546875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
04-APR-2008,1.0245,1.19109375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
07-APR-2008,1.0245,1.1834375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
08-APR-2008,1.0245,1.18265625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
09-APR-2008,1.0245,1.19421875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
10-APR-2008,1.0245,1.1903125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
11-APR-2008,1.0245,1.19671875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
14-APR-2008,1.0245,1.1929687500000001,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
15-APR-2008,1.0245,1.18421875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
16-APR-2008,1.0245,1.17,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
17-APR-2008,1.0245,1.166875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
18-APR-2008,1.0245,1.164375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
21-APR-2008,1.0245,1.17078125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
22-APR-2008,1.0245,1.1715625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
24-APR-2008,1.0245,1.16109375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
25-APR-2008,1.0245,1.1559375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
28-APR-2008,1.0245,1.1603125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
29-APR-2008,1.0245,1.16109375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
30-APR-2008,1.0245,1.16890625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
05-MAY-2008,1.0245,1.1612500000000001,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
07-MAY-2008,1.0245,1.1575,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
08-MAY-2008,1.0245,1.16765625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
09-MAY-2008,1.0245,1.1725,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
12-MAY-2008,1.0245,1.1725,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
13-MAY-2008,1.0245,1.1584375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
14-MAY-2008,1.0245,1.155,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
15-MAY-2008,1.0245,1.16421875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
16-MAY-2008,1.0245,1.16453125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
19-MAY-2008,1.0245,1.16609375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
20-MAY-2008,1.0245,1.1729687500000001,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
21-MAY-2008,1.0245,1.1696875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
22-MAY-2008,1.0245,1.158125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
23-MAY-2008,1.0245,1.16859375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
27-MAY-2008,1.0245,1.15640625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
28-MAY-2008,1.0245,1.14765625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
29-MAY-2008,1.0245,1.139375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
30-MAY-2008,1.0245,1.1446875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
02-JUN-2008,1.0245,1.15046875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
03-JUN-2008,1.0245,1.15890625,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
04-JUN-2008,1.0245,1.1525,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
05-JUN-2008,1.0245,1.1425,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
06-JUN-2008,1.0245,1.15109375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
09-JUN-2008,1.0245,1.149375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
10-JUN-2008,1.0245,1.13953125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
11-JUN-2008,1.0245,1.14125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
12-JUN-2008,1.0245,1.129375,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
13-JUN-2008,1.0245,1.12546875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
16-JUN-2008,1.0245,1.12796875,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
17-JUN-2008,1.0245,1.128125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
18-JUN-2008,1.0245,1.13578125,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
19-JUN-2008,1.0245,1.1325,0.0625,15-AUG-1993,15-AUG-2023,30-JUN-2008
23-APR-2008,1.1687,1.16984375,0.07625,15-FEB-1995,15-FEB-2025,30-JUN-2008
01-MAY-2008,1.1687,1.17140625,0.07625,15-FEB-1995,15-FEB-2025,30-JUN-2008
02-MAY-2008,1.1687,1.16234375,0.07625,15-FEB-1995,15-FEB-2025,30-JUN-2008
06-MAY-2008,1.1687,1.15421875,0.07625,15-FEB-1995,15-FEB-2025,30-JUN-2008
31-DEC-2010,1.05,1.22125,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
05-JAN-2011,1.05,1.1946875000000001,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
14-JAN-2011,1.05,1.2090625,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
03-FEB-2011,1.05,1.1909375,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
04-FEB-2011,1.05,1.17875,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
08-FEB-2011,1.05,1.173125,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
09-FEB-2011,1.05,1.183125,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
10-FEB-2011,1.05,1.175,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
11-FEB-2011,1.05,1.1840625,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
14-FEB-2011,1.05,1.189375,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
16-FEB-2011,1.05,1.189375,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
18-FEB-2011,1.05,1.1921875,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
23-FEB-2011,1.05,1.2081250000000001,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
24-FEB-2011,1.05,1.2153125,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
01-MAR-2011,1.05,1.22,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
02-MAR-2011,1.05,1.210625,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
03-MAR-2011,1.05,1.1996875,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
04-MAR-2011,1.05,1.2081250000000001,0.065,15-NOV-1996,15-NOV-2026,31-MAR-2011
22-DEC-2010,1.0741,1.2078125,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
23-DEC-2010,1.0741,1.204375,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
27-DEC-2010,1.0741,1.2125000000000001,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
28-DEC-2010,1.0741,1.1934375,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
29-DEC-2010,1.0741,1.213125,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
30-DEC-2010,1.0741,1.21,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
03-JAN-2011,1.0741,1.215,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
04-JAN-2011,1.0741,1.213125,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
06-JAN-2011,1.0741,1.2009375,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
07-JAN-2011,1.0741,1.2096875,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
10-JAN-2011,1.0741,1.211875,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
11-JAN-2011,1.0741,1.2096875,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
12-JAN-2011,1.0741,1.2078125,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
13-JAN-2011,1.0741,1.2146875,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
18-JAN-2011,1.0741,1.204375,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
19-JAN-2011,1.0741,1.21,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
20-JAN-2011,1.0741,1.1946875000000001,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
21-JAN-2011,1.0741,1.2009375,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
24-JAN-2011,1.0741,1.203125,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
25-JAN-2011,1.0741,1.2171875,0.0675,15-AUG-1996,15-AUG-2026,31-MAR-2011
