CloseDate,ConversionFactor,CTDPrice,CTDBond,CTDEffective,CTDMaturity,FuturesExpiry
11-JAN-2010,0.8045,1.1968750000000001,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
13-JAN-2010,0.8045,1.2015625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
14-JAN-2010,0.8045,1.2175,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
15-JAN-2010,0.8045,1.2271875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
19-JAN-2010,0.8045,1.2228125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
20-JAN-2010,0.8045,1.2337500000000001,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
21-JAN-2010,0.8045,1.2415625000000001,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
22-JAN-2010,0.8045,1.24125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
26-JAN-2010,0.8045,1.23125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
27-JAN-2010,0.8045,1.234375,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
28-JAN-2010,0.8045,1.231875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
29-JAN-2010,0.8045,1.2437500000000001,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
01-FEB-2010,0.8045,1.2334375,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
02-FEB-2010,0.8045,1.236875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
03-FEB-2010,0.8045,1.2215625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
04-FEB-2010,0.8045,1.23875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
05-FEB-2010,0.8045,1.25,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
08-FEB-2010,0.8045,1.244375,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
09-FEB-2010,0.8045,1.235,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
10-FEB-2010,0.8045,1.2215625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
11-FEB-2010,0.8045,1.213125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
12-FEB-2010,0.8045,1.2175,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
16-FEB-2010,0.8045,1.22125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
17-FEB-2010,0.8045,1.20625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
18-FEB-2010,0.8045,1.1990625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
19-FEB-2010,0.8045,1.2096875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
22-FEB-2010,0.8045,1.2046875000000001,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
23-FEB-2010,0.8045,1.2240625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
24-FEB-2010,0.8045,1.2246875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
25-FEB-2010,0.8045,1.235,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
26-FEB-2010,0.8045,1.2459375,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
01-MAR-2010,0.8045,1.240625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
02-MAR-2010,0.8045,1.238125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
03-MAR-2010,0.8045,1.235,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
04-MAR-2010,0.8045,1.240625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
05-MAR-2010,0.8045,1.2246875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
08-MAR-2010,0.8045,1.2178125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
09-MAR-2010,0.8045,1.2171875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
10-MAR-2010,0.8045,1.21625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
11-MAR-2010,0.8045,1.221875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
12-MAR-2010,0.8045,1.2278125,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
15-MAR-2010,0.8045,1.226875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
16-MAR-2010,0.8045,1.235625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
17-MAR-2010,0.8045,1.2396875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
18-MAR-2010,0.8045,1.2371875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
19-MAR-2010,0.8045,1.2390625,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
22-MAR-2010,0.8045,1.23875,0.045,15-FEB-2006,15-FEB-2036,31-MAR-2010
12-JAN-2010,0.8671,1.2178125,0.05,15-MAY-2007,15-MAY-2037,31-MAR-2010
25-JAN-2010,0.8671,1.233125,0.05,15-MAY-2007,15-MAY-2037,31-MAR-2010
23-MAR-2010,0.8054,1.2203125000000001,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
24-MAR-2010,0.8054,1.1965625,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
25-MAR-2010,0.8054,1.185625,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
26-MAR-2010,0.8054,1.1915625,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
29-MAR-2010,0.8054,1.19,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
30-MAR-2010,0.8054,1.1909375,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
31-MAR-2010,0.8054,1.1996875,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
01-APR-2010,0.8054,1.1978125,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
02-APR-2010,0.8054,1.1825,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
05-APR-2010,0.8054,1.1759375,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
06-APR-2010,0.8054,1.1753125,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
07-APR-2010,0.8054,1.1946875000000001,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
08-APR-2010,0.8054,1.1915625,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
09-APR-2010,0.8054,1.1946875000000001,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
12-APR-2010,0.8054,1.2040625,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
13-APR-2010,0.8054,1.2096875,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
14-APR-2010,0.8054,1.1996875,0.045,15-FEB-2006,15-FEB-2036,30-JUN-2010
